Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time
AEDEUR,^AEDEUR,U.A.E. Dirham/Euro,0.2424,-0.00075,-0.31%,0.2431,0.2431,0.24238,14-07-2023
ALLEUR,^ALLEUR,Albanian Lek/Euro,0.009686,0,0.00%,0.009686,0.009686,0.009686,14-07-2023
ARSEUR,^ARSEUR,Argentine Peso/Euro,0.00336,-1.00E-05,-0.30%,0.00337,0.00337,0.00336,14-07-2023
AUDEUR,^AUDEUR,Australian Dollar/Euro,0.60898,-0.00469,-0.76%,0.61363,0.61401,0.6084,14-07-2023
BBDEUR,^BBDEUR,Barbados Dollars/Euro,0.44162,0,0.00%,0.44162,0.44162,0.44162,14-07-2023
BHDEUR,^BHDEUR,Bahrain Dinar/Euro,2.3626,-0.008,-0.34%,2.3635,2.3642,2.3624,14-07-2023
BMDEUR,^BMDEUR,Bermudian Dollar/Euro,0.89119,0,0.00%,0.89119,0.89119,0.89119,14-07-2023
BRLEUR,^BRLEUR,Brazilian Real/Euro,0.18574,9.00E-05,0.05%,0.18558,0.18642,0.18493,14-07-2023
BTCEUR,^BTCEUR,Bitcoin - EUR,27010.13,89.14,0.33%,27009.47,27118.87,26853.57,08:00 CT
BWPEUR,^BWPEUR,Botswana Pula/Euro,0.06792,0,0.00%,0.06792,0.06792,0.06792,14-07-2023
CADEUR,^CADEUR,Canadian Dollar/Euro,0.67373,-0.00573,-0.84%,0.67947,0.68025,0.67311,14-07-2023
CHFEUR,^CHFEUR,Swiss Franc/Euro,1.03324,-0.00394,-0.38%,1.03738,1.0394,1.0323,14-07-2023
CLPEUR,^CLPEUR,Chilean Peso/Euro,0.00109,-1.00E-05,-0.91%,0.00109,0.00109,0.00109,14-07-2023
CNYEUR,^CNYEUR,Chinese Yuan/Euro,0.12475,-0.000137,-0.11%,0.124865,0.124865,0.124576,14-07-2023
CRCEUR,^CRCEUR,Costa Rica Colones/Euro,0.00164,0,0.00%,0.00164,0.00164,0.00164,14-07-2023
CZKEUR,^CZKEUR,Czech Koruna/Euro,0.04208,1.00E-05,0.02%,0.04207,0.0421,0.04203,14-07-2023
DAIEUR,^DAIEUR,Dai - EUR,0.89146,0.00087,0.10%,0.89059,0.8919,0.89059,07:59 CT
DASHEUR,^DASHEUR,Dash - EUR,30.113,0.345,1.16%,30.302,30.929,29.675,07:59 CT
DKKEUR,^DKKEUR,Danish Krone/Euro,0.13423,3.00E-05,0.02%,0.13419,0.13428,0.13416,14-07-2023
DOTEUR,^DOTEUR,Polkadot - EUR,4.80019,0.00922,0.19%,4.85253,4.95868,4.77482,08:00 CT
DZDEUR,^DZDEUR,Algerian Dinar/Euro,0.00663,1.00E-05,0.15%,0.00662,0.00663,0.00661,14-07-2023
EGPEUR,^EGPEUR,Egyptian Pound/Euro,0.02882,-2.00E-05,-0.07%,0.02884,0.02887,0.02879,14-07-2023
ETCEUR,^ETCEUR,Ethereum Classic - EUR,17.06889,0.30496,1.82%,17.14958,17.57474,16.70504,07:59 CT
ETHEUR,^ETHEUR,Ethereum - EUR,1721.34,14.453,0.85%,1720.77,1737.99,1706.721,08:00 CT
EURAED,^EURAED,Euro/U.A.E. Dirham,4.125,0.004,0.10%,4.122,4.127,4.118,14-07-2023
EURAFN,^EURAFN,Euro/Afghanis,96.6,0,0.00%,96.6,96.6,96.6,14-07-2023
EURALL,^EURALL,Euro/All,103.3,0,0.00%,103.3,103.3,103.3,14-07-2023
EURAMD,^EURAMD,Euro/Armenia Drams,437.7,0,0.00%,437.7,437.7,437.7,14-07-2023
EURARS,^EURARS,Euro/Argentine Peso,297.5644,0.7738,0.26%,296.7867,298.0657,296.3466,14-07-2023
EURAUD,^EURAUD,Euro/Australian Dollar,1.64209,0.01255,0.77%,1.62968,1.64364,1.6286,14-07-2023
EURBBD,^EURBBD,Euro/Barbados Dollars,2.2655,0,0.00%,2.2655,2.2655,2.2655,14-07-2023
EURBDT,^EURBDT,Euro/Bangladesh Taka,122.05,0,0.00%,122.05,122.05,122.05,14-07-2023
EURBGN,^EURBGN,Euro/Bulgarian Lev,1.9559,1.00E-04,0.01%,1.9559,1.956,1.9557,14-07-2023
EURBHD,^EURBHD,Euro/Bahrain Dinar,0.4234,0.0005,0.12%,0.4231,0.4235,0.4229,14-07-2023
EURBIF,^EURBIF,Euro/Burundi Francs,3174.3,0,0.00%,3174.3,3174.3,3174.3,14-07-2023
EURBMD,^EURBMD,Euro/Bermudian Dollar,1.1221,0,0.00%,1.1221,1.1221,1.1221,14-07-2023
EURBND,^EURBND,Euro/Brunei Darussalam Dollars,1.4817,0,0.00%,1.4817,1.4817,1.4817,14-07-2023
EURBOB,^EURBOB,Euro/Bolivia Bolivianos,7.753,0,0.00%,7.753,7.753,7.753,14-07-2023
EURBRL,^EURBRL,Euro/Brazilian Real,5.3845,0.0049,0.09%,5.3812,5.4021,5.3684,14-07-2023
EURBSD,^EURBSD,Euro/Bahamas Dollars,1.122,0,0.00%,1.122,1.122,1.122,14-07-2023
EURBTN,^EURBTN,Euro/Bhutanese Ngultrum,92.1437,0,0.00%,92.1437,92.1437,92.1437,14-07-2023
EURBWP,^EURBWP,Euro/Botswana Pulas,14.725,0,0.00%,14.725,14.725,14.725,14-07-2023
EURBZD,^EURBZD,Euro/Belize Dollars,2.2617,0,0.00%,2.2617,2.2617,2.2617,14-07-2023
EURCAD,^EURCAD,Euro/Canadian Dollar,1.48429,0.01255,0.85%,1.47172,1.48565,1.47001,14-07-2023
EURCDF,^EURCDF,,999.99982,0,0.00%,999.99982,999.99982,999.99982,14-07-2023
EURCHF,^EURCHF,Euro/Swiss Franc,0.96784,0.0037,0.38%,0.96406,0.96871,0.9621,14-07-2023
EURCLP,^EURCLP,Euro/Chilean Peso,910.45,0,0.00%,910.45,910.45,910.45,14-07-2023
EURCNH,^EURCNH,Euro/Chinese Offshore Spot,8.0348,0.0086,0.11%,8.0264,8.0454,7.9946,14-07-2023
EURCNY,^EURCNY,Euro/Chinese Yuan,8.0204,0.0095,0.12%,8.0121,8.0277,8.0059,14-07-2023
EURCOP,^EURCOP,Euro/Colombia Pesos,4598,0,0.00%,4598,4598,4598,14-07-2023
EURCRC,^EURCRC,Euro/Costa Rica Colones,610.4,0,0.00%,610.4,610.4,610.4,14-07-2023
EURCUP,^EURCUP,Euro/Cuba Pesos,26.929,0,0.00%,26.929,26.929,26.929,14-07-2023
EURCVE,^EURCVE,Eurcve,110.26,0,0.00%,110.26,110.26,110.26,14-07-2023
EURCZK,^EURCZK,Euro/Czech Koruna,23.7669,-0.0063,-0.03%,23.7714,23.791,23.7532,14-07-2023
EURDJF,^EURDJF,Euro/Djibouti Francs,199.78,0,0.00%,199.78,199.78,199.78,14-07-2023
EURDKK,^EURDKK,Euro/Danish Krone,7.4499,-0.0018,-0.02%,7.4519,7.4532,7.4476,14-07-2023
EURDOP,^EURDOP,Euro/Dominican Rep Pesos,62.79,0,0.00%,62.79,62.79,62.79,14-07-2023
EURDZD,^EURDZD,Euro/Algerian Dinar,150.912,0.251,0.17%,150.701,151.27,150.701,14-07-2023
EUREGP,^EUREGP,Euro/Egyptian Pound,34.711,0.067,0.19%,34.646,34.722,34.646,14-07-2023
EURETB,^EURETB,Euro/Ethiopia Birr,61.7615,0,0.00%,61.7615,61.7615,61.7615,14-07-2023
EURFJD,^EURFJD,Euro/Fiji Dollar,2.448,0.0023,0.09%,2.4459,2.4491,2.4459,14-07-2023
EURGBP,^EURGBP,Euro/British Pound,0.85773,0.00308,0.36%,0.85465,0.85777,0.85435,14-07-2023
EURGHS,^EURGHS,Euro/Ghana Cedis,12.763,0,0.00%,12.763,12.763,12.763,14-07-2023
EURGMD,^EURGMD,Euro/Gambia Dalasi,66.714,0.376,0.57%,66.714,66.714,66.714,13-07-2023
EURGNF,^EURGNF,Euro/Guinea Francs,9647,0,0.00%,9647,9647,9647,14-07-2023
EURGTQ,^EURGTQ,Euro/Guatemala Quetzales,8.805,0,0.00%,8.805,8.805,8.805,14-07-2023
EURGYD,^EURGYD,Euro/Guyanese Dollar,235.8,0,0.00%,235.8,235.8,235.8,14-07-2023
EURHKD,^EURHKD,Euro/Hong Kong Dollar,8.7738,-0.007,-0.08%,8.781,8.7899,8.7602,14-07-2023
EURHNL,^EURHNL,Euro/Honduras Lempiras,27.617,0,0.00%,27.617,27.617,27.617,14-07-2023
EURHTG,^EURHTG,Euro/Haiti Gourdes,155.96,0,0.00%,155.96,155.96,155.96,14-07-2023
EURHUF,^EURHUF,Euro/Hungarian Forint,374.264,0.476,0.13%,373.852,375.351,373.49,14-07-2023
EURHUY,^EURHUY,Mnb Eur/Huf,374.97,-0.87,-0.23%,374.97,374.97,374.97,17-07-2023
EURIDR,^EURIDR,Euro/Indonesian Rupiah,16796,91,0.54%,16796,16796,16796,14-07-2023
EURILS,^EURILS,Euro/Israeli Shekel,4.0536,0.0084,0.21%,4.0466,4.062,4.0449,14-07-2023
EURINR,^EURINR,Euro/Indian Rupee,92.1957,0.0841,0.09%,92.1105,92.3437,92.0183,14-07-2023
EURIQD,^EURIQD,Euro/Iraq Dinars,1469.9,0,0.00%,1469.9,1469.9,1469.9,14-07-2023
EURJMD,^EURJMD,Euro/Jamaica Dollars,173.52,0,0.00%,173.52,173.52,173.52,14-07-2023
EURJOD,^EURJOD,Euro/Jordanian Dinar,0.7965,0.0025,0.31%,0.7942,0.7965,0.7942,14-07-2023
EURJPY,^EURJPY,Euro/Japanese Yen,155.855,0.86,0.55%,154.98,156.125,154.177,14-07-2023
EURKES,^EURKES,Euro/Kenyan Shilling,159.56,0,0.00%,159.56,159.56,159.56,14-07-2023
EURKHR,^EURKHR,Euro/Cambodia Riels,4631,0,0.00%,4631,4631,4631,14-07-2023
EURKRW,^EURKRW,Euro/Korean Won,1425.6,4.2,0.30%,1421.6,1426.1,1418,14-07-2023
EURKWD,^EURKWD,Euro/Kuwaiti Dinar,0.34388,0.00102,0.30%,0.34292,0.34388,0.34292,14-07-2023
EURKYD,^EURKYD,Euro/Cayman Islands Dollars,0.9351,0,0.00%,0.9351,0.9351,0.9351,14-07-2023
EURKZT,^EURKZT,Euro/Kazakhstan Tenge,499.57,0,0.00%,499.57,499.57,499.57,14-07-2023
EURLAK,^EURLAK,Euro/Laos Kips,21479,0,0.00%,21479,21479,21479,14-07-2023
EURLBP,^EURLBP,Euro/Lebanese Pound,16842,73.6,0.44%,16842,16842,16842,14-07-2023
EURLKR,^EURLKR,Euro/Sri Lankan Rupee,359.63,0,0.00%,359.63,359.63,359.63,14-07-2023
EURLRD,^EURLRD,Euro/Liberian Dollar,206.28,0,0.00%,206.28,206.28,206.28,14-07-2023
EURLSL,^EURLSL,Euro/Lesotho Maloti,20.2539,0,0.00%,20.2539,20.2539,20.2539,14-07-2023
EURLYD,^EURLYD,Euro/Libya Dinars,5.332,0,0.00%,5.332,5.332,5.332,14-07-2023
EURMAD,^EURMAD,Euro/Moroccan Dirham,10.807,0,0.00%,10.807,10.807,10.807,14-07-2023
EURMDL,^EURMDL,Euro/Moldova Lei,20.219,0,0.00%,20.219,20.219,20.219,14-07-2023
EURMGA,^EURMGA,Euro/Madagascar Ariary,5068,0,0.00%,5068,5068,5068,14-07-2023
EURMKD,^EURMKD,Euro/Macedonian Denar,61.569,-0.051,-0.08%,61.615,61.615,61.52,14-07-2023
EURMMK,^EURMMK,Euro/Myanmar Burma Kyats,2356.3,0,0.00%,2356.3,2356.3,2356.3,14-07-2023
EURMOP,^EURMOP,Euro/Macau Patacas,9.0327,0,0.00%,9.0327,9.0327,9.0327,14-07-2023
EURMTL,^EURMTL,Euro/Maltese Lira,0.32888,4.00E-05,0.01%,0.328846,0.329296,0.328369,14-07-2023
EURMUR,^EURMUR,Euro/Mauritian Rupee,50.87,0.04,0.08%,50.84,50.97,50.83,14-07-2023
EURMVR,^EURMVR,Euro/Maldives Rufiyaa,17.2387,0.0921,0.54%,17.1467,17.2387,17.1467,13-07-2023
