Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time,,"note formula=right(b2,len(b2)-1)"
DXY,$DXY,U.S. Dollar Index,99.96,0.19,0.19%,99.77,100.01,99.57,14-07-2023,,
AUDJPY,^AUDJPY,Australian Dollar/Japanese Yen,94.912,-0.205,-0.22%,95.096,95.381,94.553,14-07-2023,,
AUDUSD,^AUDUSD,Australian Dollar/U.S. Dollar,0.68381,-0.00509,-0.74%,0.68887,0.68948,0.68308,14-07-2023,,
CADCHF,^CADCHF,Canadian Dollar/Swiss Franc,0.6521,-0.003,-0.46%,0.6551,0.657,0.6517,14-07-2023,,
CADJPY,^CADJPY,Canadian Dollar/Japanese Yen,105.002,-0.313,-0.30%,105.299,105.93,104.731,14-07-2023,,
CHFJPY,^CHFJPY,Swiss Franc/Japanese Yen,161.036,0.268,0.17%,160.822,161.626,160.013,14-07-2023,,
EURAUD,^EURAUD,Euro/Australian Dollar,1.64209,0.01255,0.77%,1.62968,1.64364,1.6286,14-07-2023,,
EURCAD,^EURCAD,Euro/Canadian Dollar,1.48429,0.01255,0.85%,1.47172,1.48565,1.47001,14-07-2023,,
EURCHF,^EURCHF,Euro/Swiss Franc,0.96784,0.0037,0.38%,0.96406,0.96871,0.9621,14-07-2023,,
EURGBP,^EURGBP,Euro/British Pound,0.85773,0.00308,0.36%,0.85465,0.85777,0.85435,14-07-2023,,
EURJPY,^EURJPY,Euro/Japanese Yen,155.855,0.86,0.55%,154.98,156.125,154.177,14-07-2023,,
EURNOK,^EURNOK,Euro/Norwegian Krone,11.28653,0.1208,1.08%,11.16708,11.29213,11.16115,14-07-2023,,
EURSEK,^EURSEK,Euro/Swedish Krona,11.50518,0.04739,0.41%,11.44338,11.52266,11.42505,14-07-2023,,
EURUSD,^EURUSD,Euro/U.S. Dollar,1.1229,0.0003,0.03%,1.12262,1.12448,1.12046,14-07-2023,,
GBPAUD,^GBPAUD,British Pound/Australian Dollar,1.91441,0.00774,0.41%,1.9069,1.91744,1.90415,14-07-2023,,
GBPCHF,^GBPCHF,British Pound/Swiss Franc,1.12836,0.00025,0.02%,1.12807,1.13061,1.1241,14-07-2023,,
GBPJPY,^GBPJPY,British Pound/Japanese Yen,181.702,0.349,0.19%,181.343,182.287,180.216,14-07-2023,,
GBPUSD,^GBPUSD,British Pound/U.S. Dollar,1.3091,-0.00442,-0.34%,1.31355,1.31427,1.309,14-07-2023,,
NZDJPY,^NZDJPY,New Zealand Dollar/Japanese Yen,88.422,0.168,0.19%,88.253,88.689,87.824,14-07-2023,,
NZDUSD,^NZDUSD,New Zealand Dollar/U.S. Dollar,0.63705,-0.00218,-0.34%,0.63931,0.64118,0.63651,14-07-2023,,
USDBRL,^USDBRL,U.S. Dollar/Brazilian Real,4.79452,-0.00357,-0.07%,4.80069,4.81301,4.77873,14-07-2023,,
USDCAD,^USDCAD,U.S. Dollar/Canadian Dollar,1.32186,0.01084,0.83%,1.31098,1.3227,1.30928,14-07-2023,,
USDCHF,^USDCHF,U.S. Dollar/Swiss Franc,0.86191,0.00306,0.36%,0.85881,0.86311,0.85666,14-07-2023,,
USDCNY,^USDCNY,U.S. Dollar/Chinese Yuan,7.141,-0.0101,-0.14%,7.1511,7.1511,7.1205,14-07-2023,,
USDCZK,^USDCZK,U.S. Dollar/Czech Koruna,21.1666,-0.0098,-0.05%,21.1742,21.2234,21.1314,14-07-2023,,
USDHKD,^USDHKD,U.S. Dollar/Hong Kong Dollar,7.8137,-0.0081,-0.10%,7.8219,7.8226,7.8136,14-07-2023,,
USDINR,^USDINR,U.S. Dollar/Indian Rupee,82.1103,0.0905,0.11%,82.0192,82.195,81.9375,14-07-2023,,
USDJPY,^USDJPY,U.S. Dollar/Japanese Yen,138.8,0.733,0.53%,138.049,139.156,137.248,14-07-2023,,
USDKRW,^USDKRW,U.S. Dollar/Korean Won,1269.3,2.15,0.17%,1267.15,1270.66,1260.04,14-07-2023,,
USDMXN,^USDMXN,U.S. Dollar/Mexican Peso,16.7533,-0.0855,-0.51%,16.8403,16.9178,16.7171,14-07-2023,,
USDNOK,^USDNOK,U.S. Dollar/Norwegian Krone,10.0509,0.10424,1.05%,9.94822,10.05906,9.66156,14-07-2023,,
USDPLN,^USDPLN,U.S. Dollar/Polish Zloty,3.9657,0.0064,0.16%,3.9585,3.9861,3.9558,14-07-2023,,
USDRUB,^USDRUB,U.S. Dollar/Russian Ruble,90.366,0.231,0.26%,90.098,90.456,89.678,14-07-2023,,
USDSEK,^USDSEK,U.S. Dollar/Swedish Krona,10.24164,0.04098,0.40%,10.20345,10.27711,10.15972,14-07-2023,,
USDSGD,^USDSGD,U.S. Dollar/Singapore Dollar,1.3215,-0.0005,-0.04%,1.3222,1.3233,1.3172,14-07-2023,,
USDZAR,^USDZAR,U.S. Dollar/South African Rand,18.06762,0.14149,0.79%,17.92514,18.17831,17.90827,14-07-2023,,
,Downloaded from Barchart.com as of 07-16-2023 08:00am CDT,,,,,,,,,,
