Symbol,Symbol,Name,Last,Change,%Chg,Open,High,Low,Time,,,"right(b2,len(b2)-1)"
AAVEUSD,^AAVEUSD,Aave - USD,77.958,-1.18,-1.49%,79.138,82.679,77.002,16-07-2023,,,
ADAUSD,^ADAUSD,Cardano - USD,0.321188,-0.002464,-0.76%,0.326089,0.336622,0.318293,08:00 CT,,,
AEDUSD,^AEDUSD,U.A.E. Dirham/U.S. Dollar,0.27226,1.00E-05,0.00%,0.27225,0.27226,0.27225,14-07-2023,,,
ALGOUSD,^ALGOUSD,Algorand - USD,0.1198,0.0084,7.54%,0.1145,0.1207,0.111277,08:00 CT,,,
ALLUSD,^ALLUSD,Albanian Lek/U.S. Dollar,0.010875,0,0.00%,0.010875,0.010875,0.010875,14-07-2023,,,
ARCAUSD,^ARCAUSD,,1,0,0.00%,1,1,1,07-07-2023,,,
ARSUSD,^ARSUSD,Argentine Peso/U.S. Dollar,0.00377,-1.00E-05,-0.26%,0.00378,0.00379,0.00377,14-07-2023,,,
ATOMUSD,^ATOMUSD,Cosmos - USD,9.5797,0.0612,0.64%,9.7106,9.9777,9.5012,08:00 CT,,,
AUDUSD,^AUDUSD,Australian Dollar/U.S. Dollar,0.68381,-0.00509,-0.74%,0.68887,0.68948,0.68308,14-07-2023,,,
AVAXUSD,^AVAXUSD,Avalanche - USD,14.5687,0.151,1.05%,14.3948,15.3385,14.3808,08:00 CT,,,
AWGUSD,^AWGUSD,Aruba Guilder/U.S. Dollar,0.5552,0,0.00%,0.5552,0.5552,0.5552,14-07-2023,,,
AXSUSD,^AXSUSD,Axie Infinity - USD,6.27,-0.0202,-0.32%,6.4,6.4606,6.21,08:00 CT,,,
BAMUSD,^BAMUSD,Bosnian Marka/U.S. Dollar,0.57403,0,0.00%,0.57403,0.57403,0.57403,14-07-2023,,,
BATUSD,^BATUSD,Basic Attention - USD,0.20851,0.00586,2.89%,0.20265,0.21182,0.20219,08:00 CT,,,
BBDUSD,^BBDUSD,Barbados Dollars/U.S. Dollar,0.495812,0,0.00%,0.495812,0.495812,0.495812,14-07-2023,,,
BCHUSD,^BCHUSD,Bitcoin Cash - USD,253.4977,-5.5273,-2.13%,253.6888,264.7851,247.4713,08:00 CT,,,
