Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",143.96,2.1,+1.48%,144.25,141.9,54002000,2023-01-26
ABBV,"Abbvie Inc",147.4,-0.39,-0.26%,148.7,147.11,4576900,2023-01-26
ABT,"Abbott Laboratories",111.07,0.07,+0.06%,111.62,110.11,4159500,2023-01-26
ACN,"Accenture Plc",274.26,1.1,+0.40%,277.33,270.86,1942600,2023-01-26
ADBE,"Adobe Systems Inc",365.82,7.65,+2.14%,367.43,360.72,2349100,2023-01-26
AIG,"American International Group",63.98,0.48,+0.76%,64.05,63.36,3335100,2023-01-26
AMD,"Adv Micro Devices",75.16,0.25,+0.33%,77.08,74.28,49373797,2023-01-26
AMGN,"Amgen Inc",254.88,-1.66,-0.65%,256.69,253.01,2522100,2023-01-26
AMT,"American Tower Corp",221.03,2.37,+1.08%,221.5,218.5,1125800,2023-01-26
AMZN,"Amazon.com Inc",99.22,2.04,+2.10%,99.49,96.92,68393398,2023-01-26
AVGO,"Broadcom Ltd",598.58,12.9,+2.20%,600.56,586.26,2452000,2023-01-26
AXP,"American Express Company",155.88,-0.89,-0.57%,158.23,154.29,3630700,2023-01-26
BA,"Boeing Company",212.73,0.05,+0.02%,213.79,207.2,7281000,2023-01-26
BAC,"Bank of America Corp",35.34,0.47,+1.35%,35.35,34.79,30012201,2023-01-26
BK,"Bank of New York Mellon Corp",50.61,0.62,+1.24%,50.71,49.94,4308200,2023-01-26
BKNG,"Booking Holdings Inc",2431.15,40.4,+1.69%,2433.86,2397.51,237900,2023-01-26
BLK,"Blackrock Inc",758.9,7.65,+1.02%,759.38,746.2,488700,2023-01-26
BMY,"Bristol-Myers Squibb Company",72.99,-0.18,-0.25%,73.2,71.98,6528200,2023-01-26
BRK.B,"Berkshire Hathaway Cl B",310.95,-0.95,-0.30%,313.68,309.58,2856500,2023-01-26
C,"Citigroup Inc",52.19,0.29,+0.56%,52.26,51.51,22387799,2023-01-26
CAT,"Caterpillar Inc",262.12,3.68,+1.42%,262.26,256.89,2676500,2023-01-26
CHTR,"Charter Communications Inc",410.39,6.63,+1.64%,412.65,401.42,1841600,2023-01-26
CL,"Colgate-Palmolive Company",75.53,-0.24,-0.32%,75.81,75.12,3739500,2023-01-26
CMCSA,"Comcast Corp A",40.41,0.31,+0.77%,40.74,39.01,22310100,2023-01-26
COF,"Capital One Financial Corp",116.07,-0.02,-0.02%,117.83,114.53,4883900,2023-01-26
COP,Conocophillips,124.65,4.28,+3.56%,124.73,120.8,5805300,2023-01-26
COST,"Costco Wholesale",498.3,7.42,+1.51%,498.67,491.77,1575800,2023-01-26
CRM,"Salesforce Inc",165.09,8.92,+5.71%,165.17,158.1,13347801,2023-01-26
CSCO,"Cisco Systems Inc",48.34,0.36,+0.75%,48.47,47.83,12952000,2023-01-26
CVS,"CVS Corp",87.66,1.91,+2.23%,87.75,86.03,9262600,2023-01-26
CVX,"Chevron Corp",187.79,8.71,+4.86%,187.81,183.48,14292400,2023-01-26
DHR,"Danaher Corp",265.86,2.91,+1.11%,265.9,260.82,3915900,2023-01-26
DIS,"Walt Disney Company",109.7,1.58,+1.46%,109.76,107.57,9196601,2023-01-26
DOW,"Dow Inc",58.12,0.23,+0.40%,58.57,55.83,8002500,2023-01-26
DUK,"Duke Energy Corp",101.34,-0.08,-0.08%,101.71,100.75,2093400,2023-01-26
EMR,"Emerson Electric Company",90.62,1.54,+1.73%,90.64,88.58,3293800,2023-01-26
EXC,"Exelon Corp",41.6,0.18,+0.43%,41.69,41.19,3703700,2023-01-26
F,"Ford Motor Company",12.92,0.13,+1.02%,13.06,12.71,48911402,2023-01-26
FDX,"Fedex Corp",190.14,2.33,+1.24%,190.31,186.8,1045400,2023-01-26
GD,"General Dynamics Corp",228.11,1.23,+0.54%,229.94,223.41,1429500,2023-01-26
GE,"General Electric Company",81.14,0.35,+0.43%,81.58,80.12,6510300,2023-01-26
GILD,"Gilead Sciences Inc",83.62,-0.45,-0.54%,83.81,82.61,3670500,2023-01-26
GM,"General Motors Company",36.48,0.16,+0.44%,37.18,36.23,19550400,2023-01-26
GOOG,"Alphabet Cl C",99.16,2.43,+2.51%,99.21,96.82,23970701,2023-01-26
GOOGL,"Alphabet Cl A",97.52,2.3,+2.42%,97.57,95.38,30079801,2023-01-26
GS,"Goldman Sachs Group",354.97,5.34,+1.53%,355,349.52,1916800,2023-01-26
HD,"Home Depot",313.81,-3.45,-1.09%,319.26,312.53,3553400,2023-01-26
HON,"Honeywell International Inc",209.35,2.68,+1.30%,209.42,205.89,1927300,2023-01-26
IBM,"International Business Machines",134.45,-6.31,-4.48%,138.27,132.98,17539900,2023-01-26
