Code,Code,,,,,,made 2023-feb24
BHP,BHP,,,,,,made 2023-June23
CBA,CBA,,,,,,
CSL,CSL,,,,,,
NAB,NAB,,,,,,
WBC,WBC,,,,,,
ANZ,ANZ,,,,,,
MQG,MQG,,,,,,
WDS,WDS,,,,,,
FMG,FMG,,,,,,
WES,WES,,,,,,
TLS,TLS,,,,,,
WOW,WOW,,,,,,
TCL,TCL,,,,,,
RIO,RIO,,,,,,
GMG,GMG,,,,,,
WTC,WTC,,,,,,
ALL,ALL,,,,,,
STO,STO,,,,,,
COL,COL,,,,,,
NCM,NCM,,,,,,
QBE,QBE,,,,,,
BXB,BXB,,,,,,
REA,REA,,,,,,
S32,S32,,,,,,
JHX,JHX,,,,,,
SUN,SUN,,,,,,
XRO,XRO,,,,,,
SHL,SHL,,,,,,
COH,COH,,,,,,
PLS,PLS,,,,,,
ORG,ORG,,,,,,
NST,NST,,,,,,
MIN,MIN,,,,,,
CPU,CPU,,,,,,
IAG,IAG,,,,,,
SCG,SCG,,,,,,
RMD,RMD,,,,,,
RHC,RHC,,,,,,
FPH,FPH,,,,,,
VAS,VAS,,,,,,
REH,REH,,,,,,
ASX,ASX,,,,,,
APA,APA,,,,,,
SOL,SOL,,,,,,
TLC,TLC,,,,,,
QAN,QAN,,,,,,
IGO,IGO,,,,,,
AIA,AIA,,,,,,
EDV,EDV,,,,,,
AKE,AKE,,,,,,
MPL,MPL,,,,,,
SGP,SGP,,,,,,
AMC,AMC,,,,,,
TPG,TPG,,,,,,
BSL,BSL,,,,,,
SVW,SVW,,,,,,
MGR,MGR,,,,,,
ALX,ALX,,,,,,
CAR,CAR,,,,,,
AFI,AFI,,,,,,
SPK,SPK,,,,,,
DXS,DXS,,,,,,
VCX,VCX,,,,,,
WOR,WOR,,,,,,
TWE,TWE,,,,,,
MCY,MCY,,,,,,
GPT,GPT,,,,,,
SEK,SEK,,,,,,
AGL,AGL,,,,,,
ALD,ALD,,,,,,
AZJ,AZJ,,,,,,
MGOC,MGOC,,,,,,
IFT,IFT,,,,,,
PME,PME,,,,,,
ORI,ORI,,,,,,
ARG,ARG,,,,,,
LYC,LYC,,,,,,
LTR,LTR,,,,,,
NXT,NXT,,,,,,
EBO,EBO,,,,,,
SDF,SDF,,,,,,
MEZ,MEZ,,,,,,
IEL,IEL,,,,,,
EVN,EVN,,,,,,
VGS,VGS,,,,,,
YAL,YAL,,,,,,
WHC,WHC,,,,,,
CWY,CWY,,,,,,
IVV,IVV,,,,,,
ALQ,ALQ,,,,,,
IPL,IPL,,,,,,
CHC,CHC,,,,,,
TNE,TNE,,,,,,
QUB,QUB,,,,,,
LLC,LLC,,,,,,
BEN,BEN,,,,,,
ILU,ILU,,,,,,
STW,STW,,,,,,
ALU,ALU,,,,,,
VEA,VEA,,,,,,
NHC,NHC,,,,,,
JBH,JBH,,,,,,
CGF,CGF,,,,,,
BLD,BLD,,,,,,
NHF,NHF,,,,,,
IOZ,IOZ,,,,,,
BKW,BKW,,,,,,
FLT,FLT,,,,,,
GQG,GQG,,,,,,
HVN,HVN,,,,,,
AWC,AWC,,,,,,
TLX,TLX,,,,,,
