Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",192.42,-1.75,-0.90%,194.76,191.94,44594000,2024-01-26
ABNB,"Airbnb Inc Cl A",149.62,7.51,+5.28%,151.53,141.49,11342500,2024-01-26
ADBE,"Adobe Systems Inc",613.93,-8.65,-1.39%,622.5,613,2137800,2024-01-26
ADI,"Analog Devices",193.93,-3.37,-1.71%,196.47,193.47,2379100,2024-01-26
ADP,"Automatic Data Procs",236.1,-0.62,-0.26%,237.76,235.49,1677800,2024-01-26
ADSK,"Autodesk Inc",253.07,1.32,+0.52%,254.29,250.86,940200,2024-01-26
AEP,"American Electric Power Company",77.84,-0.25,-0.32%,78.7,77.61,2446700,2024-01-26
AMAT,"Applied Materials",166.9,-5.73,-3.32%,169.57,166.62,6653700,2024-01-26
AMD,"Adv Micro Devices",177.25,-3.08,-1.71%,181.23,174.15,107381102,2024-01-26
AMGN,"Amgen Inc",311.77,1.51,+0.49%,312.02,309.86,2035700,2024-01-26
AMZN,"Amazon.com Inc",159.12,1.37,+0.87%,160.72,157.91,51047301,2024-01-26
ANSS,"Ansys Inc",332.24,-7.18,-2.12%,339.52,331.67,1181800,2024-01-26
ASML,"Asml Holdings NY Reg ADR",867.75,-1.33,-0.15%,873.2,853.21,1614800,2024-01-26
AVGO,"Broadcom Ltd",1204.88,-25.12,-2.04%,1221.21,1200.23,2581700,2024-01-26
AZN,"Astrazeneca Plc ADR",67.1,0.08,+0.12%,67.81,66.97,5021700,2024-01-26
BIIB,"Biogen Inc",244.82,-1.39,-0.56%,248.07,244.41,540800,2024-01-26
BKNG,"Booking Holdings Inc",3519.6,16.35,+0.47%,3536.7,3480,209600,2024-01-26
BKR,"Baker Hughes Company",30.48,0.18,+0.59%,30.59,29.85,12352500,2024-01-26
CCEP,"Coca-Cola Europacific Partners Plc",68.84,0.62,+0.91%,69.06,68.28,1681600,2024-01-26
CDNS,"Cadence Design Sys",290.73,-0.46,-0.16%,293.35,287.2,1268900,2024-01-26
CDW,"CDW Corp",229.69,0.7,+0.31%,229.79,228.03,641400,2024-01-26
CEG,"Constellation Energy Corp",121.27,0.72,+0.60%,122.41,120.07,1558800,2024-01-26
CHTR,"Charter Communications Inc",377.07,8,+2.17%,380.19,370.56,1041100,2024-01-26
CMCSA,"Comcast Corp A",46.26,0.99,+2.19%,46.32,45.33,20086301,2024-01-26
COST,"Costco Wholesale",686.88,6.98,+1.03%,687.24,679.5,1825500,2024-01-26
CPRT,"Copart Inc",48.06,-0.93,-1.90%,49.03,47.74,6238900,2024-01-26
CRWD,"Crowdstrike Holdings Inc",290.31,-3.15,-1.07%,293.75,286.75,2811400,2024-01-26
CSCO,"Cisco Systems Inc",52.14,-0.19,-0.36%,52.62,51.99,13160300,2024-01-26
CSGP,"Costar Group Inc",85.09,0.48,+0.57%,85.68,84.65,1299600,2024-01-26
CSX,"CSX Corp",35.39,0.39,+1.11%,35.5,34.81,21484699,2024-01-26
CTAS,"Cintas Corp",597.81,-0.7,-0.12%,601.34,595,171400,2024-01-26
CTSH,"Cognizant Tech Sol",77.28,-1.02,-1.30%,78.89,77.04,2481100,2024-01-26
DASH,"Doordash Inc Cl A",108.24,0.72,+0.67%,108.74,106.88,2310200,2024-01-26
DDOG,"Datadog Inc Cl A",123.95,1.76,+1.44%,124.92,120.59,4501500,2024-01-26
DLTR,"Dollar Tree Inc",132.73,0.5,+0.38%,133.91,131.8,1770900,2024-01-26
DXCM,"Dexcom Inc",121.96,-4.54,-3.59%,126.39,119.71,3851200,2024-01-26
EA,"Electronic Arts Inc",139.42,0.48,+0.35%,139.82,138.69,1800400,2024-01-26
EXC,"Exelon Corp",35.01,0.11,+0.32%,35.03,34.65,6182200,2024-01-26
FANG,"Diamondback Energy",156.24,-0.08,-0.05%,157.09,154.24,1443200,2024-01-26
FAST,"Fastenal Company",68.4,-0.81,-1.17%,69.2,68.28,3561000,2024-01-26
