Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",15.31,0.08,+0.53%,15.38,15.52,15.21,42730602,2025-02-24
AAON,"Aaon Inc",100.07,-3.56,-3.44%,105.16,106.99,99.84,1099600,2025-02-24
AAPL,"Apple Inc",247.1,1.55,+0.63%,244.93,248.86,244.42,51326301,2025-02-24
ABCL,"Abcellera Biologics Inc",2.99,-0.04,-1.32%,3.03,3.04,2.89,5624700,2025-02-24
ABNB,"Airbnb Inc Cl A",144.82,-1.25,-0.86%,147,147.07,143.88,4478900,2025-02-24
ACAD,"Acadia Pharmaceutica",19.48,-0.47,-2.36%,19.96,19.98,19.44,1728200,2025-02-24
ACGL,"Arch Capital Grp Ltd",89.55,1.42,+1.61%,88.44,89.98,88.15,1386300,2025-02-24
ACHC,"Acadia Healthcr Company",40.67,1.02,+2.57%,39.82,40.87,39.7,1329200,2025-02-24
ACIW,"Aci Worldwide Inc",50.38,-0.18,-0.36%,50.75,51.03,49.68,843700,2025-02-24
ACLS,"Axcelis Tech Inc",63.3,0.19,+0.30%,63.3,65.28,62.38,720600,2025-02-24
ACLX,"Arcellx Inc",63.01,-0.74,-1.16%,63.82,65.02,62.71,627200,2025-02-24
ACMR,"Acm Research Inc",23.49,-2.55,-9.79%,26,26.04,23.45,2266000,2025-02-24
ACRS,"Aclaris Therapts",2.07,-0.17,-7.59%,2.23,2.25,2.05,495900,2025-02-24
ACT,"Enact Holdings Inc",33.23,0.31,+0.94%,33.02,33.41,32.8,276100,2025-02-24
ACVA,"Acv Auctions Inc Cl A",17.32,-0.26,-1.51%,17.63,17.79,17.01,2484100,2025-02-24
ADBE,"Adobe Systems Inc",444.42,0.1,+0.02%,445.11,446.28,440.91,2807900,2025-02-24
ADEA,"Adeia Inc",17.04,-0.19,-1.10%,17.23,17.4,16.6,964800,2025-02-24
ADI,"Analog Devices",236.99,-1.92,-0.80%,240.28,240.64,236.18,4778200,2025-02-24
ADMA,"Adma Biologics",15.52,-0.32,-2.02%,15.86,16.03,15.46,2134300,2025-02-24
ADP,"Automatic Data Procs",312.2,1.44,+0.46%,310.62,314.06,310.12,1311800,2025-02-24
ADSK,"Autodesk Inc",285.26,0.26,+0.09%,287,287.16,280.51,1374100,2025-02-24
