Symbol,,,>
BHP,,,>
CBA,,,Symbol
CSL,,,
NAB,,,
WBC,,,
ANZ,,,
MQG,,,
FMG,,,
WDS,,,
WES,,,
TLS,,,
RIO,,,
WOW,,,
TCL,,,
GMG,,,
COL,,,
ALL,,,
STO,,,
QBE,,,
NCM,,,
S32,,,
WTC,,,
BXB,,,
MIN,,,
SUN,,,
REA,,,
SHL,,,
SCG,,,
RHC,,,
COH,,,
CPU,,,
FPH,,,
ORG,,,
JHX,,,
PLS,,,
RMD,,,
ASX,,,
APA,,,
VAS,,,
EDV,,,
NST,,,
AIA,,,
IAG,,,
XRO,,,
TLC,,,
QAN,,,
AMC,,,
SOL,,,
REH,,,
IGO,,,
TWE,,,
ALX,,,
VCX,,,
OZL,,,
AFI,,,
DXS,,,
MPL,,,
SGP,,,
SVW,,,
GPT,,,
TPG,,,
MGR,,,
SEK,,,
SPK,,,
BSL,,,
IEL,,,
WOR,,,
YAL,,,
CAR,,,
EBO,,,
MCY,,,
ALD,,,
LYC,,,
MGOC,,,
AKE,,,
ORI,,,
IPL,,,
ARG,,,
WHC,,,
PME,,,
CHC,,,
AZJ,,,
MEZ,,,
ALQ,,,
SDF,,,
CWY,,,
IFT,,,
QUB,,,
BEN,,,
VGS,,,
LLC,,,
HVN,,,
EVN,,,
CGF,,,
IVV,,,
DMP,,,
ALU,,,
STW,,,
A2M,,,
NHC,,,
TNE,,,
JBH,,,
AGL,,,
VEA,,,
BOQ,,,
NXT,,,
ILU,,,
AWC,,,
PMV,,,
GQG,,,
BLD,,,
FLT,,,
MTS,,,
CIA,,,
IOZ,,,
BKW,,,
NHF,,,
ANN,,,
NEC,,,
SMR,,,
FBU,,,
SQ2,,,
APE,,,
AMP,,,
NWL,,,
CLW,,,
CNU,,,
BPT,,,
CRN,,,
NIC,,,
SGM,,,
ZIM,,,
QUAL,,,
SUL,,,
VTS,,,
BRG,,,
RGN,,,
ORA,,,
NSR,,,
LTR,,,
SFR,,,
PPT,,,
RWC,,,
GNE,,,
AUB,,,
AVZ,,,
VHY,,,
GOLD,,,
A200,,,
AAA,,,
PRU,,,
LOV,,,
HDN,,,
CTD,,,
DOW,,,
WEB,,,
ARB,,,
NDQ,,,
ABP,,,
BWP,,,
GOZ,,,
DRR,,,
IOO,,,
AIZ,,,
CSR,,,
BFL,,,
VAP,,,
CHN,,,
VEU,,,
CQR,,,
HUB,,,
ETHI,,,
VUK,,,
BAP,,,
TAH,,,
APM,,,
IFL,,,
NUF,,,
PXA,,,
MGF,,,
EVT,,,
VGAD,,,
PDN,,,
DEG,,,
TLX,,,
CIP,,,
VNT,,,
SYA,,,
HBRD,,,
DHG,,,
VDHG,,,
PNI,,,
SNZ,,,
HYGG,,,
CMW,,,
IPH,,,
WAM,,,
WPR,,,
PSI,,,
GNC,,,
SKC,,,
LIC,,,
MVW,,,
LSF,,,
MXT,,,
CEN,,,
IAF,,,
CXO,,,
WLE,,,
HLS,,,
JLG,,,
INA,,,
IRE,,,
MFG,,,
IVC,,,
PNV,,,
GOR,,,
BKL,,,
JDO,,,
DDR,,,
VAF,,,
MFF,,,
CNI,,,
KLS,,,
ARU,,,
NAN,,,
CMM,,,
GUD,,,
ELD,,,
CCP,,,
ARF,,,
RRL,,,
SGR,,,
PPH,,,
BKI,,,
HMC,,,
MAQ,,,
AUI,,,
SYR,,,
LFS,,,
KAR,,,
IMD,,,
DBI,,,
GRR,,,
NWH,,,
CGC,,,
CUV,,,
IXJ,,,
ABC,,,
AX1,,,
CQE,,,
ING,,,
LFG,,,
BGL,,,
MND,,,
WBT,,,
OCL,,,
HGH,,,
VSL,,,
PTM,,,
DTL,,,
LNK,,,
UMG,,,
DUI,,,
GEM,,,
SDR,,,
SLX,,,
PWH,,,
CXL,,,
AGY,,,
AAC,,,
360,,,
OBL,,,
BGA,,,
CDA,,,
DXI,,,
HLI,,,
CKF,,,
SLR,,,
HSN,,,
MMS,,,
COF,,,
BGP,,,
BRN,,,
OML,,,
MP1,,,
IHVV,,,
WAF,,,
JIN,,,
MGH,,,
NEU,,,
NWS,,,
VUL,,,
29M,,,
RFF,,,
IEU,,,
LKE,,,
TYR,,,
IMU,,,
MAD,,,
