Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",165.35,-0.46,-0.28%,165.85,163,56645500,2022-08-05
AMGN,"Amgen Inc",246.25,-0.73,-0.30%,247.08,241.79,2723800,2022-08-05
AXP,"American Express Company",157.51,0.64,+0.41%,158.04,156,2513500,2022-08-05
BA,"Boeing Company",165.04,-1.46,-0.88%,167.07,163.93,4699300,2022-08-05
CAT,"Caterpillar Inc",185.39,1.75,+0.95%,186.1,183.23,1907200,2022-08-05
CRM,"Salesforce Inc",190.17,-1.1,-0.58%,191.8,186.28,4089200,2022-08-05
CSCO,"Cisco Systems Inc",45.01,-0.37,-0.82%,45.07,44.54,19533000,2022-08-05
CVX,"Chevron Corp",153.64,2.5,+1.65%,155.01,149.02,7165800,2022-08-05
DIS,"Walt Disney Company",106.63,-1.49,-1.38%,107.7,105.37,10069500,2022-08-05
DOW,"Dow Inc",51.49,0.5,+0.98%,51.77,50.73,5953300,2022-08-05
GS,"Goldman Sachs Group",334.67,2.8,+0.84%,336.91,329.67,1875900,2022-08-05
HD,"Home Depot",309.69,2.52,+0.82%,309.78,304.49,2029100,2022-08-05
HON,"Honeywell International Inc",192.27,-0.17,-0.09%,192.85,190.28,1848700,2022-08-05
IBM,"International Business Machines",132.48,0.84,+0.64%,132.67,131.07,2582600,2022-08-05
INTC,"Intel Corp",35.39,-0.27,-0.76%,35.69,35.18,40171500,2022-08-05
JNJ,"Johnson & Johnson",171.11,-0.68,-0.40%,171.53,169.79,5234600,2022-08-05
JPM,"JP Morgan Chase & Company",115.76,3.4,+3.03%,116.19,112.05,14172300,2022-08-05
KO,"Coca-Cola Company",63.38,-0.29,-0.46%,63.63,62.67,10444700,2022-08-05
MCD,"McDonald's Corp",259.23,-1.41,-0.54%,260.03,257.07,1818500,2022-08-05
MMM,"3M Company",147.41,-0.71,-0.48%,148.49,146.39,4187300,2022-08-05
MRK,"Merck & Company",87.41,0.59,+0.68%,87.53,86.02,8799600,2022-08-05
MSFT,"Microsoft Corp",282.91,-0.74,-0.26%,283.65,278.68,16767701,2022-08-05
NKE,"Nike Inc",113.87,-0.61,-0.53%,114.3,112.57,4161700,2022-08-05
PG,"Procter & Gamble Company",144.72,0.07,+0.05%,144.84,142.77,4580200,2022-08-05
TRV,"The Travelers Companies Inc",158.96,1.26,+0.80%,159.54,157.97,882300,2022-08-05
UNH,"Unitedhealth Group Inc",535.06,1.31,+0.25%,535.5,527.56,2372500,2022-08-05
V,"Visa Inc",215.87,2.4,+1.12%,215.95,210.5,5553300,2022-08-05
VZ,"Verizon Communications Inc",44.95,0.52,+1.17%,44.98,44.36,17292801,2022-08-05
WBA,"Walgreens Boots Alliance",38.99,0.01,+0.03%,39.14,38.62,5611500,2022-08-05
WMT,"Walmart Inc",126.58,1.01,+0.80%,126.81,125.12,10663600,2022-08-05
"Downloaded from Barchart.com as of 08-05-2022 06:33pm CDT"
