Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",165.35,-0.46,-0.28%,165.85,163,56696898,2022-08-05
ABNB,"Airbnb Inc Cl A",117.11,-2.11,-1.77%,118.87,114.82,6494900,2022-08-05
ADBE,"Adobe Systems Inc",433.43,2.84,+0.66%,434.54,421,2481300,2022-08-05
ADI,"Analog Devices",177.25,0.29,+0.16%,177.52,174.1,2495200,2022-08-05
ADP,"Automatic Data Procs",247.2,3.21,+1.32%,247.44,241.08,1168700,2022-08-05
ADSK,"Autodesk Inc",221.7,-0.24,-0.11%,223.12,216.14,1113400,2022-08-05
AEP,"American Electric Power Company",99.46,-0.49,-0.49%,100.17,98.67,2699200,2022-08-05
ALGN,"Align Technology",293.89,0.16,+0.05%,294.2,283.28,708200,2022-08-05
AMAT,"Applied Materials",109.62,-1.44,-1.30%,111.22,107.44,4784000,2022-08-05
AMD,"Adv Micro Devices",102.31,-1.6,-1.54%,103.86,100.98,93859797,2022-08-05
AMGN,"Amgen Inc",246.25,-0.73,-0.30%,247.08,241.79,2723800,2022-08-05
AMZN,"Amazon.com Inc",140.8,-1.77,-1.24%,142.86,139.6,50686801,2022-08-05
ANSS,"Ansys Inc",285.48,-7.15,-2.44%,292.41,283.27,473900,2022-08-05
ASML,"Asml Holdings NY Reg ADR",577.31,-11.15,-1.89%,579.58,565.98,768000,2022-08-05
ATVI,"Activision Blizzard",80.49,-0.17,-0.21%,80.65,80.03,2384900,2022-08-05
AVGO,"Broadcom Ltd",551.44,-1.36,-0.25%,552,543.28,1435700,2022-08-05
AZN,"Astrazeneca Plc ADR",66.03,-0.26,-0.39%,66.29,65.72,6336000,2022-08-05
BIDU,"Baidu Inc ADR",137.82,-2.25,-1.61%,138.43,135.51,1155200,2022-08-05
BIIB,"Biogen Inc",218.2,0.9,+0.41%,219.07,215.06,670400,2022-08-05
BKNG,"Booking Holdings Inc",1924.97,-22.28,-1.14%,1955.92,1904,383600,2022-08-05
CDNS,"Cadence Design Sys",186.55,0.97,+0.52%,186.69,181.96,1422800,2022-08-05
CEG,"Constellation Energy Corp",74.3,6.84,+10.14%,75.98,69.75,4216800,2022-08-05
CHTR,"Charter Communicatio",462.98,3.53,+0.77%,464.78,450.65,828800,2022-08-05
CMCSA,"Comcast Corp A",38.27,-0.66,-1.70%,38.42,37.76,20752199,2022-08-05
COST,"Costco Wholesale",540.67,-2.61,-0.48%,541.6,533.35,1711400,2022-08-05
CPRT,"Copart Inc",129.22,-1.12,-0.86%,130.23,127.62,973500,2022-08-05
CRWD,"Crowdstrike Holdings Inc",191.17,1.93,+1.02%,192.61,184.82,2750900,2022-08-05
CSCO,"Cisco Systems Inc",45.01,-0.37,-0.82%,45.07,44.54,19533900,2022-08-05
CSX,"CSX Corp",33.11,0.28,+0.85%,33.15,32.54,11474101,2022-08-05
CTAS,"Cintas Corp",423.61,-3.58,-0.84%,425.9,420.95,294200,2022-08-05
CTSH,"Cognizant Tech Sol",68.72,-0.02,-0.03%,68.78,67.38,2002500,2022-08-05
DDOG,"Datadog Inc Cl A",113.29,2.8,+2.53%,115.53,105.69,6396000,2022-08-05
DLTR,"Dollar Tree Inc",164.97,2.81,+1.73%,165.24,161,1102800,2022-08-05
DOCU,"Docusign Inc",72.34,1.15,+1.62%,72.9,69.02,2549700,2022-08-05
DXCM,"Dexcom Inc",89.09,-0.45,-0.50%,90.42,87.25,2220000,2022-08-05
EA,"Electronic Arts Inc",132.56,-0.68,-0.51%,132.68,131.21,1178600,2022-08-05
EBAY,"Ebay Inc",47.28,-0.59,-1.23%,47.66,46.69,5487400,2022-08-05
EXC,"Exelon Corp",44.77,-0.29,-0.64%,45.6,44.13,11593700,2022-08-05
FAST,"Fastenal Company",52.95,0.66,+1.26%,53,51.74,2049100,2022-08-05
FISV,"Fiserv Inc",106.08,-0.58,-0.54%,106.95,104.49,2943700,2022-08-05
FTNT,"Fortinet Inc",53.39,0.78,+1.48%,53.45,51.24,11779801,2022-08-05
GILD,"Gilead Sciences Inc",61.09,-0.82,-1.32%,61.84,60.62,6039800,2022-08-05
GOOG,"Alphabet Cl C",118.22,-0.65,-0.55%,118.86,116.71,15615601,2022-08-05
GOOGL,"Alphabet Cl A",117.47,-0.72,-0.61%,118.11,116,19159500,2022-08-05
HON,"Honeywell International Inc",192.27,-0.17,-0.09%,192.85,190.28,1848900,2022-08-05
IDXX,"Idexx Laboratories",407.78,2.76,+0.68%,409.74,394.51,441900,2022-08-05
ILMN,"Illumina Inc",223.77,-1.51,-0.67%,226.05,218.52,747900,2022-08-05
INTC,"Intel Corp",35.39,-0.27,-0.76%,35.69,35.18,40205000,2022-08-05
INTU,"Intuit Inc",468.99,2.69,+0.58%,470.65,455.22,933700,2022-08-05
ISRG,"Intuitive Surg Inc",240.32,-2.14,-0.88%,241.68,236.55,1861000,2022-08-05
JD,"Jd.com Inc ADR",61.91,-1.44,-2.27%,62.34,61.2,4763300,2022-08-05
KDP,"Keurig Dr Pepper Inc",38.72,0.04,+0.10%,38.74,38.1,5975100,2022-08-05
KHC,"Kraft Heinz Company",37.57,0.54,+1.46%,37.61,36.65,4683200,2022-08-05
KLAC,"K L A-Tencor Corp",395.74,-1.66,-0.42%,397.47,386,1213800,2022-08-05
LCID,"Lucid Group Inc",18.05,-0.51,-2.75%,18.6,17.92,16542500,2022-08-05
LRCX,"Lam Research Corp",519.97,-11.88,-2.23%,528.15,508.86,1045300,2022-08-05
LULU,"Lululemon Athletica",317.8,1.4,+0.44%,321.42,308.77,1012700,2022-08-05
MAR,"Marriot Int Cl A",157.01,-1.98,-1.25%,159.19,155.93,2146100,2022-08-05
MCHP,"Microchip Technology",71.46,-1.3,-1.79%,72.54,70.39,4005600,2022-08-05
MDLZ,"Mondelez Intl Inc",63.77,-0.48,-0.75%,64.15,63.13,5679900,2022-08-05
MELI,"Mercadolibre Inc",1024.81,-10.02,-0.97%,1056.54,1007.24,849700,2022-08-05
META,"Meta Platforms Inc",167.11,-3.46,-2.03%,171.61,165.8,25832699,2022-08-05
MNST,"Monster Beverage Cp",91.38,-4.98,-5.17%,92.47,88.84,6935200,2022-08-05
MRNA,"Moderna Inc",186.84,-7.34,-3.78%,192.4,182.26,5426000,2022-08-05
MRVL,"Marvell Technology Inc",56.94,-0.41,-0.71%,57.6,56.01,7832700,2022-08-05
MSFT,"Microsoft Corp",282.91,-0.74,-0.26%,283.65,278.68,16774600,2022-08-05
MTCH,"Match Group Inc",67.78,1.25,+1.88%,67.92,64.71,3531100,2022-08-05
MU,"Micron Technology",62.46,-2.39,-3.69%,63.22,61.79,15047000,2022-08-05
NFLX,"Netflix Inc",226.78,-3.13,-1.36%,228.62,222.87,5539700,2022-08-05
NTES,"Netease Inc ADR",88.98,-0.02,-0.02%,89.2,87.3,1259100,2022-08-05
NVDA,"Nvidia Corp",189.89,-2.26,-1.18%,192.29,186.66,38606801,2022-08-05
NXPI,"Nxp Semiconductors",181.66,-2.6,-1.41%,182.96,177.63,2240800,2022-08-05
ODFL,"Old Dominion Freight Line Inc",303.17,4.09,+1.37%,303.34,294.28,651500,2022-08-05
OKTA,"Okta Inc Cl A",104.47,0.4,+0.38%,105.99,100.27,1233300,2022-08-05
ORLY,"O'Reilly Automotive",709.01,2.09,+0.30%,709.85,697.78,330400,2022-08-05
PANW,"Palo Alto Networks Inc",501.37,-0.33,-0.07%,502,488.6,1685600,2022-08-05
PAYX,"Paychex Inc",129.55,0.98,+0.76%,129.8,126.99,979300,2022-08-05
PCAR,"Paccar Inc",91.13,0.25,+0.28%,91.21,89.62,864900,2022-08-05
PDD,"Pinduoduo Inc ADR",50.25,-1.01,-1.97%,50.75,49.24,5009000,2022-08-05
PEP,"Pepsico Inc",174.55,-1.32,-0.75%,174.7,172.4,3295600,2022-08-05
PYPL,"Paypal Holdings",95.32,-1.66,-1.71%,96.99,94.41,12281400,2022-08-05
QCOM,"Qualcomm Inc",150.21,-0.8,-0.53%,151.28,147.67,5041300,2022-08-05
REGN,"Regeneron Pharmaceuticals",613.61,-1.35,-0.22%,621.63,606.96,566700,2022-08-05
ROST,"Ross Stores Inc",84.23,0.47,+0.56%,84.58,82.82,1350000,2022-08-05
SBUX,"Starbucks Corp",85.73,-1.15,-1.32%,86.15,84.92,4835000,2022-08-05
SGEN,"Seagen Inc",175.81,-0.05,-0.03%,177.51,173.1,708800,2022-08-05
SIRI,"Sirius XM Holdings",6.58,-0.13,-1.94%,6.68,6.56,18518900,2022-08-05
SNPS,"Synopsys Inc",374.29,2,+0.54%,375.68,365.5,660400,2022-08-05
SPLK,"Splunk Inc",112.57,0.39,+0.35%,113.4,109.18,817400,2022-08-05
SWKS,"Skyworks Solutions",112.66,-0.86,-0.76%,114.63,111.29,2723100,2022-08-05
TEAM,"Atlassian Cls A Ord",268.59,38.18,+16.57%,269.49,245.31,6815100,2022-08-05
TMUS,"T-Mobile US",144.56,0.77,+0.54%,144.8,141.39,3500300,2022-08-05
TSLA,"Tesla Inc",864.51,-61.39,-6.63%,913.82,856.63,37724301,2022-08-05
TXN,"Texas Instruments",184.3,-0.61,-0.33%,184.67,181.58,3690000,2022-08-05
VRSK,"Verisk Analytics Inc",198.38,-0.9,-0.45%,198.61,195.7,737600,2022-08-05
VRSN,"Verisign Inc",198.7,1.5,+0.76%,199.01,193.8,527800,2022-08-05
VRTX,"Vertex Pharmaceutic",288.03,13.18,+4.80%,288.7,272.1,2398800,2022-08-05
WBA,"Walgreens Boots Alliance",38.99,0.01,+0.03%,39.14,38.62,5611800,2022-08-05
WDAY,"Workday Inc",161.71,-0.83,-0.51%,163.26,158,1812600,2022-08-05
XEL,"XCEL Energy Inc",73.8,-0.76,-1.02%,74.65,73.14,3057200,2022-08-05
ZM,"Zoom Video Communications Cl A",113.85,0.99,+0.88%,114.32,108.74,2639900,2022-08-05
ZS,"Zscaler Inc",163.42,1.43,+0.88%,164.5,157.85,1632800,2022-08-05
"Downloaded from Barchart.com as of 08-06-2022 12:20am CDT"
