Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",163.62,-6.41,-3.77%,171.05,163.56,78960898,2022-08-26
ABBV,"Abbvie Inc",136.35,-2.98,-2.14%,139.85,136.25,3838700,2022-08-26
ABT,"Abbott Laboratories",101.9,-3.99,-3.77%,106.3,101.63,5440600,2022-08-26
ACN,"Accenture Plc",298.13,-11.64,-3.76%,309.91,298,1701600,2022-08-26
ADBE,"Adobe Systems Inc",381.02,-22.91,-5.67%,405.54,380.5,3600100,2022-08-26
AIG,"American International Group",53,-2.26,-4.09%,55.62,52.95,5647900,2022-08-26
AMGN,"Amgen Inc",240.65,-5.03,-2.05%,246.36,240.45,2969500,2022-08-26
AMT,"American Tower Corp",261.19,-7.05,-2.63%,268.31,261.07,1227300,2022-08-26
AMZN,"Amazon.com Inc",130.75,-6.53,-4.76%,137.83,130.5,53322598,2022-08-26
AVGO,"Broadcom Ltd",520.86,-29.27,-5.32%,550.99,520,2568200,2022-08-26
AXP,"American Express Company",157.31,-4.92,-3.03%,163.59,157.19,2373700,2022-08-26
BA,"Boeing Company",164.53,-4.85,-2.86%,171.37,164.27,4957400,2022-08-26
BAC,"Bank of America Corp",34.03,-1.11,-3.16%,35.475,34.02,36152500,2022-08-26
BK,"Bank of New York Mellon Corp",42,-1.5,-3.45%,43.85,41.99,3185400,2022-08-26
BKNG,"Booking Holdings Inc",1910.96,-97.58,-4.86%,2020.84,1908,383900,2022-08-26
BLK,"Blackrock Inc",676.44,-34.16,-4.81%,714.27,675.77,633200,2022-08-26
BMY,"Bristol-Myers Squibb Company",71.19,-0.31,-0.43%,72.04,71.125,7373200,2022-08-26
BRK.B,"Berkshire Hathaway Cl B",289.96,-8.17,-2.74%,299.63,289.65,5280700,2022-08-26
C,"Citigroup Inc",49.78,-2.28,-4.38%,52.34,49.75,20049600,2022-08-26
CAT,"Caterpillar Inc",191.92,-6.96,-3.50%,200.3677,191.73,2560300,2022-08-26
CHTR,"Charter Communicatio",425.77,-12.77,-2.91%,446.01,425.35,1188700,2022-08-26
CL,"Colgate-Palmolive Company",79.21,-1.71,-2.11%,81.2,79.07,3407500,2022-08-26
CMCSA,"Comcast Corp A",36.8,-0.8,-2.13%,38.08,36.78,21742201,2022-08-26
COF,"Capital One Financial Corp",109.82,-3.84,-3.38%,114.41,109.6776,2212300,2022-08-26
COP,Conocophillips,112.12,0.040000000000006,+0.04%,114.25,111.49,6508800,2022-08-26
COST,"Costco Wholesale",531.82,-18.95,-3.44%,552.67,531.67,1886700,2022-08-26
CRM,"Salesforce Inc",165.23,-8.68,-4.99%,176.3,164.63,11074700,2022-08-26
CSCO,"Cisco Systems Inc",45.89,-1.38,-2.92%,47.27,45.88,20309799,2022-08-26
CVS,"CVS Corp",100.06,-2.09,-2.05%,102.5,99.98,2853100,2022-08-26
CVX,"Chevron Corp",163.41,-1.21,-0.74%,166.13,162.46,7765700,2022-08-26
DD,"Dupont Denemours Inc",57.82,-2.77,-4.57%,61.2,57.79,2537800,2022-08-26
DHR,"Danaher Corp",280.33,-10.64,-3.66%,291.77,280.0875,1673600,2022-08-26
DIS,"Walt Disney Company",114.07,-3.39,-2.89%,118.37,113.89,7807400,2022-08-26
DOW,"Dow Inc",54.46,-1.3,-2.33%,56.37,54.26,5777700,2022-08-26
DUK,"Duke Energy Corp",108.73,-1.97,-1.78%,110.89,108.61,3366900,2022-08-26
EMR,"Emerson Electric Company",84.66,-3.31,-3.76%,88.16,84.6,2038200,2022-08-26
EXC,"Exelon Corp",44.71,-1.11,-2.42%,46.14,44.67,7581700,2022-08-26
F,"Ford Motor Company",15.41,-0.52,-3.26%,16.09,15.41,54517200,2022-08-26
FDX,"Fedex Corp",218.16,-9.87,-4.33%,229.4,218.02,1548000,2022-08-26
GD,"General Dynamics Corp",232.59,-5.42,-2.28%,239.1,232.36,665400,2022-08-26
GE,"General Electric Company",75.27,-2.87,-3.67%,78.6242,75.21,5375900,2022-08-26
GILD,"Gilead Sciences Inc",62.37,-1.22,-1.92%,63.62,62.35,5501200,2022-08-26
GM,"General Motors Company",39.23,-1.16,-2.87%,41.09,39.22,16179500,2022-08-26
GOOG,"Alphabet Cl C",111.3,-6.4,-5.44%,116.6,111.22,31698602,2022-08-26
GOOGL,"Alphabet Cl A",110.34,-6.31,-5.41%,115.12,110.19,37245598,2022-08-26
GS,"Goldman Sachs Group",336.4,-10.09,-2.91%,348.74,336,1703900,2022-08-26
HD,"Home Depot",298.1,-11.68,-3.77%,311.505,298.02,3315500,2022-08-26
HON,"Honeywell International Inc",193.06,-7.37,-3.68%,200.44,192.94,2837100,2022-08-26
IBM,"International Business Machines",130.38,-3.6,-2.69%,134.18,130.34,4185200,2022-08-26
INTC,"Intel Corp",33.36,-1.53,-4.39%,35.03,33.35,44851398,2022-08-26
JNJ,"Johnson & Johnson",164.27,-2.86,-1.71%,167.5,164.195,5667100,2022-08-26
JPM,"JP Morgan Chase & Company",114.67,-3.88,-3.27%,119.99,114.6,11276200,2022-08-26
KHC,"Kraft Heinz Company",38.11,-0.5,-1.30%,38.85,38.11,5474800,2022-08-26
KO,"Coca-Cola Company",63.11,-1.56,-2.41%,64.8,62.98,10089500,2022-08-26
LIN,"Linde Plc",286.25,-10.87,-3.66%,297.22,286.03,1782500,2022-08-26
LLY,"Eli Lilly and Company",315.56,-7.58,-2.35%,324.5899,315.265,1857900,2022-08-26
LMT,"Lockheed Martin Corp",431.13,-7.51,-1.71%,442.775,430.94,876300,2022-08-26
LOW,"Lowe's Companies",200.99,-9.97,-4.73%,212.63,200.94,3720400,2022-08-26
MA,"Mastercard Inc",331.96,-12.71,-3.69%,345.64,331.7,1925000,2022-08-26
MCD,"McDonald's Corp",256.95,-5.61,-2.14%,263.2,256.39,2357800,2022-08-26
MDLZ,"Mondelez Intl Inc",62.73,-1.73,-2.68%,64.68,62.57,7071800,2022-08-26
MDT,"Medtronic Inc",89.43,-2.71,-2.94%,92.93,89.38,5407600,2022-08-26
MET,"Metlife Inc",65.68,-1.59,-2.36%,67.83,65.63,3356600,2022-08-26
META,"Meta Platforms Inc",161.78,-7,-4.15%,170.92,161.67,24023602,2022-08-26
MMM,"3M Company",129.14,-13.62,-9.54%,144.01,128.68,38384100,2022-08-26
MO,"Altria Group",45.88,-0.51,-1.10%,46.61,45.85,6931100,2022-08-26
MRK,"Merck & Company",89.26,-1.01,-1.12%,90.74,89.09,5695500,2022-08-26
MS,"Morgan Stanley",86.81,-3.1,-3.45%,90.49,86.72,7911500,2022-08-26
MSFT,"Microsoft Corp",268.09,-10.76,-3.86%,280.34,267.98,27549299,2022-08-26
NEE,"Nextera Energy",88.06,-1.33,-1.49%,90.56,87.74,7990100,2022-08-26
NFLX,"Netflix Inc",223.28,-10.7,-4.57%,236.95,223.15,5349800,2022-08-26
NKE,"Nike Inc",108.28,-4.94,-4.36%,113.73,108.23,6203500,2022-08-26
NVDA,"Nvidia Corp",162.6,-16.53,-9.23%,179.24,162.37,76912703,2022-08-26
ORCL,"Oracle Corp",74.65,-2.24,-2.91%,77.26,74.57,4904300,2022-08-26
PEP,"Pepsico Inc",175.04,-4.23,-2.36%,179.98,174.67,5246600,2022-08-26
PFE,"Pfizer Inc",46.82,-1.08,-2.25%,47.96,46.701,16546700,2022-08-26
PG,"Procter & Gamble Company",142.29,-3.41,-2.34%,146.53,142.02,6086500,2022-08-26
PM,"Philip Morris International Inc",96.55,-1.64,-1.67%,98.74,96.48,2938000,2022-08-26
PYPL,"Paypal Holdings",92.7,-4.02,-4.16%,97.46,92.63,12286500,2022-08-26
QCOM,"Qualcomm Inc",138.38,-7.87,-5.38%,147.36,138.05,7918600,2022-08-26
RTX,"Raytheon Technologies Corp",93.52,-2.61,-2.72%,96.83,93.49,2805600,2022-08-26
SBUX,"Starbucks Corp",84.06,-3.33,-3.81%,87.99,83.96,6674900,2022-08-26
SCHW,"The Charles Schwab Corp",71.89,-2.11,-2.85%,74.61,71.83,5369800,2022-08-26
SO,"Southern Company",78.2,-0.92,-1.16%,79.477,78.14,3091500,2022-08-26
SPG,"Simon Property Group",104.85,-3.39,-3.13%,108.55,104.84,1538500,2022-08-26
T,"AT&T Inc",17.89,-0.2,-1.11%,18.09,17.85,30590600,2022-08-26
TGT,"Target Corp",160.62,-6.88,-4.11%,168.12,160.6,3607600,2022-08-26
TMO,"Thermo Fisher Scientific Inc",563.71,-21.76,-3.72%,585.25,563.51,771900,2022-08-26
TMUS,"T-Mobile US",143.02,-4.05,-2.75%,148.04,142.79,4347600,2022-08-26
TSLA,"Tesla Inc",288.09,-7.98,-2.70%,302,287.47,57163898,2022-08-26
TXN,"Texas Instruments",169.49,-7.82,-4.41%,177.93,169.43,6583600,2022-08-26
UNH,"Unitedhealth Group Inc",529.25,-12.32,-2.27%,543.19,528.22,1906600,2022-08-26
UNP,"Union Pacific Corp",231.27,-7.8,-3.26%,239.12,230.95,1728800,2022-08-26
UPS,"United Parcel Service",198.93,-6.07,-2.96%,205.6996,198.87,2204000,2022-08-26
USB,"U.S. Bancorp",46.49,-1.27,-2.66%,48.06,46.47,5070200,2022-08-26
V,"Visa Inc",202.89,-6.93,-3.30%,210.2599,202.7,5060200,2022-08-26
VZ,"Verizon Communications Inc",43.25,-0.49,-1.12%,43.7,43.24,16795600,2022-08-26
WBA,"Walgreens Boots Alliance",36,-0.8,-2.17%,36.99,36,6927600,2022-08-26
WFC,"Wells Fargo & Company",43.97,-1.42,-3.13%,45.72,43.94,13405200,2022-08-26
WMT,"Walmart Inc",131.6,-4.27,-3.14%,136.83,131.515,7110600,2022-08-26
XOM,"Exxon Mobil Corp",97.87,-1.22,-1.23%,99.91,97.42,15531300,2022-08-26
"Downloaded from Barchart.com as of 08-27-2022 08:08pm CDT"
