Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",151.6,-1.35,-0.88%,153.09,150.8,54781301,2022-07-26
ABBV,"Abbvie Inc",150.87,0.65,+0.43%,153.56,150.33,4900600,2022-07-26
ABT,"Abbott Laboratories",109.09,0.59,+0.54%,109.88,108.3,4823500,2022-07-26
ACN,"Accenture Plc",285.18,-4.11,-1.42%,288.71,283.66,1710700,2022-07-26
ADBE,"Adobe Systems Inc",379.26,-12.7,-3.24%,393.58,378.16,2359300,2022-07-26
AIG,"American International Group",51.73,-0.32,-0.61%,52.41,51.33,2729200,2022-07-26
AMGN,"Amgen Inc",251.14,2.42,+0.97%,253.76,248.75,2527500,2022-07-26
AMT,"American Tower Corp",258.98,1.64,+0.64%,263.07,257.82,1579700,2022-07-26
AMZN,"Amazon.com Inc",114.81,-6.33,-5.23%,118.15,114.53,66587805,2022-07-26
AVGO,"Broadcom Ltd",511.09,-2.02,-0.39%,516.81,508.92,1794300,2022-07-26
AXP,"American Express Company",149.83,-3.96,-2.57%,153.5,148.84,2810800,2022-07-26
BA,"Boeing Company",155.92,-0.72,-0.46%,158.18,154.5,6032700,2022-07-26
BAC,"Bank of America Corp",33.05,-0.68,-2.02%,33.78,32.96,30600500,2022-07-26
BK,"Bank of New York Mellon Corp",42.11,-0.91,-2.12%,42.97,41.94,2699800,2022-07-26
BKNG,"Booking Holdings Inc",1795.8,-38.87,-2.12%,1824.55,1794.75,299800,2022-07-26
BLK,"Blackrock Inc",622.94,-13.21,-2.08%,634.13,620.28,498500,2022-07-26
BMY,"Bristol-Myers Squibb Company",73.63,0.79,+1.08%,74.23,72.96,8956800,2022-07-26
BRK.B,"Berkshire Hathaway Cl B",285.31,-2.68,-0.93%,288.71,284.65,2512200,2022-07-26
C,"Citigroup Inc",51.4,-0.76,-1.46%,52.8,51.24,18954699,2022-07-26
CAT,"Caterpillar Inc",181.23,-0.58,-0.32%,183.65,180.58,1766800,2022-07-26
CHTR,"Charter Communicatio",479.01,0.03,+0.01%,482.69,474.18,772800,2022-07-26
CL,"Colgate-Palmolive Company",78.53,0.68,+0.87%,78.61,77.15,2572300,2022-07-26
CMCSA,"Comcast Corp A",42.72,0.25,+0.59%,42.84,42.21,25375201,2022-07-26
COF,"Capital One Financial Corp",106.36,-4.57,-4.12%,110.41,106.34,2370000,2022-07-26
COP,Conocophillips,91.09,-0.96,-1.04%,94.18,89.97,7127000,2022-07-26
COST,"Costco Wholesale",511.93,-17.21,-3.25%,519.68,508.76,3326600,2022-07-26
CRM,"Salesforce Inc",170.46,-6.83,-3.85%,177.13,169.76,3881300,2022-07-26
CSCO,"Cisco Systems Inc",43.83,-0.51,-1.15%,44.54,43.75,19483600,2022-07-26
CVS,"CVS Corp",95.31,0.82,+0.87%,95.6,94.51,4423100,2022-07-26
CVX,"Chevron Corp",147.32,-1.16,-0.78%,150.68,146.53,6105200,2022-07-26
DD,"Dupont Denemours Inc",57.68,-0.35,-0.60%,58.25,57.26,1979000,2022-07-26
DHR,"Danaher Corp",276.5,3.12,+1.14%,276.71,272.44,2128900,2022-07-26
DIS,"Walt Disney Company",99.78,-2.91,-2.83%,102.36,99.56,6332000,2022-07-26
DOW,"Dow Inc",51.3,-0.28,-0.54%,51.8,50.95,4130300,2022-07-26
DUK,"Duke Energy Corp",107.02,1.04,+0.98%,107.32,105.51,1788900,2022-07-26
EMR,"Emerson Electric Company",84.07,-0.12,-0.14%,85.29,83.89,2490300,2022-07-26
EXC,"Exelon Corp",44.7,0.28,+0.63%,44.97,44.35,4655600,2022-07-26
F,"Ford Motor Company",12.54,-0.3,-2.34%,12.76,12.46,49109801,2022-07-26
FDX,"Fedex Corp",224.87,-3.3,-1.45%,226.65,221.11,1559800,2022-07-26
GD,"General Dynamics Corp",217.63,-1.17,-0.53%,219.64,217.12,1038100,2022-07-26
GE,"General Electric Company",71.51,3.15,+4.61%,73.37,69.15,18037100,2022-07-26
GILD,"Gilead Sciences Inc",60.62,-0.13,-0.21%,61.25,60.32,5595100,2022-07-26
GM,"General Motors Company",33.34,-1.18,-3.42%,34.08,33.04,14520500,2022-07-26
GOOG,"Alphabet Cl C",105.44,-2.77,-2.56%,107.74,104.76,36092898,2022-07-26
GOOGL,"Alphabet Cl A",105.02,-2.49,-2.32%,107.2,104.07,47204199,2022-07-26
GS,"Goldman Sachs Group",318.55,-5.57,-1.72%,324.29,317.76,2051300,2022-07-26
HD,"Home Depot",298.18,-7.97,-2.60%,300.64,295.91,2687900,2022-07-26
HON,"Honeywell International Inc",181.42,0.16,+0.09%,183.53,180.41,2315800,2022-07-26
IBM,"International Business Machines",128.08,-0.46,-0.36%,129.3,127.63,3642100,2022-07-26
INTC,"Intel Corp",38.96,-0.2,-0.51%,39.56,38.88,35699699,2022-07-26
JNJ,"Johnson & Johnson",173.68,1.22,+0.71%,174.98,172.49,4524600,2022-07-26
JPM,"JP Morgan Chase & Company",113.42,-1.8,-1.56%,115.58,113.03,10672800,2022-07-26
KHC,"Kraft Heinz Company",38.64,0.26,+0.68%,38.68,38.03,6341000,2022-07-26
KO,"Coca-Cola Company",63.21,1.02,+1.64%,63.8,62.53,20107000,2022-07-26
LIN,"Linde Plc",286.62,-1.47,-0.51%,287.65,284.35,1448400,2022-07-26
LLY,"Eli Lilly and Company",331.56,0.01,0.00%,332.57,328.61,1811600,2022-07-26
LMT,"Lockheed Martin Corp",396.81,-2.99,-0.75%,402.98,396.57,992000,2022-07-26
LOW,"Lowe's Companies",188.6,-6.2,-3.18%,190.97,187.6,3643900,2022-07-26
MA,"Mastercard Inc",341.28,-2.93,-0.85%,344.63,339.3,2252100,2022-07-26
MCD,"McDonald's Corp",257.09,6.71,+2.68%,259.22,248.7,5264300,2022-07-26
MDLZ,"Mondelez Intl Inc",62.94,0.18,+0.29%,63.1,61.97,7700700,2022-07-26
MDT,"Medtronic Inc",91.9,1.15,+1.27%,92.22,90.71,5163000,2022-07-26
MET,"Metlife Inc",61.25,-0.38,-0.62%,61.9,61,2600900,2022-07-26
META,"Meta Platforms Inc",159.15,-7.5,-4.50%,166,157.95,28170502,2022-07-26
MMM,"3M Company",140.75,6.63,+4.94%,145.7,138.52,12547801,2022-07-26
MO,"Altria Group",44.14,0.31,+0.71%,44.26,43.81,5601900,2022-07-26
MRK,"Merck & Company",91.29,0.76,+0.84%,91.95,90.6,6412800,2022-07-26
MS,"Morgan Stanley",80.79,-1.76,-2.13%,82.57,80.63,7121300,2022-07-26
MSFT,"Microsoft Corp",251.9,-6.93,-2.68%,259.88,249.57,37865199,2022-07-26
NEE,"Nextera Energy",79.91,-1.07,-1.32%,80.62,79.18,6740800,2022-07-26
NFLX,"Netflix Inc",213.91,-4.6,-2.11%,219.39,211.64,9481200,2022-07-26
NKE,"Nike Inc",105.2,-4.08,-3.73%,107.93,104.57,8456100,2022-07-26
NVDA,"Nvidia Corp",165.33,-4.91,-2.88%,169.19,164.78,39507500,2022-07-26
ORCL,"Oracle Corp",74.03,-0.83,-1.11%,75.3,73.71,7284000,2022-07-26
