Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",182.87,-6.76,-3.56%,186.39,182.5,727500,2022-07-26
AMZN,"Amazon.com Inc",114.81,-6.33,-5.23%,118.15,114.53,67075000,2022-07-26
APTV,"Aptiv Plc",96.24,-1.63,-1.67%,97.42,95.44,1854700,2022-07-26
AZO,Autozone,2097.4,-47.47,-2.21%,2133.17,2078.83,202400,2022-07-26
BBWI,"Bath & Body Works Inc",33.2,-0.22,-0.66%,33.35,31.73,5097000,2022-07-26
BBY,"Best Buy Company",72.01,-3.83,-5.05%,73.54,71.63,3297100,2022-07-26
BKNG,"Booking Holdings Inc",1795.8,-38.87,-2.12%,1824.55,1794.75,300300,2022-07-26
BWA,"Borgwarner Inc",36.46,-0.2,-0.55%,36.66,36,1452000,2022-07-26
CCL,"Carnival Corp",8.5,-0.68,-7.41%,9.1,8.46,68820094,2022-07-26
CMG,"Chipotle Mexican Grill",1316.43,-12.44,-0.94%,1327.1,1291.63,503000,2022-07-26
CZR,"Caesars Entertainment Inc",40.3,-1.88,-4.46%,41.67,39.69,3186800,2022-07-26
DG,"Dollar General Corp",241.39,-6.33,-2.56%,244.06,239.32,2158000,2022-07-26
DHI,"D.R. Horton",75.23,-0.13,-0.17%,75.8,74.17,3569300,2022-07-26
DLTR,"Dollar Tree Inc",157.82,-10.6,-6.29%,164.65,157.11,3233700,2022-07-26
DPZ,"Domino's Pizza Inc",386.75,-1.24,-0.32%,393.97,380.74,865500,2022-07-26
DRI,"Darden Restaurants",115.11,-3.67,-3.09%,117.62,115.07,1102500,2022-07-26
EBAY,"Ebay Inc",45.66,-0.9,-1.93%,45.79,45.24,3834100,2022-07-26
ETSY,"Etsy Inc",93.3,-3.17,-3.29%,94.27,90.17,4816200,2022-07-26
EXPE,"Expedia Group Inc",97.73,-3.02,-3.00%,99.61,97.54,1340000,2022-07-26
F,"Ford Motor Company",12.54,-0.3,-2.34%,12.76,12.46,49272301,2022-07-26
GM,"General Motors Company",33.34,-1.18,-3.42%,34.08,33.04,14533000,2022-07-26
GPC,"Genuine Parts Company",142.73,-1.8,-1.25%,144.18,141.9,901700,2022-07-26
GRMN,"Garmin Ltd",102.5,-1.58,-1.52%,103.4,101.82,1242500,2022-07-26
HAS,"Hasbro Inc",77.54,-1.12,-1.42%,78.63,77.04,1719400,2022-07-26
HD,"Home Depot",298.18,-7.97,-2.60%,300.64,295.91,2690200,2022-07-26
HLT,"Hilton Inc",120.22,-1.97,-1.61%,121.89,120.08,2203900,2022-07-26
KMX,"Carmax Inc",92.21,-2.42,-2.56%,93.52,91.3,825300,2022-07-26
LEN,"Lennar Corp",81.04,-0.57,-0.70%,81.61,79.91,2445200,2022-07-26
LKQ,"LKQ Corp",52.17,-1.08,-2.03%,52.97,51.88,1629200,2022-07-26
LOW,"Lowe's Companies",188.6,-6.2,-3.18%,190.97,187.6,3647200,2022-07-26
LVS,"Las Vegas Sands",38.22,-0.63,-1.62%,38.8,38.19,4129300,2022-07-26
MAR,"Marriot Int Cl A",151.04,-1.95,-1.27%,152.8,150.56,2032400,2022-07-26
MCD,"McDonald's Corp",257.09,6.71,+2.68%,259.22,248.7,5272200,2022-07-26
MGM,"MGM Resorts International",29.93,-0.85,-2.76%,30.59,29.81,3487200,2022-07-26
MHK,"Mohawk Industries",133.25,-0.95,-0.71%,134.75,131.9,326400,2022-07-26
NCLH,"Norwegian Cruise Ord",11.18,-0.64,-5.41%,11.67,11.16,14488199,2022-07-26
NKE,"Nike Inc",105.2,-4.08,-3.73%,107.93,104.57,8459399,2022-07-26
NVR,"NVR Inc",4360.02,-104.81,-2.35%,4463.85,4350.01,17100,2022-07-26
NWL,"Newell Rubbermaid Inc",19.79,-0.21,-1.05%,20.06,19.33,3253000,2022-07-26
ORLY,"O'Reilly Automotive",675.35,-9.85,-1.44%,681.91,672.46,556500,2022-07-26
PENN,"Penn Natl Gaming Inc",32.81,-0.99,-2.93%,33.42,32.62,2042600,2022-07-26
PHM,Pultegroup,42.8,-1.9,-4.25%,45.3,42.77,3209700,2022-07-26
POOL,"Pool Corp",343.15,-11.85,-3.34%,350.84,341.3,424000,2022-07-26
PVH,"Phillips-Van Heusen Corp",58.03,-3.72,-6.02%,59.94,57.82,1194400,2022-07-26
RCL,"Royal Caribbean Cruises Ltd",33.12,-1.3,-3.78%,34.17,33,4363700,2022-07-26
RL,"Ralph Lauren Corp",90.63,-6.15,-6.35%,94.41,90.56,1140100,2022-07-26
ROST,"Ross Stores Inc",77.96,-4.67,-5.65%,79.43,77.67,3430100,2022-07-26
SBUX,"Starbucks Corp",80.31,-1.19,-1.46%,81.42,80,6587000,2022-07-26
TGT,"Target Corp",151.81,-5.68,-3.61%,152.62,149.5,4619900,2022-07-26
TJX,"TJX Companies",60.66,-2.63,-4.16%,61.3,60.35,7473600,2022-07-26
TPR,"Tapestry Inc",32.52,-1.58,-4.63%,33.66,32.33,3011500,2022-07-26
TSCO,"Tractor Supply Company",183.64,-10.23,-5.28%,190.73,182.48,1810600,2022-07-26
TSLA,"Tesla Inc",776.58,-28.72,-3.57%,801.93,768.79,22273500,2022-07-26
ULTA,"Ulta Beauty Inc",384.79,-16.47,-4.10%,392.83,380.81,997600,2022-07-26
VFC,"V.F. Corp",45.32,-2.16,-4.55%,46.71,45.18,3413400,2022-07-26
WHR,"Whirlpool Corp",168.36,3.71,+2.25%,170.12,165.55,2780600,2022-07-26
WYNN,"Wynn Resorts Ltd",61.25,-0.98,-1.57%,62.17,60.85,1399500,2022-07-26
YUM,"Yum! Brands",117.84,0.79,+0.67%,118.76,116.41,1451100,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 08:39pm CDT"
