Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",125.17,0.91,+0.73%,125.63,123.37,1259900,2022-07-26
AAL,"American Airlines Gp",13.43,-0.32,-2.33%,13.65,13.35,23978100,2022-07-26
AAPL,"Apple Inc",151.6,-1.35,-0.88%,153.09,150.8,55138602,2022-07-26
ABBV,"Abbvie Inc",150.87,0.65,+0.43%,153.56,150.33,4900700,2022-07-26
ABC,"Amerisourcebergen Corp",145.2,1.05,+0.73%,145.37,143.85,696500,2022-07-26
ABT,"Abbott Laboratories",109.09,0.59,+0.54%,109.88,108.3,4823900,2022-07-26
ADBE,"Adobe Systems Inc",379.26,-12.7,-3.24%,393.58,378.16,2368500,2022-07-26
ADM,"Archer Daniels Midland",78.92,3.3,+4.36%,80,76.65,5602500,2022-07-26
ADSK,"Autodesk Inc",193.07,-2.64,-1.35%,196.92,192.17,1470600,2022-07-26
AFL,"Aflac Inc",55.64,-0.42,-0.75%,56.36,55.46,1969700,2022-07-26
AIG,"American International Group",51.73,-0.32,-0.61%,52.41,51.33,2729200,2022-07-26
AIZ,"Assurant Inc",171.94,-0.02,-0.01%,173.37,171.51,307200,2022-07-26
ALB,"Albemarle Corp",225.1,-2.47,-1.09%,229.12,224.44,881400,2022-07-26
ALL,"Allstate Corp",115.12,-1.6,-1.37%,117.34,115.06,1457800,2022-07-26
AMAT,"Applied Materials",98.91,-2.09,-2.07%,100.98,98.57,5073800,2022-07-26
AMCR,"Amcor Plc",12.9,0.16,+1.26%,12.91,12.64,8552199,2022-07-26
AMD,"Adv Micro Devices",85.25,-2.29,-2.62%,87.75,84.71,69180305,2022-07-26
AMGN,"Amgen Inc",251.14,2.42,+0.97%,253.76,248.75,2528600,2022-07-26
AMP,"Ameriprise Financial Services",241.58,-4.46,-1.81%,245.04,239.35,778400,2022-07-26
AMT,"American Tower Corp",258.98,1.64,+0.64%,263.07,257.82,1579700,2022-07-26
AMZN,"Amazon.com Inc",114.81,-6.33,-5.23%,118.15,114.53,67075000,2022-07-26
ANET,"Arista Networks Inc",103.34,-0.12,-0.12%,106.06,102.58,2255900,2022-07-26
ANSS,"Ansys Inc",253.75,-4.17,-1.62%,258.76,252.4,302200,2022-07-26
APA,"Apa Corp",33.84,-0.59,-1.71%,35.25,33.08,6634600,2022-07-26
APD,"Air Products and Chemicals",234.63,-0.58,-0.25%,235.43,233.06,652100,2022-07-26
APTV,"Aptiv Plc",96.24,-1.63,-1.67%,97.42,95.44,1854700,2022-07-26
ARE,"Alexandria Real Estate Equities",156.49,6.2,+4.13%,157.29,150.81,1562400,2022-07-26
AVB,"Avalonbay Communities",197.54,0,0.00%,199.21,196.45,488500,2022-07-26
AWK,"American Water Works",150.56,0.73,+0.49%,150.75,148.84,683000,2022-07-26
AXP,"American Express Company",149.83,-3.96,-2.57%,153.5,148.84,2812600,2022-07-26
BAC,"Bank of America Corp",33.05,-0.68,-2.02%,33.78,32.96,30645701,2022-07-26
BALL,"Ball Corporation",70.16,0.3,+0.43%,70.3,69.11,1525700,2022-07-26
BAX,"Baxter International Inc",66.74,0.48,+0.72%,66.78,65.9,2437500,2022-07-26
BBY,"Best Buy Company",72.01,-3.83,-5.05%,73.54,71.63,3297100,2022-07-26
BDX,"Becton Dickinson and Company",244.15,1.52,+0.63%,245.6,241.95,548800,2022-07-26
BEN,"Franklin Resources",24.87,-0.36,-1.43%,25.23,24.75,2849500,2022-07-26
BF.B,"Brown Forman Inc Cl B",71.87,0.57,+0.80%,71.9,71.13,762900,2022-07-26
BIIB,"Biogen Inc",210.85,3.28,+1.58%,214.02,206.7,916100,2022-07-26
BIO,"Bio-Rad Laboratories",534.68,6.5,+1.23%,535.5,517.84,164500,2022-07-26
BK,"Bank of New York Mellon Corp",42.11,-0.91,-2.12%,42.97,41.94,2699800,2022-07-26
BKR,"Baker Hughes A Ge Co. Cl A",24.3,-0.1,-0.41%,24.91,24.13,12965100,2022-07-26
BLK,"Blackrock Inc",622.94,-13.21,-2.08%,634.13,620.28,498500,2022-07-26
BMY,"Bristol-Myers Squibb Company",73.63,0.79,+1.08%,74.23,72.96,8957300,2022-07-26
BSX,"Boston Scientific Corp",37.96,-0.04,-0.11%,38.23,37.69,10690000,2022-07-26
