Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",125.17,0.91,+0.73%,124.66,125.63,123.37,1259900,2022-07-26
ABBV,"Abbvie Inc",150.87,0.65,+0.43%,151.15,153.56,150.33,4900700,2022-07-26
ABC,"Amerisourcebergen Corp",145.2,1.05,+0.73%,144.57,145.37,143.85,696500,2022-07-26
ABMD,"Abiomed Inc",278.51,-1.93,-0.69%,279.54,281.76,276.98,237100,2022-07-26
ABT,"Abbott Laboratories",109.09,0.59,+0.54%,108.71,109.88,108.3,4823800,2022-07-26
ALGN,"Align Technology",251.86,-0.21,-0.08%,253.16,253.16,247.11,1334700,2022-07-26
AMGN,"Amgen Inc",251.14,2.42,+0.97%,249.63,253.76,248.75,2528600,2022-07-26
BAX,"Baxter International Inc",66.74,0.48,+0.72%,66.63,66.78,65.9,2437400,2022-07-26
BDX,"Becton Dickinson and Company",244.15,1.52,+0.63%,244.45,245.6,241.95,548800,2022-07-26
BIIB,"Biogen Inc",210.85,3.28,+1.58%,206.7,214.02,206.7,916100,2022-07-26
BIO,"Bio-Rad Laboratories",534.68,6.5,+1.23%,528.37,535.5,517.84,164500,2022-07-26
BMY,"Bristol-Myers Squibb Company",73.63,0.79,+1.08%,73.47,74.23,72.96,8957200,2022-07-26
BSX,"Boston Scientific Corp",37.96,-0.04,-0.11%,38.18,38.23,37.69,10690000,2022-07-26
CAH,"Cardinal Health",57.8,0.52,+0.91%,57.54,57.99,57.28,1734600,2022-07-26
CI,"Cigna Corp",274.83,2.2,+0.81%,274.15,275.65,272.82,1731400,2022-07-26
CNC,"Centene Corp",93.15,1.22,+1.33%,92.61,94.58,91.85,4011700,2022-07-26
COO,"Cooper Companies",310.85,-2.86,-0.91%,314.3,314.3,310.08,243600,2022-07-26
CRL,"Charles River Laboratories Intl",232.73,-2.59,-1.10%,233.72,233.72,226.02,320300,2022-07-26
CTLT,"Catalent Inc",107.63,-0.29,-0.27%,108.46,108.92,105.31,804900,2022-07-26
CVS,"CVS Corp",95.31,0.82,+0.87%,94.58,95.6,94.51,4423700,2022-07-26
DGX,"Quest Diagnostics Inc",133.2,2.15,+1.64%,130.5,133.35,129.07,947500,2022-07-26
DHR,"Danaher Corp",276.5,3.12,+1.14%,273.58,276.71,272.44,2128900,2022-07-26
DVA,"Davita Healthcare Partners Inc",85.57,-0.32,-0.37%,85.92,86.84,85.25,693300,2022-07-26
DXCM,"Dexcom Inc",82.7,0.1,+0.12%,82.82,83.5,80.78,2569700,2022-07-26
ELV,"Elevance Health Inc",468.96,-1.9,-0.40%,474.53,475.33,468.45,818100,2022-07-26
EW,"Edwards Lifesciences Corp",102.13,0.04,+0.04%,102.19,102.5,101.29,1981300,2022-07-26
GILD,"Gilead Sciences Inc",60.62,-0.13,-0.21%,60.7,61.25,60.32,5597100,2022-07-26
HCA,"Hca Holdings Inc",203.94,5.31,+2.67%,198.43,204.21,198.43,1800200,2022-07-26
HOLX,"Hologic Inc",70.06,-0.2,-0.28%,70.69,70.77,69.68,1370400,2022-07-26
HSIC,"Henry Schein Inc",77.56,0.14,+0.18%,77.54,78.01,77.17,424600,2022-07-26
HUM,"Humana Inc",492.28,0.49,+0.10%,493,494.49,488.8,862200,2022-07-26
IDXX,"Idexx Laboratories",377,1.44,+0.38%,378.98,381.6,373.05,514200,2022-07-26
ILMN,"Illumina Inc",199.29,-0.22,-0.11%,199.64,199.94,196,830600,2022-07-26
INCY,"Incyte Corp",79.84,-0.78,-0.97%,80.45,81.07,79.65,1343000,2022-07-26
IQV,"Iqvia Holdings Inc",219.68,-1.94,-0.88%,221.31,221.67,215.11,995800,2022-07-26
ISRG,"Intuitive Surg Inc",216.79,-2.38,-1.09%,218.11,219.92,214.08,2376700,2022-07-26
JNJ,"Johnson & Johnson",173.68,1.22,+0.71%,172.56,174.98,172.49,4525400,2022-07-26
LH,"Laboratory Corp of America Holdings",246.92,0.03,+0.01%,246.86,247.22,244.31,532200,2022-07-26
LLY,"Eli Lilly and Company",331.56,0.01,0.00%,330.99,332.57,328.61,1812200,2022-07-26
MCK,"Mckesson Corp",337.67,1.47,+0.44%,338.09,339.79,336.87,709900,2022-07-26
MDT,"Medtronic Inc",91.9,1.15,+1.27%,91.08,92.22,90.71,5163000,2022-07-26
MOH,"Molina Healthcare Inc",308.68,0.97,+0.32%,308.79,309.77,304.39,281000,2022-07-26
MRK,"Merck & Company",91.29,0.76,+0.84%,91.4,91.95,90.6,6413500,2022-07-26
MRNA,"Moderna Inc",160.9,-4.79,-2.89%,166.3,166.3,159.9,2881100,2022-07-26
MTD,"Mettler-Toledo International",1235.85,5.63,+0.46%,1229.51,1240.41,1220.07,110400,2022-07-26
OGN,"Organon & CO",32.9,0.1,+0.30%,32.8,33.2,32.8,1202400,2022-07-26
PFE,"Pfizer Inc",52.3,0.53,+1.02%,51.84,52.85,51.71,16629400,2022-07-26
PKI,Perkinelmer,147.86,1.47,+1.00%,146.49,147.95,145.48,439100,2022-07-26
REGN,"Regeneron Pharmaceuticals",582.56,-4.72,-0.80%,587.57,594.68,580,456100,2022-07-26
RMD,"Resmed Inc",238.16,2.14,+0.91%,236.7,239.14,234.49,465300,2022-07-26
STE,"Steris Corp",219.46,1.39,+0.64%,217.94,219.86,216.41,270200,2022-07-26
SYK,"Stryker Corp",204.41,2.9,+1.44%,202.53,205.08,200.99,2307500,2022-07-26
TECH,"Bio-Techne Cp",370.63,9.53,+2.64%,361.89,371.7,358.22,290900,2022-07-26
TFX,"Teleflex Inc",262.64,-0.43,-0.16%,262.91,264.05,260.63,264100,2022-07-26
TMO,"Thermo Fisher Scientific Inc",573.27,5.83,+1.03%,569.45,573.57,566.52,1012700,2022-07-26
UHS,"Universal Health Services",109.36,-0.74,-0.67%,114.82,114.82,107.98,1312300,2022-07-26
UNH,"Unitedhealth Group Inc",531.59,2.12,+0.40%,533.8,537.64,531.03,2637400,2022-07-26
VRTX,"Vertex Pharmaceutic",288.22,4.54,+1.60%,284.14,290.73,283.7,1534000,2022-07-26
VTRS,"Viatris Inc",9.92,0.18,+1.85%,9.69,9.97,9.68,13922101,2022-07-26
WAT,"Waters Corp",349.14,4.2,+1.22%,345.17,349.27,341.89,247500,2022-07-26
WST,"West Pharmaceutical Services",313.36,-0.15,-0.05%,311.8,314.54,305.39,353600,2022-07-26
XRAY,"Dentsply Sirona Inc",35.83,0.08,+0.22%,35.8,35.98,35.41,1536400,2022-07-26
ZBH,"Zimmer Biomet Holdings",108.02,0.12,+0.11%,108.26,108.67,106.91,1153900,2022-07-26
ZTS,"Zoetis Inc Cl A",176.38,1.2,+0.69%,174.88,176.75,173.96,1354900,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 08:16pm CDT"
