Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",13.43,-0.32,-2.33%,13.52,13.65,13.35,23928600,2022-07-26
ALK,"Alaska Air Group",42.4,-1.34,-3.06%,43.24,43.24,42.34,1300700,2022-07-26
ALLE,"Allegion Plc",102.69,-0.32,-0.31%,102.58,102.87,101.13,532300,2022-07-26
AME,"Ametek Inc",116.13,0.63,+0.55%,115.5,116.32,114.84,751200,2022-07-26
AOS,"Smith A.O. Corp",59.04,0.12,+0.20%,58.77,59.21,58.36,812500,2022-07-26
BA,"Boeing Company",155.92,-0.72,-0.46%,155.24,158.18,154.5,6032700,2022-07-26
CARR,"Carrier Global Corp",38.09,-0.14,-0.37%,37.9,38.26,37.17,5430600,2022-07-26
CAT,"Caterpillar Inc",181.23,-0.58,-0.32%,181.16,183.65,180.58,1766800,2022-07-26
CHRW,"C.H. Robinson Ww",99.85,-1.06,-1.05%,100.29,100.53,98.57,935500,2022-07-26
CMI,"Cummins Inc",204.45,-1.84,-0.89%,205.46,208.13,202.89,647300,2022-07-26
CPRT,"Copart Inc",119.65,-1.2,-0.99%,120.11,120.35,118.83,558100,2022-07-26
CSX,"CSX Corp",31.16,-0.19,-0.61%,31.26,31.5,31.12,12977301,2022-07-26
CTAS,"Cintas Corp",397.83,1.16,+0.29%,396.39,398.49,393.8,357700,2022-07-26
DAL,"Delta Air Lines Inc",30.64,-0.77,-2.45%,30.95,31.2,30.57,8750100,2022-07-26
DE,"Deere & Company",319.45,-3.51,-1.09%,323.77,325.76,318.25,1122600,2022-07-26
DOV,"Dover Corp",127.23,0.56,+0.44%,126.08,127.53,125.27,841900,2022-07-26
EFX,"Equifax Inc",193.2,-4.96,-2.50%,195.99,196.97,192.15,646200,2022-07-26
EMR,"Emerson Electric Company",84.07,-0.12,-0.14%,84.55,85.29,83.89,2490300,2022-07-26
ETN,"Eaton Corp",139.14,2.04,+1.49%,137.15,139.63,136.31,2103000,2022-07-26
EXPD,"Expeditors Intl",98.84,-0.32,-0.32%,98.31,98.96,97.24,972200,2022-07-26
FAST,"Fastenal Company",47.71,-0.59,-1.22%,47.83,47.96,47.43,3271200,2022-07-26
FBHS,"Fortune Brands Home & Security",66.35,-0.95,-1.41%,66.59,67.1,65.65,1263900,2022-07-26
FDX,"Fedex Corp",224.87,-3.3,-1.45%,223,226.65,221.11,1559800,2022-07-26
FTV,"Fortive Corp",58.22,-0.09,-0.15%,58.11,58.55,57.92,1443500,2022-07-26
GD,"General Dynamics Corp",217.63,-1.17,-0.53%,219.36,219.64,217.12,1038100,2022-07-26
GE,"General Electric Company",71.51,3.15,+4.61%,69.68,73.37,69.15,18037100,2022-07-26
GNRC,"Generac Holdings Inc",232.15,-6.39,-2.68%,236.5,238.02,230.06,491900,2022-07-26
GWW,"W.W. Grainger",479.57,-2.55,-0.53%,479.91,480.54,473.67,272100,2022-07-26
HII,"Huntington Ingalls Industries",210.54,-0.04,-0.02%,210.58,211.95,209.65,174700,2022-07-26
HON,"Honeywell International Inc",181.42,0.16,+0.09%,181.65,183.53,180.41,2315800,2022-07-26
HWM,"Howmet Aerospace Inc",34.83,0,0.00%,34.8,35.11,34.51,3012300,2022-07-26
IEX,"Idex Corp",194.61,1.74,+0.90%,192.43,194.82,191.3,538400,2022-07-26
IR,"Ingersoll Rand Inc",44.69,0.33,+0.74%,44.28,44.77,44.07,1693600,2022-07-26
ITW,"Illinois Tool Works Inc",193.76,2.26,+1.18%,190.82,194.1,190.32,894800,2022-07-26
J,"Jacobs Engineering Group Inc",130.8,0.63,+0.48%,130.24,131.02,130.12,262000,2022-07-26
JBHT,"J B Hunt Transport",169.46,-3.86,-2.23%,171.73,172.65,167.98,805000,2022-07-26
JCI,"Johnson Controls Intl",50.38,-0.24,-0.47%,50.39,50.89,50.07,2497700,2022-07-26
LDOS,"Leidos Holdings Inc",103.51,0.56,+0.54%,103.23,104.03,102.86,480600,2022-07-26
LHX,"L3Harris Technologies Inc",223.75,-2.55,-1.13%,226.3,227.6,223.15,718500,2022-07-26
LMT,"Lockheed Martin Corp",396.81,-2.99,-0.75%,400.18,402.98,396.57,992000,2022-07-26
LUV,"Southwest Airlines Company",39.6,-1.02,-2.51%,40.2,40.37,39.49,5082700,2022-07-26
MAS,"Masco Corp",55.11,-0.3,-0.54%,55.06,55.35,54.4,1524300,2022-07-26
MMM,"3M Company",140.75,6.63,+4.94%,143.51,145.7,138.52,12547801,2022-07-26
NDSN,"Nordson Corp",217.32,-0.39,-0.18%,216.63,217.93,214.99,209000,2022-07-26
NLSN,"Nielsen Holdings Plc",23.65,-0.3,-1.25%,23.85,24.01,23.63,2345100,2022-07-26
NOC,"Northrop Grumman Corp",444.65,-8.67,-1.91%,453.15,455.11,444.31,702500,2022-07-26
NSC,"Norfolk Southern Corp",244.61,-2.29,-0.93%,245.51,247.72,244.16,1097200,2022-07-26
ODFL,"Old Dominion Freight Line Inc",273.1,-2.45,-0.89%,274.58,278.1,269.38,914400,2022-07-26
OTIS,"Otis Worldwide Corp",72.72,0.33,+0.46%,72.39,72.79,71.59,1897700,2022-07-26
PCAR,"Paccar Inc",86.97,0.94,+1.09%,87.5,88.01,83.93,3440400,2022-07-26
PH,"Parker-Hannifin Corp",270.32,2.77,+1.04%,267.57,271.37,266.46,732000,2022-07-26
PNR,"Pentair Ltd",48.04,1.1,+2.34%,47.53,48.08,46,2382200,2022-07-26
PWR,"Quanta Services",133.28,-0.4,-0.30%,133.95,135.17,132.58,907300,2022-07-26
RHI,"Robert Half International Inc",75.42,-2.63,-3.37%,77.77,77.99,75.4,937300,2022-07-26
ROK,"Rockwell Automation Inc",219.43,-0.53,-0.24%,218.47,222.63,217.76,1457800,2022-07-26
ROL,"Rollins Inc",36.22,-0.27,-0.74%,36.31,36.67,35.88,1444600,2022-07-26
RSG,"Republic Services",131.5,-0.55,-0.42%,131.99,132.15,130.78,885200,2022-07-26
RTX,"Raytheon Technologies Corp",90.24,-4.33,-4.58%,92.51,93.37,90.19,8250200,2022-07-26
SNA,"Snap-On Inc",215.99,1.81,+0.85%,212.94,216.32,212.77,305200,2022-07-26
SPGI,"S&P Global Inc",356.12,2.09,+0.59%,349.98,360.4,349.85,2151200,2022-07-26
SWK,"Stanley Black & Decker Inc",115.06,0.74,+0.65%,114.21,115.56,112.74,1445000,2022-07-26
TDG,"Transdigm Group Inc",586.25,0.13,+0.02%,586.21,590.43,581.22,245300,2022-07-26
TT,"Trane Technologies Plc",138.99,-0.21,-0.15%,139.51,139.59,136.96,922300,2022-07-26
TXT,"Textron Inc",63.72,-0.58,-0.90%,64.2,64.42,63.49,748400,2022-07-26
UAL,"United Airlines Holdings Inc",35.34,-1,-2.75%,35.76,36.13,35.28,8122300,2022-07-26
UNP,"Union Pacific Corp",215.97,-1.39,-0.64%,216.36,217.63,214.45,1927800,2022-07-26
UPS,"United Parcel Service",181.53,-6.38,-3.40%,179.25,183.84,178.66,4957800,2022-07-26
URI,"United Rentals",276.21,-1.62,-0.58%,275.53,278.64,272.98,626900,2022-07-26
VRSK,"Verisk Analytics Inc",183.01,0.24,+0.13%,183.21,183.61,181.34,577100,2022-07-26
WAB,"Wabtec Corp",87.01,0.11,+0.13%,86.79,87.49,86.21,386400,2022-07-26
WM,"Waste Management",155.01,-0.89,-0.57%,155.8,156.41,154.77,1764300,2022-07-26
XYL,"Xylem Inc",84.92,0.62,+0.74%,84.08,85.03,82.81,1068700,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 07:12pm CDT"
