Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMT,"American Tower Corp",258.98,1.64,+0.64%,258.56,263.07,257.82,1579700,2022-07-26
ARE,"Alexandria Real Estate Equities",156.49,6.2,+4.13%,151.37,157.29,150.81,1562400,2022-07-26
AVB,"Avalonbay Communities",197.54,0,0.00%,197.47,199.21,196.45,488500,2022-07-26
BXP,"Boston Properties",88.33,-0.83,-0.93%,88.94,89.79,87.76,1450000,2022-07-26
CBRE,"CBRE Group Inc",81.68,-1.15,-1.39%,82.39,82.49,81.27,1586200,2022-07-26
CCI,"Crown Castle International Corp",174.62,3.12,+1.82%,171.36,174.89,171.09,1254700,2022-07-26
CPT,"Camden Property Trust",135,-0.85,-0.63%,135.9,136.91,134.56,540400,2022-07-26
DLR,"Digital Realty Trust",127.51,0.39,+0.31%,127.2,128.86,126.67,1176100,2022-07-26
DRE,"Duke Realty Corp",60.15,0.12,+0.20%,60.21,60.63,59.73,1154500,2022-07-26
EQIX,"Equinix Inc",641.7,-7.78,-1.20%,647.71,650.52,636.1,338400,2022-07-26
EQR,"Equity Residential",73.54,0.04,+0.05%,73.59,73.96,73.26,1065200,2022-07-26
ESS,"Essex Property Trust",273.69,-0.12,-0.04%,274.07,275.78,272.84,372000,2022-07-26
EXR,"Extra Space Storage Inc",179.12,1.08,+0.61%,178.34,179.68,177.17,323900,2022-07-26
FRT,"Federal Realty Investment Trust",101.03,-2.07,-2.01%,102.8,103.42,100.89,680900,2022-07-26
HST,"Host Marriott Financial Trust",16.94,-0.36,-2.08%,17.3,17.33,16.93,4337900,2022-07-26
IRM,"Iron Mountain Inc",46.82,-0.2,-0.43%,47,47.28,46.65,2039000,2022-07-26
KIM,"Kimco Realty Corp",21.17,-0.34,-1.58%,21.42,21.56,21.15,3712300,2022-07-26
MAA,"Mid-America Apartment Communities",173.7,0.46,+0.27%,172.83,174.59,172.83,372300,2022-07-26
O,"Realty Income Corp",72.43,0.82,+1.15%,71.62,72.61,71.62,2374400,2022-07-26
PEAK,"Healthpeak Properties Inc",26.75,0.01,+0.04%,26.75,26.9,26.49,3844500,2022-07-26
PLD,"Prologis Inc",127.59,0.08,+0.06%,127.89,128.76,126.75,3338200,2022-07-26
PSA,"Public Storage",326.71,2.79,+0.86%,322.56,327.73,322.33,753000,2022-07-26
REG,"Regency Centers Corp",62.07,-1.14,-1.80%,63.13,63.46,62,750200,2022-07-26
SBAC,"SBA Communications",323.86,3.42,+1.07%,321.32,325.52,319.73,603000,2022-07-26
SPG,"Simon Property Group",102.58,-1.45,-1.39%,103,103.78,102.06,1376100,2022-07-26
UDR,"United Dominion Realty Trust",46.15,0.09,+0.20%,46.11,46.43,45.97,1604100,2022-07-26
VICI,"Vici Properties Inc",32.88,-0.24,-0.72%,33,33.22,32.85,7506700,2022-07-26
VNO,"Vornado Realty Trust",28.89,-0.67,-2.27%,29.4,29.7,28.82,1991100,2022-07-26
VTR,"Ventas Inc",52.65,0.22,+0.42%,52.56,53.07,52.26,1749200,2022-07-26
WELL,"Welltower Inc",84.92,0.8,+0.95%,84.59,85.32,84.19,2263200,2022-07-26
WY,"Weyerhaeuser Company",35.09,-0.37,-1.04%,35.55,35.71,34.83,3580900,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 08:16pm CDT"
