Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",145.93,1.97,+1.37%,147.23,143.08,70555805,2023-01-27
ABNB,"Airbnb Inc Cl A",115.94,6.52,+5.96%,117.12,108.73,9548400,2023-01-27
ADBE,"Adobe Systems Inc",370.71,4.89,+1.34%,373.42,362.85,2615500,2023-01-27
ADI,"Analog Devices",170.83,0.09,+0.05%,172.03,168.4,2453300,2023-01-27
ADP,"Automatic Data Procs",220.8,-4.63,-2.05%,225.88,220.21,4945200,2023-01-27
ADSK,"Autodesk Inc",210.88,2.42,+1.16%,212.5,206,1284600,2023-01-27
AEP,"American Electric Power Company",93.07,0.08,+0.09%,93.48,92.25,1647700,2023-01-27
ALGN,"Align Technology",269.2,6.25,+2.38%,270,259.02,1165200,2023-01-27
AMAT,"Applied Materials",112.5,-3.08,-2.66%,113.89,110.7,8705700,2023-01-27
AMD,"Adv Micro Devices",75.4,0.24,+0.32%,76.74,73.49,58118602,2023-01-27
AMGN,"Amgen Inc",253.65,-1.23,-0.48%,255.5,252.54,2109800,2023-01-27
AMZN,"Amazon.com Inc",102.24,3.02,+3.04%,103.49,99.53,87775602,2023-01-27
ANSS,"Ansys Inc",266.67,0.09,+0.03%,268.36,261.98,406700,2023-01-27
ASML,"Asml Holdings NY Reg ADR",667.39,-16.51,-2.41%,678.12,666.68,1249600,2023-01-27
ATVI,"Activision Blizzard",76.61,1.01,+1.34%,76.76,75.22,4382700,2023-01-27
AVGO,"Broadcom Ltd",590.99,-7.59,-1.27%,599.25,590.19,1934400,2023-01-27
AZN,"Astrazeneca Plc ADR",65.53,-0.46,-0.70%,65.78,65.19,3176300,2023-01-27
BIIB,"Biogen Inc",290.08,-1.84,-0.63%,295.9,289.94,894200,2023-01-27
BKNG,"Booking Holdings Inc",2464.51,33.36,+1.37%,2474.59,2421.78,299100,2023-01-27
BKR,"Baker Hughes Company",31.3,-0.5,-1.57%,31.77,31.14,5435200,2023-01-27
CDNS,"Cadence Design Sys",185.03,-0.6,-0.32%,186.24,183.11,1137500,2023-01-27
CEG,"Constellation Energy Corp",86.58,0.7,+0.82%,86.66,84.84,1455300,2023-01-27
CHTR,"Charter Communications Inc",394.41,-15.98,-3.89%,410.94,393.93,2662100,2023-01-27
CMCSA,"Comcast Corp A",39.6,-0.81,-2.00%,40.39,39.53,20776699,2023-01-27
COST,"Costco Wholesale",503.29,4.99,+1.00%,509.1,497.86,2034000,2023-01-27
CPRT,"Copart Inc",67.08,0.33,+0.49%,67.6,65.92,1277900,2023-01-27
CRWD,"Crowdstrike Holdings Inc",104.35,-0.12,-0.11%,105.84,102.52,6095600,2023-01-27
CSCO,"Cisco Systems Inc",48.51,0.17,+0.35%,48.73,47.97,13414699,2023-01-27
CSGP,"Costar Group Inc",77.78,-0.93,-1.18%,78.59,77.71,2292200,2023-01-27
CSX,"CSX Corp",30.08,-0.07,-0.23%,30.73,29.89,19432500,2023-01-27
CTAS,"Cintas Corp",437.27,-3.82,-0.87%,440.9,435.9,224600,2023-01-27
CTSH,"Cognizant Tech Sol",65.71,1.05,+1.62%,65.84,64.27,3849000,2023-01-27
DDOG,"Datadog Inc Cl A",77.23,1.23,+1.62%,78.63,73.56,7447400,2023-01-27
DLTR,"Dollar Tree Inc",150.37,-0.08,-0.05%,150.78,149.56,1404000,2023-01-27
DXCM,"Dexcom Inc",106.72,0.07,+0.07%,107.74,105.04,1428100,2023-01-27
EA,"Electronic Arts Inc",128.87,-0.27,-0.21%,130.57,128.79,1786200,2023-01-27
EBAY,"Ebay Inc",49,-0.16,-0.33%,49.7,48.88,3901400,2023-01-27
ENPH,"Enphase Energy Inc",210.09,2.07,+1.00%,213.59,204.67,3731400,2023-01-27
EXC,"Exelon Corp",41.69,0.09,+0.22%,41.81,41.28,4773100,2023-01-27
FANG,"Diamondback Energy",150.96,1.07,+0.71%,152.79,149.56,1632600,2023-01-27
FAST,"Fastenal Company",50.25,0.64,+1.29%,50.53,49.46,2519700,2023-01-27
FISV,"Fiserv Inc",106.49,0.23,+0.22%,107.15,105.93,2091700,2023-01-27
FTNT,"Fortinet Inc",52.7,-0.51,-0.96%,53.13,51.71,5257000,2023-01-27
GFS,"Globalfoundries Inc",59.24,-0.9,-1.50%,59.95,59.08,1336800,2023-01-27
GILD,"Gilead Sciences Inc",83.73,0.11,+0.13%,83.97,83.11,4108400,2023-01-27
GOOG,"Alphabet Cl C",100.71,1.55,+1.56%,101.58,98.97,29020301,2023-01-27
GOOGL,"Alphabet Cl A",99.37,1.85,+1.90%,100.32,97.31,33879699,2023-01-27
HON,"Honeywell International Inc",208.13,-1.22,-0.58%,209.83,207.63,2122500,2023-01-27
IDXX,"Idexx Laboratories",487,0,0.00%,488.27,479.75,435600,2023-01-27
ILMN,"Illumina Inc",214.03,1.25,+0.59%,215.09,207.83,1137200,2023-01-27
INTC,"Intel Corp",28.16,-1.93,-6.41%,28.24,26.78,148548094,2023-01-27
INTU,"Intuit Inc",422.62,10.07,+2.44%,428.7,407.27,1724900,2023-01-27
ISRG,"Intuitive Surg Inc",247.26,-3.29,-1.31%,250.21,246.89,1568600,2023-01-27
JD,"Jd.com Inc ADR",63.74,0.63,+1.00%,64.46,62.88,5667300,2023-01-27
KDP,"Keurig Dr Pepper Inc",34.7,-0.23,-0.66%,34.89,34.53,6367100,2023-01-27
KHC,"Kraft Heinz Company",39.69,0.03,+0.08%,39.76,39.08,5215300,2023-01-27
KLAC,"K L A-Tencor Corp",399.37,-29.39,-6.85%,410.51,395.29,2385400,2023-01-27
LCID,"Lucid Group Inc",12.87,3.87,+43.00%,17.81,8.91,208145203,2023-01-27
LRCX,"Lam Research Corp",482.88,-14.87,-2.99%,497.93,482.57,1711500,2023-01-27
LULU,"Lululemon Athletica",310.85,1.26,+0.41%,311.69,305.18,2077400,2023-01-27
MAR,"Marriot Int Cl A",174.33,-0.25,-0.14%,176.57,174.02,1637000,2023-01-27
MCHP,"Microchip Technology",77.68,-0.58,-0.74%,78.6,77.1,4450100,2023-01-27
MDLZ,"Mondelez Intl Inc",64.72,0.2,+0.31%,64.95,64.06,7141800,2023-01-27
MELI,"Mercadolibre Inc",1221.27,32.69,+2.75%,1233.28,1183,702600,2023-01-27
META,"Meta Platforms Inc",151.74,4.44,+3.01%,153.19,147.39,35771801,2023-01-27
MNST,"Monster Beverage Cp",102.79,-1.12,-1.08%,103.98,102.58,1575000,2023-01-27
MRNA,"Moderna Inc",189.35,-3.89,-2.01%,193.52,188.28,3346500,2023-01-27
MRVL,"Marvell Technology Inc",44.25,-0.14,-0.32%,44.79,43.48,7952900,2023-01-27
MSFT,"Microsoft Corp",248.16,0.16,+0.06%,249.83,246.83,26498900,2023-01-27
MU,"Micron Technology",63.87,1.07,+1.70%,64.34,61.96,15895801,2023-01-27
NFLX,"Netflix Inc",360.77,-4.1,-1.12%,365.92,360.59,6703500,2023-01-27
NVDA,"Nvidia Corp",203.65,5.63,+2.84%,206.28,194.05,54214199,2023-01-27
NXPI,"Nxp Semiconductors",181.54,1.52,+0.84%,182.94,177.09,2078800,2023-01-27
ODFL,"Old Dominion Freight Line Inc",333.79,14.54,+4.55%,337.96,317.29,1119500,2023-01-27
ORLY,"O'Reilly Automotive",771.17,-29.46,-3.68%,800.56,767.27,905400,2023-01-27
PANW,"Palo Alto Networks Inc",159.78,0.67,+0.42%,161.23,157.6,4171700,2023-01-27
PAYX,"Paychex Inc",113.03,-2.07,-1.80%,114.7,112.65,2257700,2023-01-27
PCAR,"Paccar Inc",110.63,-1.6,-1.43%,112.24,108.95,2803100,2023-01-27
PDD,"Pinduoduo Inc ADR",104.68,0.02,+0.02%,106.38,102.9,5902700,2023-01-27
PEP,"Pepsico Inc",169.62,-0.6,-0.35%,170.23,168.58,5451400,2023-01-27
PYPL,"Paypal Holdings",81.83,1.02,+1.26%,82.53,80.32,10889000,2023-01-27
QCOM,"Qualcomm Inc",133.4,-0.56,-0.42%,134.89,131.42,6581900,2023-01-27
REGN,"Regeneron Pharmaceuticals",742.83,0.53,+0.07%,748.28,740.27,417600,2023-01-27
RIVN,"Rivian Automotive Inc Cl A",19.83,1.52,+8.30%,21.44,18.14,73907000,2023-01-27
ROST,"Ross Stores Inc",119.48,-1.23,-1.02%,121.86,119.38,1887200,2023-01-27
SBUX,"Starbucks Corp",109.02,0.26,+0.24%,109.76,108.34,6851100,2023-01-27
SGEN,"Seagen Inc",140.67,0.98,+0.70%,141.02,138.82,869700,2023-01-27
SIRI,"Sirius XM Holdings",5.92,0.02,+0.34%,5.95,5.84,10856700,2023-01-27
SNPS,"Synopsys Inc",357.27,0.6,+0.17%,359.87,353.01,489700,2023-01-27
TEAM,"Atlassian Corp",164.25,5.87,+3.71%,165.06,155.5,2758100,2023-01-27
TMUS,"T-Mobile US",146.73,-1.96,-1.32%,148.2,146.17,4061700,2023-01-27
TSLA,"Tesla Inc",177.9,17.63,+11.00%,180.68,161.17,306590594,2023-01-27
TXN,"Texas Instruments",175.24,1.14,+0.65%,177.31,171.87,6074900,2023-01-27
VRSK,"Verisk Analytics Inc",180.15,-0.84,-0.46%,181.33,178.9,1005200,2023-01-27
VRTX,"Vertex Pharmaceutic",321.45,0.43,+0.13%,323.67,319.58,1288600,2023-01-27
WBA,"Walgreens Boots Alliance",37.17,0.67,+1.84%,37.53,36.64,5950800,2023-01-27
WBD,"Discovery Inc Series A",14.91,-0.09,-0.60%,15.1,14.65,21010400,2023-01-27
WDAY,"Workday Inc",177.66,-1.22,-0.68%,179.74,176.53,1189700,2023-01-27
XEL,"XCEL Energy Inc",68.43,-0.37,-0.54%,69.02,67.81,3497100,2023-01-27
ZM,"Zoom Video Communications Cl A",74.15,2.57,+3.59%,74.54,70.79,3556900,2023-01-27
ZS,"Zscaler Inc",127.52,2.33,+1.86%,128.93,123.07,2962700,2023-01-27
