Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
APA,"Apa Corp",39.28,0.64,+1.66%,38.77,39.72,38.62,4546300,2023-07-24
BKR,"Baker Hughes Company",35.84,0.41,+1.16%,35.6,36.16,35.58,8685400,2023-07-24
COP,Conocophillips,114.72,1.83,+1.62%,113.4,115.7,113.4,3999500,2023-07-24
CTRA,"Coterra Energy Inc",26.87,0.16,+0.60%,26.77,27.06,26.65,5640800,2023-07-24
CVX,"Chevron Corp",161.82,3.13,+1.97%,160.47,164.04,160.01,9722000,2023-07-24
DVN,"Devon Energy Corp",53.09,0.83,+1.59%,52.5,53.58,52.38,9023900,2023-07-24
EOG,"Eog Resources",126.15,1.54,+1.24%,125,127.43,124.81,2598500,2023-07-24
EQT,"Eqt Corp",39.7,-0.2,-0.50%,39.75,39.92,39.01,8656199,2023-07-24
FANG,"Diamondback Energy",144.45,3.21,+2.27%,142.2,145.14,141.98,3024700,2023-07-24
HAL,"Halliburton Company",38.26,1.32,+3.57%,37.21,38.42,37.19,9980500,2023-07-24
HES,"Hess Corp",145.66,3.46,+2.43%,143.13,147.49,142.8,2615100,2023-07-24
KMI,"Kinder Morgan",18.11,0.31,+1.74%,17.86,18.3,17.84,23654100,2023-07-24
MPC,"Marathon Petroleum Corp",128.39,2.57,+2.04%,126.5,129.93,126.21,3079600,2023-07-24
MRO,"Marathon Oil Corp",25.64,0.35,+1.38%,25.5,25.97,25.37,14894300,2023-07-24
OKE,"Oneok Inc",67.25,0.76,+1.14%,66.76,67.85,66.68,2417100,2023-07-24
OXY,"Occidental Petroleum Corp",62.32,1.58,+2.60%,61.21,63.04,61.06,11877899,2023-07-24
PSX,"Phillips 66",106.85,1.12,+1.06%,106,108.16,105.8,3691800,2023-07-24
PXD,"Pioneer Natural Resources Company",218.03,2.18,+1.01%,216.5,219.88,216.22,1934400,2023-07-24
SLB,"Schlumberger N.V.",57.02,1.01,+1.80%,56.22,57.09,55.92,10596100,2023-07-24
TRGP,"Targa Resources",81.38,0.72,+0.89%,81.07,81.9,80.99,847700,2023-07-24
VLO,"Valero Energy Corp",125.71,2.72,+2.21%,124,127.89,123.51,4398000,2023-07-24
WMB,"Williams Companies",33.96,0.11,+0.32%,33.99,34.26,33.95,5640600,2023-07-24
XOM,"Exxon Mobil Corp",105.52,1.63,+1.57%,104.36,106.16,103.96,15090801,2023-07-24
"Downloaded from Barchart.com as of 07-25-2023 04:33am CDT"
