Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ACGL,"Arch Capital Grp Ltd",77.39,0.03,+0.04%,76.81,77.78,76.36,1815600,2023-08-03
AFL,"Aflac Inc",77.05,0.81,+1.06%,76.57,77.335,75.68,2800576,2023-08-03
AIG,"American International Group",61.14,-0.13,-0.21%,61.3,61.45,60.96,3865011,2023-08-03
AIZ,"Assurant Inc",141.69,-1.07,-0.75%,142.47,143.29,139.22,568946,2023-08-03
AJG,"Arthur J. Gallagher & Company",222.2,0.64999999999998,+0.29%,220.89,222.68,220.445,855611,2023-08-03
ALL,"Allstate Corp",111.36,4.85,+4.55%,105.95,111.915,105.85,2727111,2023-08-03
AMP,"Ameriprise Financial Services",352.49,4.73,+1.36%,345.72,354.56,344.68,422664,2023-08-03
AON,"AON Plc",317.32,-6.07,-1.88%,320.78,322.08,317.15,1464932,2023-08-03
AXP,"American Express Company",166.41,-0.34,-0.20%,165.84,166.66,165.03,1709718,2023-08-03
BAC,"Bank of America Corp",31.41,0.22,+0.71%,30.94,31.55,30.88,27938528,2023-08-03
BEN,"Franklin Resources",28.38,0.029999999999998,+0.11%,28.07,28.45,27.75,3845964,2023-08-03
BK,"Bank of New York Mellon Corp",45.56,0.33000000000001,+0.73%,45.14,45.77,44.965,5054875,2023-08-03
BLK,"Blackrock Inc",710.17,-7.2700000000001,-1.01%,710.48,712.88,705.62,585536,2023-08-03
BRK.B,"Berkshire Hathaway Cl B",353.81,2.62,+0.75%,350.29,354.47,349.415,2942718,2023-08-03
BRO,"Brown & Brown",70.62,-0.099999999999994,-0.14%,70.39,70.9739,70.35,871136,2023-08-03
C,"Citigroup Inc",46.21,-0.1,-0.22%,45.965,46.47,45.705,13469914,2023-08-03
CB,"Chubb Ltd",202.9,-2.65,-1.29%,205.22,205.345,202.66,1485980,2023-08-03
CBOE,"CBOE Global Markets Inc",140.01,0.19999999999999,+0.14%,139.32,140.805,137,933291,2023-08-03
CFG,"Citizens Financial Group Inc/Ri",31.48,0.43,+1.38%,30.96,31.5,30.68,4580286,2023-08-03
CINF,"Cincinnati Financial",109.39,0,0.00%,108.73,109.85,107.69,698900,2023-08-03
CMA,"Comerica Inc",52.94,1.02,+1.96%,51.95,53.39,51.34,1701293,2023-08-03
CME,"CME Group Inc",202.84,3.17,+1.59%,199.13,203.26,198.01,1650700,2023-08-03
COF,"Capital One Financial Corp",112.92,-0.33,-0.29%,112.81,113.38,111.62,1953978,2023-08-03
DFS,"Discover Financial Services",102.59,-0.56,-0.54%,102.61,103.13,101.83,1185153,2023-08-03
EG,"Everest Re Group",362.3,2.75,+0.76%,359,365.04,357.79,216094,2023-08-03
FDS,"Factset Research Systems Inc",431.04,-3.06,-0.70%,433.34,437.2,430.66,373681,2023-08-03
FI,"Fiserv Inc",125.18,0.62,+0.50%,124.25,125.555,123.95,1784057,2023-08-03
FIS,"Fidelity National Information Services",57.29,-2.22,-3.73%,59.16,59.275,57.16,6550218,2023-08-03
