Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",191.17,-1.41,-0.73%,191.57,192.37,190.69,61169301,2023-08-03
ACN,"Accenture Plc",317.13,-0.64999999999998,-0.20%,316.08,318.36,314.145,1355857,2023-08-03
ADBE,"Adobe Systems Inc",523.76,-6.54,-1.23%,523,530.91,522.22,2183500,2023-08-03
ADI,"Analog Devices",191.49,-0.97,-0.50%,190.68,193.24,188.93,3040100,2023-08-03
ADSK,"Autodesk Inc",202.62,-4.16,-2.01%,203.97,206.04,202.33,1426700,2023-08-03
AKAM,"Akamai Technologies",92.74,0.32,+0.35%,92.44,93.16,91.84,851100,2023-08-03
AMAT,"Applied Materials",147.81,0.48,+0.33%,146.01,148.7,145.36,4338600,2023-08-03
AMD,"Adv Micro Devices",113.15,3.8,+3.48%,108.95,114.96,108.95,90602195,2023-08-03
ANET,"Arista Networks Inc",177.76,0.47999999999999,+0.27%,178,180.93,174,2787571,2023-08-03
ANSS,"Ansys Inc",305.47,-19.9,-6.12%,311.02,314.6,299.69,1215200,2023-08-03
APH,"Amphenol Corp",88.48,0.10000000000001,+0.11%,87.91,88.78,87.56,2938568,2023-08-03
AVGO,"Broadcom Ltd",884.98,-7.32,-0.82%,886.62,895.33,881.08,1828000,2023-08-03
CDNS,"Cadence Design Sys",228.59,-0.15,-0.07%,227.85,229.84,227.39,1148300,2023-08-03
CDW,"CDW Corp",199.28,2.28,+1.16%,195.56,199.9,193.27,920000,2023-08-03
CRM,"Salesforce Inc",215.56,-4.94,-2.24%,216.2,218.21,214.6,5515637,2023-08-03
CSCO,"Cisco Systems Inc",53.15,0.57,+1.08%,52.49,53.27,52.24,15186200,2023-08-03
CTSH,"Cognizant Tech Sol",70.47,5.13,+7.85%,70,71.86,68.37,10687801,2023-08-03
DXC,"Dxc Technology Company",19.1,-7.97,-29.44%,20.7,21.03,18.61,17108011,2023-08-03
ENPH,"Enphase Energy Inc",140.36,-0.33,-0.23%,140,144.25,139.28,3798800,2023-08-03
EPAM,"Epam Systems Inc",245.02,8.12,+3.43%,242,254.9,236.05,1109399,2023-08-03
FFIV,"F5 Inc",161.31,2.4,+1.51%,157.95,162.83,157.55,678800,2023-08-03
FICO,"Fair Isaac and Company",855.18,32.99,+4.01%,850,892.03,837.52,343322,2023-08-03
FSLR,"First Solar Inc",196.24,1.96,+1.01%,193.57,198.21,193.29,1186400,2023-08-03
FTNT,"Fortinet Inc",75.76,1.44,+1.94%,74.2,76,74.15,6016800,2023-08-03
GEN,"Gen Digital Inc",18.62,-0.13,-0.69%,18.78,18.81,18.5,5271600,2023-08-03
