Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMT,"American Tower Corp",185.75,-4.87,-2.55%,189.34,190.3,183.68,2493000,2023-08-03
ARE,"Alexandria Real Estate Equities",122.38,0.16,+0.13%,121.74,122.57,119.39,898900,2023-08-03
AVB,"Avalonbay Communities",184.39,-1.73,-0.93%,185.53,185.53,180.36,880300,2023-08-03
BXP,"Boston Properties",67.1,0.06,+0.09%,67.25,67.28,65.49,1460300,2023-08-03
CBRE,"CBRE Group Inc",83.61,0.18,+0.22%,82.65,84.23,82.36,1453700,2023-08-03
CCI,"Crown Castle Inc",104.93,-2.07,-1.93%,106.69,106.96,104.22,2309900,2023-08-03
CPT,"Camden Property Trust",106.49,-0.7,-0.65%,106.95,106.95,104.42,988000,2023-08-03
CSGP,"Costar Group Inc",80.92,-1.26,-1.53%,81.89,82.44,80.62,1752600,2023-08-03
DLR,"Digital Realty Trust",120.85,-2.51,-2.03%,122.02,122.3,118.46,3073000,2023-08-03
EQIX,"Equinix Inc",759.42,-46.21,-5.74%,752.01,768.64,740.26,911000,2023-08-03
EQR,"Equity Residential",65.44,-0.38,-0.58%,65.71,65.97,63.98,2121600,2023-08-03
ESS,"Essex Property Trust",244.17,-0.45,-0.18%,242.88,244.28,237.88,383100,2023-08-03
EXR,"Extra Space Storage Inc",139.45,2.6,+1.90%,136.62,139.5,135.15,2298900,2023-08-03
FRT,"Federal Realty Investment Trust",102.63,1.89,+1.88%,101,102.95,100.08,996200,2023-08-03
HST,"Host Marriott Financial Trust",16.81,-1.34,-7.41%,16.79,17.06,15.72,19737301,2023-08-03
INVH,"Invitation Homes Inc",35.16,-0.28,-0.79%,35.5,35.5,34.78,2531100,2023-08-03
IRM,"Iron Mountain Inc",59.8,-1.84,-2.99%,59.37,61.35,58.31,2067000,2023-08-03
KIM,"Kimco Realty Corp",20.08,-0.12,-0.59%,20.09,20.17,19.75,7059600,2023-08-03
MAA,"Mid-America Apartment Communities",145.83,-0.87,-0.59%,146.26,146.26,142.65,658100,2023-08-03
O,"Realty Income Corp",58.84,-1.53,-2.53%,60.09,60.15,58.63,6627100,2023-08-03
PEAK,"Healthpeak Properties Inc",21.52,-0.09,-0.42%,21.5,21.53,21.01,3549300,2023-08-03
PLD,"Prologis Inc",123.81,0.13,+0.11%,122.34,124.01,120.58,2718200,2023-08-03
PSA,"Public Storage",286.98,8.21,+2.95%,286.18,288.18,279.97,1606800,2023-08-03
REG,"Regency Centers Corp",65.98,0.29,+0.44%,65.58,66.14,64.82,1682500,2023-08-03
SBAC,"SBA Communications",222.57,-5.99,-2.62%,228.18,228.18,220,1162600,2023-08-03
SPG,"Simon Property Group",118.37,-5.69,-4.59%,118.63,119.68,114.15,2966100,2023-08-03
UDR,"United Dominion Realty Trust",40.25,-0.22,-0.54%,40.35,40.39,39.4,2631300,2023-08-03
VICI,"Vici Properties Inc",31.08,-0.25,-0.80%,31.16,31.21,30.68,5277900,2023-08-03
VTR,"Ventas Inc",48.22,-0.26,-0.54%,48.22,48.25,47.32,1858900,2023-08-03
WELL,"Welltower Inc",83.79,0.22,+0.26%,83.25,83.94,81.44,2183900,2023-08-03
WY,"Weyerhaeuser Company",33.11,-0.09,-0.27%,32.92,33.16,32.46,4009400,2023-08-03
"Downloaded from Barchart.com as of 08-04-2023 02:26am CDT"
