Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAP,"Advance Auto Parts Inc",71.01,-1.02,-1.42%,72.02,70.6,1294600,2023-08-04
AMZN,"Amazon.com Inc",139.57,10.66,+8.27%,143.63,139.32,153128391,2023-08-04
APTV,"Aptiv Plc",106.8,-2.78,-2.54%,110.88,106.67,2490100,2023-08-04
AZO,Autozone,2450.99,-25.96,-1.05%,2479.6,2449.04,127100,2023-08-04
BBWI,"Bath & Body Works Inc",37.99,0.84,+2.26%,38.63,37.06,3777600,2023-08-04
BBY,"Best Buy Company",79.83,-1.48,-1.82%,81.64,79.36,2054500,2023-08-04
BKNG,"Booking Holdings Inc",3063.16,223.25,+7.86%,3166.76,2950.01,975100,2023-08-04
BWA,"Borgwarner Inc",42.52,1.12,+2.71%,42.64,41.51,3329800,2023-08-04
CCL,"Carnival Corp",17.16,-0.4,-2.28%,17.65,17.08,26799301,2023-08-04
CMG,"Chipotle Mexican Grill",1890.61,-32.31,-1.68%,1935.8,1890.23,360200,2023-08-04
CZR,"Caesars Entertainment Inc",55.45,0.45,+0.82%,57.19,54.94,2391000,2023-08-04
DHI,"D.R. Horton",125.71,2.56,+2.08%,126.54,123.44,2436700,2023-08-04
DPZ,"Domino's Pizza Inc",395.36,-6,-1.49%,403.06,394.6,420800,2023-08-04
DRI,"Darden Restaurants",162.45,-0.48,-0.29%,163.94,161.92,1002500,2023-08-04
EBAY,"Ebay Inc",43.05,-0.56,-1.28%,43.94,42.95,3951400,2023-08-04
ETSY,"Etsy Inc",81.59,-1.33,-1.60%,84.8,81.17,5118700,2023-08-04
EXPE,"Expedia Group Inc",103.19,4.52,+4.58%,104.23,101.01,5802000,2023-08-04
F,"Ford Motor Company",12.89,-0.21,-1.60%,13.1,12.8,48412801,2023-08-04
GM,"General Motors Company",36.57,-0.35,-0.95%,37.09,36.37,12408800,2023-08-04
GPC,"Genuine Parts Company",155.5,-0.19,-0.12%,157.5,155.41,660800,2023-08-04
GRMN,"Garmin Ltd",106.13,-0.19,-0.18%,107.62,105.68,636300,2023-08-04
HAS,"Hasbro Inc",63.75,-1.34,-2.06%,65.18,63.25,2377000,2023-08-04
HD,"Home Depot",326.43,-3.42,-1.04%,329.52,325.33,3591600,2023-08-04
HLT,"Hilton Inc",151.35,0.69,+0.46%,154.11,150.62,1210200,2023-08-04
KMX,"Carmax Inc",83.29,0.7,+0.85%,84.4,82.4,1097700,2023-08-04
LEN,"Lennar Corp",125.57,2.93,+2.39%,126.22,122.71,1980000,2023-08-04
LKQ,"LKQ Corp",54.28,-0.55,-1.00%,55.18,54.21,938500,2023-08-04
LOW,"Lowe's Companies",223.12,-3.6,-1.59%,226.21,222.42,2549600,2023-08-04
LVS,"Las Vegas Sands",57.94,-0.13,-0.22%,58.68,57.69,2883800,2023-08-04
MAR,"Marriot Int Cl A",202.98,2.13,+1.06%,205.68,199.41,2649900,2023-08-04
MCD,"McDonald's Corp",287.02,-4,-1.37%,292.82,286.76,2520400,2023-08-04
MGM,"MGM Resorts International",44.99,-0.77,-1.68%,46.69,44.72,6865000,2023-08-04
MHK,"Mohawk Industries",105.29,1.17,+1.12%,106.29,103.17,574200,2023-08-04
NCLH,"Norwegian Cruise Ord",17.95,-0.33,-1.81%,18.44,17.82,14479900,2023-08-04
NKE,"Nike Inc",108.81,0.17,+0.16%,110.31,108.24,5621400,2023-08-04
NVR,"NVR Inc",6320.97,72.95,+1.17%,6339,6246.78,23600,2023-08-04
NWL,"Newell Rubbermaid Inc",10.91,0.11,+1.02%,10.98,10.7,3304300,2023-08-04
ORLY,"O'Reilly Automotive",925.93,-4.85,-0.52%,936.16,924.48,275500,2023-08-04
PHM,Pultegroup,84.35,2.9,+3.56%,84.6,81.56,2732400,2023-08-04
POOL,"Pool Corp",381.49,3.09,+0.82%,384.35,376.42,301900,2023-08-04
RCL,"Royal Caribbean Cruises Ltd",103.92,-0.8,-0.76%,105.75,102.7,2127500,2023-08-04
RL,"Ralph Lauren Corp",131.74,-0.47,-0.36%,135.76,131.57,851900,2023-08-04
ROST,"Ross Stores Inc",112.59,0,0.00%,113.9,112.43,1762400,2023-08-04
SBUX,"Starbucks Corp",100.68,-1.65,-1.61%,103.15,100.52,5199100,2023-08-04
TJX,"TJX Companies",85.45,-0.57,-0.66%,86.61,85.27,2470700,2023-08-04
TPR,"Tapestry Inc",42.08,-0.92,-2.14%,43.23,42.01,2535000,2023-08-04
TSCO,"Tractor Supply Company",222.31,-4.83,-2.13%,227.52,221.89,861800,2023-08-04
TSLA,"Tesla Inc",253.86,-5.46,-2.11%,264.77,253.11,99539906,2023-08-04
ULTA,"Ulta Beauty Inc",438.32,2.58,+0.59%,444.08,432.26,817600,2023-08-04
VFC,"V.F. Corp",19.4,0.36,+1.89%,19.94,18.89,5986400,2023-08-04
WHR,"Whirlpool Corp",141.5,-0.06,-0.04%,143.52,141.45,533500,2023-08-04
WYNN,"Wynn Resorts Ltd",104.18,-1.43,-1.35%,106.81,104.05,1939500,2023-08-04
YUM,"Yum! Brands",134.35,-1.27,-0.94%,136.42,134.09,1389500,2023-08-04
"Downloaded from Barchart.com as of 08-05-2023 12:33am CDT"
