Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",126.3,1.25,+1.00%,125.44,127.17,125.08,1819400,2023-08-04
ABBV,"Abbvie Inc",147.73,-1.32,-0.89%,148.97,150.57,147.16,4231300,2023-08-04
ABC,"Amerisourcebergen Corp",185.33,-6.03,-3.15%,187.18,188.51,184,9042200,2023-08-04
ABT,"Abbott Laboratories",107.65,0.11,+0.10%,107.32,108.78,107.28,3231100,2023-08-04
ALGN,"Align Technology",361.44,-4.8,-1.31%,366.99,369.71,359.72,613400,2023-08-04
AMGN,"Amgen Inc",243.28,12.58,+5.45%,237.91,246.42,237,5181300,2023-08-04
BAX,"Baxter International Inc",43.92,-0.02,-0.05%,43.9,44.62,43.76,4074200,2023-08-04
BDX,"Becton Dickinson and Company",270.79,2.09,+0.78%,268.25,274.7,267.15,1521500,2023-08-04
BIIB,"Biogen Inc",268.92,1.17,+0.44%,267.04,269.93,266.68,929600,2023-08-04
BIO,"Bio-Rad Laboratories",400,-1.8,-0.45%,408.79,419,399.61,493200,2023-08-04
BMY,"Bristol-Myers Squibb Company",60.49,-0.74,-1.21%,61.08,61.45,60.37,7625200,2023-08-04
BSX,"Boston Scientific Corp",50.72,-0.16,-0.31%,50.8,51.4,50.65,6327400,2023-08-04
CAH,"Cardinal Health",91.25,-2.52,-2.69%,93.58,93.91,91.23,2503700,2023-08-04
CI,"The Cigna Group",286.58,-1.06,-0.37%,287.75,290.44,285.69,1213100,2023-08-04
CNC,"Centene Corp",65.8,-0.26,-0.39%,66.1,66.6,65.51,4215500,2023-08-04
COO,"Cooper Companies",388.79,-1.03,-0.26%,389.79,391.61,388.01,344500,2023-08-04
CRL,"Charles River Laboratories Intl",206.9,5.36,+2.66%,201.67,209.22,201.03,678100,2023-08-04
CTLT,"Catalent Inc",45.74,-0.33,-0.72%,45.61,46.95,45.41,1614800,2023-08-04
CVS,"CVS Corp",72.89,-1.43,-1.92%,74.2,74.56,72.61,8318800,2023-08-04
DGX,"Quest Diagnostics Inc",135.65,-1.04,-0.76%,136.32,137.74,135.55,732200,2023-08-04
DHR,"Danaher Corp",254.75,-2.71,-1.05%,256.47,258.37,253.51,2715300,2023-08-04
DVA,"Davita Healthcare Partners Inc",108.81,7.25,+7.14%,106.63,109.6,106.23,1637700,2023-08-04
DXCM,"Dexcom Inc",120.33,-1.74,-1.43%,122.14,122.83,119.89,2228200,2023-08-04
ELV,"Elevance Health Inc",463.18,-4.83,-1.03%,470.41,471.46,461.97,663600,2023-08-04
EW,"Edwards Lifesciences Corp",79.55,-0.45,-0.56%,79.69,80.37,79.32,3309200,2023-08-04
GEHC,"Ge Healthcare Technologies Inc",75.9,-0.12,-0.16%,75.98,76.79,75.63,1449800,2023-08-04
GILD,"Gilead Sciences Inc",78.68,3.15,+4.17%,77.38,80.14,77.25,9062400,2023-08-04
HCA,"Hca Holdings Inc",268.69,-2.06,-0.76%,270.05,271.69,267.81,1159100,2023-08-04
HOLX,"Hologic Inc",75.93,-0.25,-0.33%,76.08,76.37,75.78,1849000,2023-08-04
HSIC,"Henry Schein Inc",78.09,-0.22,-0.28%,77.83,78.72,77.69,1073900,2023-08-04
