Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",15.98,0.03,+0.19%,15.77,16.02,15.7,40490602,2023-08-03
ADP,"Automatic Data Procs",248,0.64,+0.26%,247.95,248.81,246.11,1129000,2023-08-03
ALK,"Alaska Air Group",46.81,-1.11,-2.32%,47.49,47.56,46.62,1878200,2023-08-03
ALLE,"Allegion Plc",111.59,-2.89,-2.52%,113.16,113.36,111.34,1170900,2023-08-03
AME,"Ametek Inc",157.85,-0.84,-0.53%,158.41,158.92,157.32,941300,2023-08-03
AOS,"Smith A.O. Corp",72.3,-0.29,-0.40%,72.63,72.8,71.69,953700,2023-08-03
AXON,"Axon Enterprise Inc",177.1,-0.92,-0.52%,177.01,178.82,175.37,457600,2023-08-03
BA,"Boeing Company",231.36,-0.02,-0.01%,231,233.58,230.4,3285800,2023-08-03
BR,"Broadridge Financial Solutions Llc",165.9,-0.79,-0.47%,166.39,166.83,164.99,392300,2023-08-03
CARR,"Carrier Global Corp",58.1,-0.88,-1.49%,59,59,58.04,5041500,2023-08-03
CAT,"Caterpillar Inc",281.45,-6.12,-2.13%,285.54,287.94,281.05,4745700,2023-08-03
CDAY,"Ceridian Hcm Holding Inc",71.54,4.54,+6.78%,70,72.98,69.18,3548800,2023-08-03
CHRW,"C.H. Robinson Ww",98.22,0.78,+0.80%,99.62,100.01,96.5,1598300,2023-08-03
CMI,"Cummins Inc",242.64,-19.58,-7.47%,237.14,248.38,237.14,2049700,2023-08-03
CPRT,"Copart Inc",89.31,0.88,+1.00%,88.07,89.43,88.07,1875500,2023-08-03
CSX,"CSX Corp",32.91,-0.05,-0.15%,32.86,33.22,32.74,7892400,2023-08-03
CTAS,"Cintas Corp",496.91,-2.65,-0.53%,497.77,500.2,495.85,274600,2023-08-03
DAL,"Delta Air Lines Inc",44.19,-0.61,-1.36%,44.32,44.63,44.02,7099100,2023-08-03
DE,"Deere & Company",423.94,-6.59,-1.53%,427.22,429.31,421.24,1083900,2023-08-03
DOV,"Dover Corp",142.71,-0.26,-0.18%,142.21,143.3,141.09,830400,2023-08-03
EFX,"Equifax Inc",197.11,-4.59,-2.28%,200.01,200.75,196.53,1229900,2023-08-03
EMR,"Emerson Electric Company",95.89,0.75,+0.79%,96.11,97.3,95.46,4754000,2023-08-03
ETN,"Eaton Corp",217.1,-1.77,-0.81%,217.74,219.44,215.64,2133100,2023-08-03
EXPD,"Expeditors Intl",124.43,0,0.00%,124,125.38,123.27,666000,2023-08-03
FAST,"Fastenal Company",56.91,-0.96,-1.66%,57.2,57.51,56.67,3026800,2023-08-03
FDX,"Fedex Corp",263.52,-1.93,-0.73%,264.61,266.19,262.37,1810800,2023-08-03
FTV,"Fortive Corp",78.16,-0.12,-0.15%,77.93,78.31,77.32,2172800,2023-08-03
GD,"General Dynamics Corp",225.63,-0.62,-0.27%,226.5,227.38,224.69,1084100,2023-08-03
GE,"General Electric Company",112.36,0.39,+0.35%,111.83,113.17,111.55,3470400,2023-08-03
GEHC,"Ge Healthcare Technologies Inc",76.02,-0.57,-0.74%,76.64,76.69,75.68,2053700,2023-08-03
GNRC,"Generac Holdings Inc",110.77,-5.18,-4.47%,116.06,117.32,110.32,4300800,2023-08-03
GWW,"W.W. Grainger",722.88,1.13,+0.16%,714.59,723.82,713,297300,2023-08-03
HII,"Huntington Ingalls Industries",226.26,-1.56,-0.68%,229.48,235.46,218.51,589400,2023-08-03
HON,"Honeywell International Inc",190.51,-2.39,-1.24%,192.78,192.9,190.46,2509400,2023-08-03
HWM,"Howmet Aerospace Inc",48.18,0.13,+0.27%,47.95,48.5,47.54,2595700,2023-08-03
IEX,"Idex Corp",222.06,2.65,+1.21%,218.89,223.05,218,509200,2023-08-03
IR,"Ingersoll Rand Inc",67.12,1.63,+2.49%,66.52,67.39,65.24,3897000,2023-08-03
ITW,"Illinois Tool Works Inc",250.23,0.21,+0.08%,248.54,253.14,248.54,1107500,2023-08-03
J,"Jacobs Engineering Group Inc",127.45,-0.03,-0.02%,127.4,128.32,126.71,508600,2023-08-03
JBHT,"J B Hunt Transport",208.24,3.35,+1.64%,203.67,208.8,202.94,953700,2023-08-03
JCI,"Johnson Controls Intl",62.04,-1.51,-2.38%,63.44,63.56,61.94,6237100,2023-08-03
LDOS,"Leidos Holdings Inc",98.4,-0.15,-0.15%,98.71,98.93,97.6,936300,2023-08-03
LHX,"L3Harris Technologies Inc",185.18,-0.74,-0.40%,185.54,185.9,182.35,1512600,2023-08-03
LMT,"Lockheed Martin Corp",447.92,-0.64,-0.14%,447.32,450.2,445.98,1240700,2023-08-03
LUV,"Southwest Airlines Company",32.26,-1.11,-3.33%,32.56,33.02,32.15,10743200,2023-08-03
MAS,"Masco Corp",59.32,-1.22,-2.02%,60.4,60.44,58.98,2327900,2023-08-03
MMM,"3M Company",107.19,-1.72,-1.58%,108.5,108.84,106.93,2822700,2023-08-03
NDSN,"Nordson Corp",248.72,0.9,+0.36%,247.22,249.92,246.48,155800,2023-08-03
NOC,"Northrop Grumman Corp",442.61,-4.86,-1.09%,447.19,447.99,441.61,758500,2023-08-03
NSC,"Norfolk Southern Corp",227.28,-2.94,-1.28%,228.23,228.64,226.76,951700,2023-08-03
ODFL,"Old Dominion Freight Line Inc",413.04,4.46,+1.09%,406.94,417.41,406.21,878100,2023-08-03
OTIS,"Otis Worldwide Corp",89.62,0.23,+0.26%,89.22,90.13,88.9,1554600,2023-08-03
PAYC,"Paycom Software Inc",296.95,-2.67,-0.89%,299.76,303.13,288,1836000,2023-08-03
PAYX,"Paychex Inc",124.67,0.28,+0.23%,124.52,125.28,123.69,1012300,2023-08-03
PCAR,"Paccar Inc",84.89,-1.18,-1.37%,85.67,85.93,83.88,2929100,2023-08-03
PH,"Parker-Hannifin Corp",418.18,12.31,+3.03%,420.08,421.18,397.01,1576100,2023-08-03
PNR,"Pentair Ltd",69.35,0.34,+0.49%,68.78,69.55,68.29,1098200,2023-08-03
PWR,"Quanta Services",203.34,1.02,+0.50%,200.27,204.21,194,1349600,2023-08-03
RHI,"Robert Half Inc",75.72,1.42,+1.91%,74.25,75.98,74,1067800,2023-08-03
ROK,"Rockwell Automation Inc",302.05,-2.23,-0.73%,303.45,305.04,298.24,1095400,2023-08-03
ROL,"Rollins Inc",40.69,-0.61,-1.48%,41.1,41.19,40.53,1388200,2023-08-03
RSG,"Republic Services",149.12,-3.45,-2.26%,151.93,152.5,148.99,1632500,2023-08-03
RTX,"Rtx Corp",84.67,-0.79,-0.92%,85.53,85.76,84.36,7948700,2023-08-03
SNA,"Snap-On Inc",273.52,-0.1,-0.04%,271.91,274.67,270.44,223900,2023-08-03
SWK,"Stanley Black & Decker Inc",99.14,-2.11,-2.08%,100.9,101.08,98.04,1302400,2023-08-03
TDG,"Transdigm Group Inc",895.58,8.22,+0.93%,882.39,902.78,878.36,271200,2023-08-03
TT,"Trane Technologies Plc",205.25,0.19,+0.09%,205.29,208.34,202.99,1563900,2023-08-03
TXT,"Textron Inc",77.75,0.94,+1.22%,76.73,77.75,76.03,1284500,2023-08-03
UAL,"United Airlines Holdings Inc",52.16,-0.51,-0.97%,52.05,52.48,51.56,5986700,2023-08-03
UNP,"Union Pacific Corp",229.89,-0.31,-0.13%,229.59,231.73,228.55,1914100,2023-08-03
UPS,"United Parcel Service",181.5,-1.85,-1.01%,182.34,184.56,181.26,3694400,2023-08-03
URI,"United Rentals",465,-3.16,-0.67%,464.09,465.78,452.13,645200,2023-08-03
VRSK,"Verisk Analytics Inc",230.4,-2.02,-0.87%,232.88,237.23,229.76,1460800,2023-08-03
WAB,"Wabtec Corp",116.54,-0.96,-0.82%,116.45,117.76,115.82,969900,2023-08-03
WM,"Waste Management",160.94,-2.48,-1.52%,163,163.54,160.79,1412400,2023-08-03
XYL,"Xylem Inc",108.4,-3.68,-3.28%,111.53,111.78,108.13,1932700,2023-08-03
"Downloaded from Barchart.com as of 08-03-2023 08:33pm CDT"
