Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",14.73,0.15,+1.03%,14.66,14.82,14.57,19449000,2023-08-28
AAOI,"Applied Optoelect",12.97,-0.02,-0.15%,13,14.08,12.76,2676400,2023-08-28
AAON,"Aaon Inc",60.78,0.08,+0.13%,61.1,61.44,60.62,216300,2023-08-28
AAPL,"Apple Inc",180.19,1.58,+0.88%,180.09,180.59,178.54,43768602,2023-08-28
ABCB,"Ameris Bancorp",39.97,0.53,+1.34%,39.75,40.45,39.75,226700,2023-08-28
ABCL,"Abcellera Biologics Inc",5.5,-0.01,-0.18%,5.53,5.68,5.47,1063800,2023-08-28
ABCM,"Abcam Plc ADR",22.35,-1.01,-4.32%,22.36,22.68,22.24,73879102,2023-08-28
ABNB,"Airbnb Inc Cl A",126.15,0.36,+0.29%,127,127,124.95,2347900,2023-08-28
ACAD,"Acadia Pharmaceutica",27.87,-0.73,-2.55%,28.56,28.66,27.8,1041600,2023-08-28
ACAH,"Atlantic Coastal Acquisition Corp Cl A",10.35,-0.53,-4.87%,10.35,10.35,10.35,200,2023-08-28
ACB,"Aurora Cannabis Inc",0.44,-0.0029,-0.65%,0.45,0.45,0.44,1948600,2023-08-28
ACCD,"Accolade Inc",13.25,0.3,+2.32%,13.06,13.39,12.98,293200,2023-08-28
ACDC,"Profrac Holding Corp. Cl A",10.82,0.57,+5.56%,10.35,10.85,10.35,694600,2023-08-28
ACET,"Adicet Bio Inc",1.68,0.01,+0.60%,1.72,1.72,1.63,504800,2023-08-28
ACGL,"Arch Capital Grp Ltd",74.19,-0.43,-0.58%,74.37,75.44,73.89,1740000,2023-08-28
ACHC,"Acadia Healthcr Company",75.99,0.15,+0.20%,75.96,76.31,75.4,245000,2023-08-28
ACIW,"Aci Worldwide Inc",23.66,0.4,+1.72%,23.29,23.78,23.29,327900,2023-08-28
ACLS,"Axcelis Tech Inc",172.4,3.85,+2.28%,171,173.43,170.56,297200,2023-08-28
ACLX,"Arcellx Inc",35.88,0.29,+0.81%,35.6,36.39,34.59,320800,2023-08-28
ACMR,"Acm Research Inc",15.3,-0.22,-1.42%,15.77,15.77,15.07,648300,2023-08-28
ACRS,"Aclaris Therapts",6.6,-0.3,-4.35%,6.95,7.04,6.52,775900,2023-08-28
ACT,"Enact Holdings Inc",29.05,0.14,+0.48%,28.97,29.68,28.96,177200,2023-08-28
