Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",177.49,2.58,+1.48%,173.8,177.99,173.18,57266602,2023-10-06
ACN,"Accenture Plc",312.19,2.53,+0.82%,308.28,315.11,306.72,2441400,2023-10-06
ADBE,"Adobe Systems Inc",526.68,10.24,+1.98%,513.22,531.31,509.52,2526300,2023-10-06
ADI,"Analog Devices",173.97,1.87,+1.09%,170.71,175.29,170.13,3259800,2023-10-06
ADSK,"Autodesk Inc",210.04,6.08,+2.98%,202.08,211.28,201.33,1238000,2023-10-06
AKAM,"Akamai Technologies",105.76,0.1,+0.09%,104.76,106.81,103.79,1350100,2023-10-06
AMAT,"Applied Materials",140.29,1.01,+0.73%,138.05,141.16,135.15,5234400,2023-10-06
AMD,"Adv Micro Devices",107.24,4.33,+4.21%,102.16,107.87,102.03,64864000,2023-10-06
ANET,"Arista Networks Inc",194.02,5.99,+3.19%,188.43,195.46,185.63,2041200,2023-10-06
ANSS,"Ansys Inc",296.51,6.33,+2.18%,288.16,297.79,286.6,574200,2023-10-06
APH,"Amphenol Corp",83.37,0.73,+0.88%,82.35,83.82,82.18,2410500,2023-10-06
AVGO,"Broadcom Ltd",845.26,21.4,+2.60%,819.4,848.39,811.72,2110300,2023-10-06
CDNS,"Cadence Design Sys",243.95,9.18,+3.91%,232.88,244.88,231.84,1415300,2023-10-06
CDW,"CDW Corp",205.63,2.59,+1.28%,202.57,206.68,202.57,1065400,2023-10-06
CRM,"Salesforce Inc",207.36,5.35,+2.65%,200.48,208.27,199.89,4989100,2023-10-06
CSCO,"Cisco Systems Inc",53.45,0.38,+0.72%,52.99,53.74,52.74,15665500,2023-10-06
CTSH,"Cognizant Tech Sol",67.84,0.14,+0.21%,67.18,68.17,66.82,2171000,2023-10-06
DXC,"Dxc Technology Company",21.37,0.13,+0.61%,21.2,21.51,21.02,1703300,2023-10-06
ENPH,"Enphase Energy Inc",119.16,3.15,+2.72%,113.98,119.67,112.5,3385200,2023-10-06
EPAM,"Epam Systems Inc",244.15,6.14,+2.58%,236.73,246.85,235.34,306300,2023-10-06
FFIV,"F5 Inc",156.32,0.74,+0.48%,154.91,157.3,154.18,327500,2023-10-06
FICO,"Fair Isaac and Company",873.52,10.99,+1.27%,861.49,880.67,858.88,99900,2023-10-06
FSLR,"First Solar Inc",148.56,3.21,+2.21%,143.01,150.13,142.51,2476900,2023-10-06
FTNT,"Fortinet Inc",59.93,1.91,+3.29%,57.62,60.21,57.5,4752600,2023-10-06
GEN,"Gen Digital Inc",17.35,0.36,+2.12%,16.85,17.53,16.85,3385900,2023-10-06
GLW,"Corning Inc",29.58,-0.1,-0.34%,29.5,29.82,29.17,2561900,2023-10-06
HPE,"Hewlett Packard Enterprise Comp",16.83,0.04,+0.24%,16.74,16.97,16.58,9281500,2023-10-06
HPQ,"Hp Inc",25.9,-0.33,-1.26%,26.09,26.17,25.74,8406400,2023-10-06
IBM,"International Business Machines",142.03,0.51,+0.36%,141.4,142.94,140.11,3511300,2023-10-06
INTC,"Intel Corp",36.19,0.3,+0.84%,35.87,36.46,35.18,33262102,2023-10-06
INTU,"Intuit Inc",533.3,17,+3.29%,512,534.66,511.28,1766600,2023-10-06
IT,"Gartner Inc",353.6,1.46,+0.41%,348.94,355.61,348.13,332000,2023-10-06
JNPR,"Juniper Networks",26.61,0.14,+0.53%,26.4,27,26.38,4491600,2023-10-06
