Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AA,"Alcoa Corp",55.84,-1.08,-1.90%,58.235,55.2,5506800,2022-08-26
ACC,"American Campus Communities Inc",65.42,0.049999999999997,+0.08%,65.46,65.37,18855700,2022-08-09
ACHC,"Acadia Healthcr Company",82.64,-2.59,-3.04%,86.03,82.48,783400,2022-08-26
ACIW,"Aci Worldwide Inc",24.12,-0.71,-2.86%,24.85,24.1,548000,2022-08-26
ACM,"Aecom Technology Corp",75.71,-2.03,-2.61%,78.15,75.69,357500,2022-08-26
ADNT,"Adient Plc",33.7,-1.48,-4.21%,35.37,33.61,471500,2022-08-26
AEO,"American Eagle Outfitters",11.8,-0.45,-3.67%,12.39,11.75,4187700,2022-08-26
AFG,"American Financial Group",131.71,-1.94,-1.45%,133.66,131.32,291200,2022-08-26
AGCO,"Agco Corp",110.61,-4.65,-4.03%,116.1776,110.445,398000,2022-08-26
AIRC,"Apartment Income REIT Corp",42.53,-1.01,-2.32%,43.83,42.51,416500,2022-08-26
ALE,"Allete Inc",60.03,-0.99,-1.62%,61.25,60.01,217500,2022-08-26
AM,"Antero Midstream Corp",10.49,-0.25,-2.33%,10.76,10.48,2020600,2022-08-26
AMED,"Amedisys Inc",120.97,-6.09,-4.79%,128.28,120.22,241400,2022-08-26
AMG,"Affiliated Managers Group",130.54,-5.24,-3.86%,137.605,130.49,200700,2022-08-26
AMKR,"Amkor Technology",20.87,-1.06,-4.83%,21.94,20.86,366500,2022-08-26
AN,"Autonation Inc",126.35,-2.79,-2.16%,130.24,125.39,600000,2022-08-26
ARW,"Arrow Electronics",107.19,-4.19,-3.76%,111.39,107.05,417200,2022-08-26
ARWR,"Arrowhead Pharma",40.06,-2.55,-5.98%,42.68,39.96,611200,2022-08-26
ASB,"Associated Banc-Corp",20.59,-0.62,-2.92%,21.33,20.56,1119400,2022-08-26
ASGN,"On Assignment",99.73,-4.15,-3.99%,104.43,99.69,139000,2022-08-26
ASH,"Ashland Inc",102.96,-3.64,-3.41%,106.39,102.96,155800,2022-08-26
ATR,Aptargroup,104.41,-4.56,-4.18%,109.55,104.17,152000,2022-08-26
AVNT,"Avient Corp",45,-2.09,-4.44%,47,44.95,203700,2022-08-26
AVT,"Avnet Inc",44.67,-1.1,-2.40%,46.1,44.62,850100,2022-08-26
AXON,"Axon Enterprise Inc",122.24,-5.42,-4.25%,127.7,122.02,265900,2022-08-26
AYI,"Acuity Brands Inc",171.7,-9.28,-5.13%,181.22,171.56,141900,2022-08-26
AZPN,"Aspen Technology",216.15,-0.48,-0.22%,217.87,211.41,85900,2022-08-26
AZTA,"Azenta Inc",56.04,-3.54,-5.94%,59.65,56.01,376700,2022-08-26
BC,"Brunswick Corp",77.93,-4.17,-5.08%,82.225,77.91,560700,2022-08-26
BCO,"Brink's Company",56.23,-1.42,-2.46%,57.96,56.16,133400,2022-08-26
BDC,"Belden Inc",67.59,-3.26,-4.60%,70.97,67.52,194600,2022-08-26
BFH,"Bread Financial Hldgs Inc",39.12,-2.43,-5.85%,41.75,39.11,431800,2022-08-26
BHF,"Brighthouse Financial Inc",48.45,-2.03,-4.02%,50.83,48.38,381100,2022-08-26
BJ,"Bj's Wholesale Club Holdings Inc",71.05,-0.97,-1.35%,72.775,71.04,1774500,2022-08-26
BKH,"Black Hills Corp",78.02,-0.39,-0.50%,79.15,78.02,412800,2022-08-26
BLD,"Topbuild Corp",184.39,-11.08,-5.67%,194.91,183.76,298000,2022-08-26
BLDR,"Builders Firstsource",62.1,-3.17,-4.86%,65,61.8614,1945900,2022-08-26
BLKB,"Blackbaud Inc",54.48,-1.9,-3.37%,56.88,54.34,384000,2022-08-26
BOH,"Bank of Hawaii Corp",79.49,-1.63,-2.01%,81.48,79.3,122500,2022-08-26
BRBR,"Bellring Brands Inc Cl A",24.37,-1.03,-4.06%,25.59,24.28,472300,2022-08-26
BRKR,"Bruker Corp",58.06,-2.78,-4.57%,61.13,58.04,711900,2022-08-26
BRX,"Brixmor Property Group Inc",22.12,-0.74,-3.24%,22.86,22.11,1290000,2022-08-26
BYD,"Boyd Gaming Corp",56.03,-1.2,-2.10%,57.47,55.94,839200,2022-08-26
CABO,"Cable One Inc",1192.46,-48.75,-3.93%,1236.52,1188.62,51200,2022-08-26
CACI,"Caci International",275.78,-5.26,-1.87%,280,275.44,83800,2022-08-26
CADE,"Cadence Bank",26.49,-0.58,-2.14%,27.28,26.455,711000,2022-08-26
CALX,"Calix Inc",58.79,-3.28,-5.28%,62.49,58.68,519700,2022-08-26
CAR,"Avis Budget Group",176.6,-9.08,-4.89%,187.48,176.53,387900,2022-08-26
CASY,"Casey's General Stor",217.2,-1.58,-0.72%,219.2,216.57,206600,2022-08-26
CATY,"Cathay Genl Bncp",43.43,-0.9,-2.03%,44.52,43.41,301100,2022-08-26
CBRL,"Cracker Barrel",110.44,-3.46,-3.04%,114.13,110.29,305800,2022-08-26
CBSH,"Commerce Bancshares",70.64,-1.12,-1.56%,72.1,70.6,308500,2022-08-26
CBT,"Cabot Corp",74.95,-2.51,-3.24%,77.43,74.767,195400,2022-08-26
CC,"Chemours Company",35.76,-1.54,-4.13%,37.72,35.67,979400,2022-08-26
CFR,"Cullen/Frost Bankers",131.48,-2.93,-2.18%,134.52,131.22,288000,2022-08-26
CGNX,"Cognex Cp",44.85,-0.52,-1.15%,45.85,44.28,1371700,2022-08-26
CHDN,"Churchill Downs IN",205.65,-7.59,-3.56%,214.93,205.6,159100,2022-08-26
CHE,"Chemed Inc",474.58,-7.55,-1.57%,482.8596,474.01,66400,2022-08-26
CHH,"Choice Hotels International",117.57,-3.47,-2.87%,121.65,117.47,385400,2022-08-26
CHX,"Championx Corp",22.53,-0.69,-2.97%,23.35,22.32,1401700,2022-08-26
CIEN,"Ciena Corp",53.62,-1.87,-3.37%,55.59,53.62,679000,2022-08-26
CLF,"Cleveland-Cliffs Inc",18.73,-0.66,-3.40%,19.895,18.62,12370800,2022-08-26
CLH,"Clean Harbors",118.95,-3.39,-2.77%,122.57,118.76,293900,2022-08-26
CMC,"Commercial Metals Company",42.62,-0.97000000000001,-2.23%,43.99,42.62,820100,2022-08-26
CNO,"Cno Financial Group",18.91,-0.61,-3.13%,19.64,18.905,526400,2022-08-26
CNX,"CNX Resources Corp",17.61,-0.18,-1.01%,18.17,17.61,3104300,2022-08-26
CNXC,"Concentrix Corp",130.7,-3.06,-2.29%,134.66,130.05,203800,2022-08-26
COKE,"Coca Cola Bot Cons",494.39,-12.98,-2.56%,504.71,492.41,29800,2022-08-26
COLM,"Columbia Sprtswr",73.28,-2.68,-3.53%,76.25,73.14,271600,2022-08-26
COTY,"Coty Inc",7.94,-0.23,-2.82%,8.33,7.93,8146000,2022-08-26
CPRI,"Capri Holdings Ltd",49.39,-2.44,-4.71%,52.28,49.33,1597400,2022-08-26
CR,"Crane Holdings CO",98.13,-4.65,-4.52%,102.93,98.07,162800,2022-08-26
CRI,"Carter's Inc",76.94,-3.47,-4.32%,81.16,76.9,535200,2022-08-26
CROX,"Crocs Inc",77.11,-3.9,-4.81%,81.25,76.83,1469900,2022-08-26
CRUS,"Cirrus Logic Inc",82.72,-3.11,-3.62%,86.14,82.67,412100,2022-08-26
CSL,"Carlisle Companies Inc",304.95,-10.29,-3.26%,315.42,304.53,371500,2022-08-26
CUZ,"Cousins Properties Inc",27.88,-0.75,-2.62%,28.69,27.86,746500,2022-08-26
CVLT,"Commvault Systems",55.52,-2.11,-3.66%,58.1,55.46,142400,2022-08-26
CW,"Curtiss-Wright Corp",148.14,-4.92,-3.21%,153.53,148.005,131000,2022-08-26
DAN,"Dana Inc",16.29,-0.68,-4.01%,17.13,16.275,641000,2022-08-26
DAR,"Darling International Inc",77.06,-1.91,-2.42%,79.51,77.05,913100,2022-08-26
DCI,"Donaldson Company",53.39,-1.99,-3.59%,55.55,53.36,262000,2022-08-26
DECK,"Deckers Outdoor Corp",328.45,-4.49,-1.35%,334.08,324.32,289000,2022-08-26
DEI,"Douglas Emmett",19.95,-0.67,-3.25%,20.65,19.93,1097400,2022-08-26
DINO,"HF Sinclair Corp",54.34,-0.84999999999999,-1.54%,56,54.075,1155700,2022-08-26
DKS,"Dick's Sporting Goods Inc",106.74,-3.48,-3.16%,110.09,105.9076,1102900,2022-08-26
DOC,"Physicians Realty Trust",17.32,-0.24,-1.37%,17.56,17.29,830100,2022-08-26
DTM,"Dt Midstream Inc",57.56,-1.17,-1.99%,58.74,57.455,538200,2022-08-26
DY,"Dycom Industries",112.65,-3.56,-3.06%,115.38,111.48,353100,2022-08-26
EEFT,"Euronet Worldwide",91.91,-2.19,-2.33%,94.82,91.33,529300,2022-08-26
EGP,"Eastgroup Properties",168.43,-3.64,-2.12%,172.0333,167.935,148900,2022-08-26
EHC,"Encompass Health Corp",48.93,-2.33,-4.55%,51.47,48.92,950700,2022-08-26
ELY,"Callaway Golf Company",22.7,-0.88,-3.73%,23.71,22.58,1135500,2022-08-26
EME,"Emcor Group",120.72,-3.29,-2.65%,124.27,120.48,252500,2022-08-26
ENOV,"Enovis Corp",52.3,-2.26,-4.14%,54.875,52.14,303700,2022-08-26
ENR,"Energizer Holdings Inc",29.32,-1.32,-4.31%,30.705,29.25,414800,2022-08-26
ENS,"Enersys Inc",64.28,-3.72,-5.47%,68.26,64.21,199500,2022-08-26
ENV,"Envestnet Inc",53.81,-1.37,-2.48%,55.37,53.81,260200,2022-08-26
EPR,"Entertainment Properties Trust",45.54,-1.03,-2.21%,46.67,45.355,890500,2022-08-26
EQT,"Eqt Corp",49.67,0.19,+0.38%,50.96,49.34,5789300,2022-08-26
ESAB,"Esab Corp",43.16,-1.48,-3.32%,44.98,42.92,259500,2022-08-26
ESNT,"Essent Group Ltd",40.93,-1.05,-2.50%,42.25,40.9,358500,2022-08-26
ETRN,"Equitrans Midstream Corp",9.51,-0.17,-1.76%,9.74,9.425,3444700,2022-08-26
EVR,"Evercore Partners Inc",96.27,-3.72,-3.72%,100.76,96.24,290700,2022-08-26
EWBC,"East West Bancorp",73.94,-2.23,-2.93%,76.68,73.93,515600,2022-08-26
EXEL,"Exelixis Inc",18.23,-0.58,-3.08%,18.67,18.16,2234200,2022-08-26
EXP,"Eagle Materials Inc",122.42,-5.72,-4.46%,128.15,122.12,229000,2022-08-26
FAF,"First American Corp",56.78,-1.11,-1.92%,58.11,56.62,407500,2022-08-26
FCFS,"Firstcash Holdings Inc",77.82,-2.51,-3.12%,80.95,77.47,185000,2022-08-26
FCN,"Fti Consulting",161.83,-0.76999999999998,-0.47%,164.6,161.61,133400,2022-08-26
FFIN,"First Finl Bkshs Inc",43.69,-0.69,-1.55%,44.93,43.54,300500,2022-08-26
FHI,"Federated Investors",34.61,-0.45,-1.28%,35.37,34.51,731600,2022-08-26
FHN,"First Horizon Corp",22.91,-0.34,-1.46%,23.29,22.88,1278600,2022-08-26
FICO,"Fair Isaac and Company",476.85,-8.73,-1.80%,485.87,472.91,100900,2022-08-26
FIVE,"Five Below Inc",127.14,-7.06,-5.26%,135.9,126.87,674800,2022-08-26
FL,"Footlocker Inc",36.75,-1.21,-3.19%,38.22,36.57,2326700,2022-08-26
FLO,"Flowers Foods",27.44,-0.15,-0.54%,27.76,27.335,1070100,2022-08-26
FLR,"Fluor Corp",27.7,-0.65,-2.29%,28.73,27.59,1086900,2022-08-26
FLS,"Flowserve Corp",31.39,-1.45,-4.42%,32.74,31.32,843500,2022-08-26
FNB,"F.N.B. Corp",12.21,-0.34,-2.71%,12.6,12.2,1405400,2022-08-26
FOXF,"Fox Factory Cp",97.06,-4.44,-4.37%,102.5,96.37,192400,2022-08-26
FR,"First Industrial Realty Trust",51.88,-1.15,-2.17%,53.03,51.88,364700,2022-08-26
FSLR,"First Solar Inc",121.75,0.06,+0.05%,126.17,120.97,3381300,2022-08-26
FULT,"Fulton Financial Cor",16.63,-0.34,-2.00%,17.16,16.55,578600,2022-08-26
G,"Genpact Ltd",46.62,-1.1,-2.31%,47.96,46.58,417800,2022-08-26
GATX,"GATX Corp",99.15,-3.75,-3.64%,103.4,98.93,111800,2022-08-26
GBCI,"Glacier Bancorp Inc",51.43,-0.8,-1.53%,52.63,51.38,315100,2022-08-26
GEF,"Greif Bros. Corp",68.62,-2.16,-3.05%,70.5,68.57,209400,2022-08-26
GGG,"Graco Inc",65.71,-2.65,-3.88%,68.41,65.62,407700,2022-08-26
GHC,"Graham Holdings Company",575.5,-8.97,-1.53%,578.7308,574.97,10800,2022-08-26
GME,"Gamestop Corp",30.94,-1.02,-3.19%,32.38,30.63,4297200,2022-08-26
GMED,"Globus Medical Inc",60.34,-2.44,-3.89%,62.69,60.13,454100,2022-08-26
GNTX,"Gentex Corp",27.62,-0.91,-3.19%,28.71,27.6,574200,2022-08-26
GO,"Grocery Outlet Holding Corp",39.11,-0.47,-1.19%,40.29,39.02,901100,2022-08-26
GPS,"Gap Inc",9.82,-0.19,-1.90%,10.4999,9.82,13407800,2022-08-26
GT,"Goodyear Tire Rubber",14.62,-0.54,-3.56%,15.34,14.57,3613200,2022-08-26
GTLS,"Chart Industries IN",195.35,-7.95,-3.91%,205,194.52,239400,2022-08-26
GXO,"Gxo Logistics Inc",45.47,-2.25,-4.72%,48.25,45.45,903500,2022-08-26
HAE,"Haemonetics Corp",75.13,-2.14,-2.77%,77.33,74.95,368600,2022-08-26
HAIN,"Hain Celestial Group",21.28,-2.35,-9.94%,23.59,21.28,1773900,2022-08-26
HALO,"Halozyme Therapeutic",40.29,-2.02,-4.77%,42.69,40.12,1531000,2022-08-26
HBI,"Hanesbrands Inc",9.04,-0.47,-4.94%,9.61,8.965,7047700,2022-08-26
HE,"Hawaiian Electric Industries",40.14,-0.77,-1.88%,40.96,40.12,372400,2022-08-26
HELE,"Helen of Troy Ltd",128.98,-6.94,-5.11%,136.34,128.82,157400,2022-08-26
HIW,"Highwoods Properties",31.53,-0.59,-1.84%,32.25,31.53,1011800,2022-08-26
HOG,"Harley-Davidson Inc",39.99,-1.41,-3.41%,41.58,39.86,867100,2022-08-26
HOMB,"Home Bancshares Inc",24.03,-0.68,-2.75%,24.79,23.99,730500,2022-08-26
HPP,"Hudson Pacific Properties",13.52,-0.44,-3.15%,13.99,13.38,1727000,2022-08-26
HQY,Healthequity,63.56,0.74,+1.18%,64.28,62.22,504100,2022-08-26
HR,"Healthcare Realty Trust Inc.",25.32,-0.62,-2.39%,25.955,25.255,2223700,2022-08-26
HRB,"H&R Block",46.26,-0.57,-1.22%,47.065,46.19,1616000,2022-08-26
HUBB,"Hubbell Inc B",210.97,-9.66,-4.38%,220.82,210.19,250800,2022-08-26
HWC,"Hancock Whitney Corp",49.46,-1,-1.98%,51.47,49.35,284200,2022-08-26
HXL,"Hexcel Corp",60.15,-2.47,-3.94%,62.98,60.14,400900,2022-08-26
IAA,"Iaa Inc",36.08,-0.69,-1.88%,37.04,35.8,882600,2022-08-26
IART,"Integra Lifesciences",48.73,-1.37,-2.73%,50.52,48.49,558000,2022-08-26
IBKR,"Interactive Brokers",61.61,-1.99,-3.13%,63.88,61.56,414200,2022-08-26
IBOC,"Intl Bancshares",42.33,-1.05,-2.42%,43.81,42.18,169000,2022-08-26
ICUI,"I C U Medical Inc",161.85,-3.75,-2.26%,166.15,160.94,116000,2022-08-26
IDA,"Idacorp Inc",111.45,-1.29,-1.14%,113.258,111.44,88000,2022-08-26
IIVI,"I I V I Inc",51.89,-2.52,-4.63%,54.4,51.86,2690900,2022-08-26
INGR,"Ingredion Inc",89.56,-1.64,-1.80%,91.4799,89.35,417000,2022-08-26
IPGP,"Ipg Photonics Corp",94.01,-4.02,-4.10%,98.34,93.76,244600,2022-08-26
IRDM,"Iridium Comm Inc",45.11,-1.39,-2.99%,46.51,44.98,427700,2022-08-26
IRT,"Independence Realty Trust Inc",20.08,-0.61,-2.95%,20.69,20.03,1248800,2022-08-26
ITT,"ITT Inc",75.14,-3.82,-4.84%,79.02,75.01,264200,2022-08-26
JAZZ,"Jazz Pharma Plc",155.87,-4.64,-2.89%,162.55,155.79,269700,2022-08-26
JBGS,"Jbg Smith Properties",22.57,-0.75,-3.22%,23.31,22.54,992500,2022-08-26
JBL,"Jabil Circuit",62.14,-2.02,-3.15%,64.18,62.02,618700,2022-08-26
JBLU,"Jetblue Airways Cp",8.03,-0.35,-4.18%,8.43,8.02,8980199,2022-08-26
JEF,"Jefferies Financial Group Inc",32.4,-1.29,-3.83%,33.93,32.365,993400,2022-08-26
JHG,"Janus Henderson Group Plc",24.32,-0.93,-3.68%,25.39,24.32,711300,2022-08-26
JLL,"Jones Lang Lasalle Inc",176,-4.9,-2.71%,180.95,175.24,264700,2022-08-26
JWN,Nordstrom,18.04,-0.38,-2.06%,18.74,17.995,12011600,2022-08-26
KBH,"KB Home",29.54,-1.51,-4.86%,31.18,29.36,1165900,2022-08-26
KBR,"KBR Inc",50.07,-1.47,-2.85%,51.72,49.931,597900,2022-08-26
KD,"Kyndryl Hldgs Inc",10.89,-0.16,-1.45%,11.23,10.74,1983600,2022-08-26
KEX,"Kirby Corp",68.91,-2.33,-3.27%,71.255,68.88,277200,2022-08-26
KMPR,"Kemper Corp",47.16,-1.86,-3.79%,49.12,46.99,151000,2022-08-26
KMT,"Kennametal Inc",24.69,-1.49,-5.69%,26.32,24.64,549000,2022-08-26
KNSL,"Kinsale Capital Group Inc",262.07,-7.18,-2.67%,271.78,259.11,88700,2022-08-26
KNX,"Knight-Swift Transporation Inc",52.99,-1.55,-2.84%,54.76,52.95,830700,2022-08-26
KRC,"Kilroy Realty Corp",50,-0.54,-1.07%,50.55,49.66,1247300,2022-08-26
KRG,"Kite Realty Group Trust",20.12,-0.51,-2.47%,20.62,20.0401,1047500,2022-08-26
KSS,"Kohl's Corp",29.74,-0.66,-2.17%,30.78,29.61,4110800,2022-08-26
LAD,"Lithia Motors",278.01,-7.04,-2.47%,287.1,277.64,286700,2022-08-26
LAMR,"Lamar Advertis A",97.29,-3,-2.99%,100.29,97.19,344100,2022-08-26
LANC,"Lancaster Colony Cor",172.95,5.69,+3.40%,174.25,168.33,326300,2022-08-26
LEA,"Lear Corp",139.22,-5.85,-4.03%,146.25,139.2,397900,2022-08-26
LECO,"Lincoln Elec Holdings",140.9,-4.6,-3.16%,145.7,140.78,165500,2022-08-26
LEG,"Leggett & Platt Inc",38.95,-1.1,-2.75%,40.49,38.93,718800,2022-08-26
LFUS,"Littelfuse Inc",236.6,-9.53,-3.87%,246.6,236.54,72400,2022-08-26
LHCG,"LHC Group Inc",161.9,-1.36,-0.83%,163.69,161.9,133100,2022-08-26
LII,"Lennox International",242.65,-9.82,-3.89%,253.44,242.375,227600,2022-08-26
