Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AFL,"Aflac Inc",63.9,-0.09,-0.14%,63.36,64.19,63.29,1721800,2022-08-17
AIG,"American International Group",56.69,-0.6,-1.05%,56.5,57.05,56.18,3090100,2022-08-17
AIZ,"Assurant Inc",171.54,1.31,+0.77%,169.2,172.99,169.2,447800,2022-08-17
AJG,"Arthur J. Gallagher & Company",190.85,0.19,+0.10%,189.62,191.41,188.96,541900,2022-08-17
ALL,"Allstate Corp",132.04,2.31,+1.78%,128.83,132.66,128.83,1907500,2022-08-17
AMP,"Ameriprise Financial Services",288.15,-0.91,-0.31%,284.69,289.49,284.69,422900,2022-08-17
AON,"AON Plc",300.4,-0.6,-0.20%,298.78,301.8,297.74,513100,2022-08-17
AXP,"American Express Company",163.9,-1.45,-0.88%,163.3,164.48,162.2,1804100,2022-08-17
BAC,"Bank of America Corp",36.41,-0.23,-0.63%,36.2,36.59,36.08,27125498,2022-08-17
BEN,"Franklin Resources",28.4,-0.39,-1.35%,28.29,28.44,27.93,2082800,2022-08-17
BK,"Bank of New York Mellon Corp",44.81,-0.22,-0.49%,44.44,45.11,44.29,2334500,2022-08-17
BLK,"Blackrock Inc",743.22,-13.85,-1.83%,744.47,746.79,734.54,594200,2022-08-17
BRK.B,"Berkshire Hathaway Cl B",304.26,-2.39,-0.78%,305.22,306.89,302.74,2963900,2022-08-17
BRO,"Brown & Brown",67.94,-0.2,-0.29%,67.53,68.27,67.37,614200,2022-08-17
C,"Citigroup Inc",53.76,-0.42,-0.78%,53.42,54.02,53.3,13370801,2022-08-17
CB,"Chubb Ltd",200.94,1.89,+0.95%,197.69,201.16,197.26,951400,2022-08-17
CBOE,"CBOE Global Markets Inc",123.56,3.64,+3.04%,119.62,123.57,119.62,594200,2022-08-17
CFG,"Citizens Financial Group Inc/Ri",39.51,-0.58,-1.45%,39.51,39.78,39.08,2973600,2022-08-17
CINF,"Cincinnati Financial",106.45,1.12,+1.06%,104.09,106.81,103.83,700800,2022-08-17
CMA,"Comerica Inc",85.56,-0.95,-1.10%,85.35,85.99,85,496300,2022-08-17
CME,"CME Group Inc",206.45,0.99,+0.48%,203.48,206.58,202.03,1451000,2022-08-17
COF,"Capital One Financial Corp",113.61,-1.85,-1.60%,113.15,114.25,112.03,1962600,2022-08-17
DFS,"Discover Financial Services",108.52,-1.95,-1.77%,108.32,108.8,107.25,1361000,2022-08-17
FDS,"Factset Research Systems Inc",452.85,5.16,+1.15%,446.67,454.57,446.52,165600,2022-08-17
FITB,"Fifth Third Bancorp",37.23,-0.39,-1.04%,37.39,37.46,36.81,2439200,2022-08-17
FRC,"First Republic Bank",166.92,-3.2,-1.88%,168.09,168.4,165.64,740300,2022-08-17
GL,"Globe Life Inc",103.42,-0.1,-0.10%,102.7,103.79,102.63,387100,2022-08-17
GS,"Goldman Sachs Group",353.74,-1.23,-0.35%,351.9,355.59,350.77,1576300,2022-08-17
HBAN,"Huntington Bcshs",14.33,-0.14,-0.97%,14.31,14.38,14.2,9275500,2022-08-17
HIG,"Hartford Financial Services Group",69.38,-0.31,-0.44%,68.96,69.64,68.91,1173400,2022-08-17
ICE,"Intercontinental Exchange",111.7,0.64,+0.58%,110.48,111.86,110.01,1877100,2022-08-17
IVZ,"Invesco Plc",18.63,-0.31,-1.64%,18.61,18.76,18.43,2739300,2022-08-17
JPM,"JP Morgan Chase & Company",122.59,-1.04,-0.84%,122.3,123.16,121.69,8149300,2022-08-17
KEY,Keycorp,19.44,-0.34,-1.72%,19.49,19.52,19.2,9904500,2022-08-17
L,"Loews Corp",58.47,-0.33,-0.56%,58.27,58.98,58.27,1022200,2022-08-17
LNC,"Lincoln National Corp",49.76,-1.37,-2.68%,50.28,50.49,49.29,2136600,2022-08-17
MCO,"Moody's Corp",321.56,-0.63,-0.20%,318.34,322.92,317.94,387200,2022-08-17
MET,"Metlife Inc",67.47,-0.19,-0.28%,66.89,67.85,66.8,3101700,2022-08-17
MKTX,"Marketaxess Holdings",274.25,-3.27,-1.18%,273.79,274.73,266.55,209100,2022-08-17
MMC,"Marsh & Mclennan Companies",172.83,-0.1,-0.06%,171.79,173.29,171.35,1241700,2022-08-17
MS,"Morgan Stanley",91.35,-0.47,-0.51%,90.39,91.83,90.35,5498900,2022-08-17
MSCI,"MSCI Inc",502.49,-1.13,-0.22%,497.8,504.9,493.36,295200,2022-08-17
MTB,"M&T Bank Corp",190.72,-0.69,-0.36%,188.74,191.18,187.99,888800,2022-08-17
NDAQ,"Nasdaq Inc",193.78,2.19,+1.14%,191.36,194.37,190.92,636000,2022-08-17
NTRS,"Northern Trust Corp",102.49,-1.29,-1.24%,102.55,103.08,102,1168900,2022-08-17
PFG,"Principal Financial Group Inc",78.72,-0.26,-0.33%,78.4,79.29,78.12,1689800,2022-08-17
PGR,"Progressive Corp",127.06,4.57,+3.73%,122.49,127.43,122.13,4100000,2022-08-17
PNC,"PNC Bank",173.34,-1.7,-0.97%,172.79,174.32,172.43,936300,2022-08-17
PRU,"Prudential Financial Inc",104.57,-0.61,-0.58%,103.98,105.04,103.69,1298400,2022-08-17
RE,"Everest Re Group",278.17,0.87,+0.31%,273.9,279.27,273.69,155400,2022-08-17
RF,"Regions Financial Corp",22.84,-0.33,-1.42%,22.82,22.95,22.63,6065300,2022-08-17
RJF,"Raymond James Financial",110.8,-0.03,-0.03%,109.45,111.32,109.38,835800,2022-08-17
SBNY,"Signature Bank",201.76,-5.36,-2.59%,203.63,204.85,200.25,438600,2022-08-17
SCHW,"The Charles Schwab Corp",75.46,-1.72,-2.23%,75.85,76.71,74.99,9084199,2022-08-17
SIVB,"Svb Financial Group",459.81,-16.64,-3.49%,466.37,467.86,455.8,482300,2022-08-17
SPGI,"S&P Global Inc",387.73,-1.04,-0.27%,383.76,390.57,382.91,1078100,2022-08-17
STT,"State Street Corp",73.96,-0.52,-0.70%,73.27,74.46,73.02,1117100,2022-08-17
SYF,"Synchrony Financial",35.2,-0.83,-2.30%,35.27,35.56,34.85,2819200,2022-08-17
TFC,"Truist Financial Corp",51.2,-0.81,-1.56%,51.32,51.65,51.01,4090100,2022-08-17
TROW,"T Rowe Price Group",130.38,-1.76,-1.33%,130.44,131.25,128.61,931100,2022-08-17
TRV,"The Travelers Companies Inc",173.96,0.44,+0.25%,172.69,174.6,172.69,1564600,2022-08-17
USB,"U.S. Bancorp",49.03,-0.27,-0.55%,48.7,49.38,48.62,5553200,2022-08-17
WFC,"Wells Fargo & Company",46.14,0.08,+0.17%,45.72,46.31,45.55,13151601,2022-08-17
WRB,"W.R. Berkley Corp",68.05,1.45,+2.18%,66.29,68.1,66.25,1348600,2022-08-17
WTW,"Willis Towers Watson Public Ltd CO",219.07,-0.39,-0.18%,217.68,220,216.95,358900,2022-08-17
ZION,"Zions Bancorp",58.67,-0.32,-0.54%,57.84,59.11,57.5,1374400,2022-08-17
"Downloaded from Barchart.com as of 08-17-2022 09:14pm CDT"
