Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",194.71,1.53,+0.79%,194.72,191.72,52696898,2023-12-12
ABNB,"Airbnb Inc Cl A",140.55,-2.36,-1.65%,141.06,137.58,6823100,2023-12-12
ADBE,"Adobe Systems Inc",633.66,8.46,+1.35%,633.89,623,2968800,2023-12-12
ADI,"Analog Devices",190.97,0.84,+0.44%,191.05,189.12,2841200,2023-12-12
ADP,"Automatic Data Procs",236.68,3.39,+1.45%,236.69,233.16,1905100,2023-12-12
ADSK,"Autodesk Inc",227.94,1.85,+0.82%,228.95,224.25,1369300,2023-12-12
AEP,"American Electric Power Company",80,-0.49,-0.61%,80.66,79.6,3096900,2023-12-12
ALGN,"Align Technology",217.47,-1.21,-0.55%,219.49,212.87,1242200,2023-12-12
AMAT,"Applied Materials",157.22,2.08,+1.34%,158.18,154.64,5705100,2023-12-12
AMD,"Adv Micro Devices",137.61,3.2,+2.38%,139.89,131.9,111677797,2023-12-12
AMGN,"Amgen Inc",273.99,1.85,+0.68%,277.25,273.26,2557000,2023-12-12
AMZN,"Amazon.com Inc",147.48,1.59,+1.09%,147.5,145.3,44944199,2023-12-12
ANSS,"Ansys Inc",296.36,6.23,+2.15%,296.57,288.93,442700,2023-12-12
ASML,"Asml Holdings NY Reg ADR",720.56,10.32,+1.45%,720.98,711.31,880100,2023-12-12
AVGO,"Broadcom Ltd",1072.28,43.04,+4.18%,1079.39,1024.58,9024100,2023-12-12
AZN,"Astrazeneca Plc ADR",63.98,0.48,+0.76%,64.52,63.65,4272200,2023-12-12
BIIB,"Biogen Inc",249.04,2.93,+1.19%,250.89,244.11,1228800,2023-12-12
BKNG,"Booking Holdings Inc",3402.5,55.79,+1.67%,3404.89,3348.55,242900,2023-12-12
BKR,"Baker Hughes Company",32.3,-0.21,-0.65%,32.36,31.83,5850000,2023-12-12
CDNS,"Cadence Design Sys",274.23,5.48,+2.04%,274.56,266.51,1515200,2023-12-12
CEG,"Constellation Energy Corp",114.49,-1.66,-1.43%,116.4,113.85,1846100,2023-12-12
CHTR,"Charter Communications Inc",367.06,-7.57,-2.02%,378.29,366.62,968800,2023-12-12
CMCSA,"Comcast Corp A",42.67,0.01,+0.02%,43.14,42.16,17533600,2023-12-12
COST,"Costco Wholesale",629.5,5.64,+0.90%,629.69,623.21,2374300,2023-12-12
CPRT,"Copart Inc",49.37,0.36,+0.73%,49.47,48.67,3966500,2023-12-12
CRWD,"Crowdstrike Holdings Inc",248.55,1.58,+0.64%,250.29,243.27,2977200,2023-12-12
CSCO,"Cisco Systems Inc",49.33,-0.06,-0.12%,49.59,49.1,18712199,2023-12-12
CSGP,"Costar Group Inc",84.88,0.87,+1.04%,84.93,83.29,1792600,2023-12-12
CSX,"CSX Corp",33.22,0.02,+0.06%,33.44,33.13,9729101,2023-12-12
CTAS,"Cintas Corp",564.52,4.92,+0.88%,564.61,556.71,336300,2023-12-12
CTSH,"Cognizant Tech Sol",72.05,0.37,+0.52%,72.27,71.51,2203000,2023-12-12
DDOG,"Datadog Inc Cl A",114.66,-0.07,-0.06%,115.5,112.59,1939400,2023-12-12
DLTR,"Dollar Tree Inc",126.95,0.28,+0.22%,127.18,125.56,1777700,2023-12-12
DXCM,"Dexcom Inc",119.16,1.26,+1.07%,120.11,116.81,2564400,2023-12-12
EA,"Electronic Arts Inc",140.33,1.77,+1.28%,140.38,139.03,1551900,2023-12-12
EBAY,"Ebay Inc",41.11,-0.65,-1.56%,41.79,40.91,5840000,2023-12-12
ENPH,"Enphase Energy Inc",99.82,-3.73,-3.60%,102.64,96.69,5668700,2023-12-12
EXC,"Exelon Corp",39.44,-0.08,-0.20%,39.66,39.18,5695600,2023-12-12
FANG,"Diamondback Energy",147.88,-1.66,-1.11%,148.93,146.82,2404800,2023-12-12
FAST,"Fastenal Company",63.88,0.53,+0.84%,63.93,63.37,3857600,2023-12-12
FTNT,"Fortinet Inc",55.04,1.4,+2.61%,55.64,53.4,7815400,2023-12-12
GEHC,"Ge Healthcare Technologies Inc",72.05,0.92,+1.29%,72.39,71.24,2407100,2023-12-12
GFS,"Globalfoundries Inc",56.31,0.96,+1.73%,56.49,55.11,1975800,2023-12-12
GILD,"Gilead Sciences Inc",80.82,0.73,+0.91%,81.18,80.06,6118300,2023-12-12
GOOG,"Alphabet Cl C",133.64,-1.06,-0.79%,134.54,132.83,26583900,2023-12-12
GOOGL,"Alphabet Cl A",132.52,-0.77,-0.58%,133,131.26,29032801,2023-12-12
HON,"Honeywell International Inc",201.51,1.12,+0.56%,202.3,200.86,3094000,2023-12-12
IDXX,"Idexx Laboratories",545.04,8.92,+1.66%,547.75,536.85,431000,2023-12-12
ILMN,"Illumina Inc",117.64,0,0.00%,118.25,112.53,2391400,2023-12-12
INTC,"Intel Corp",44.04,-0.5,-1.12%,44.44,43.63,31452102,2023-12-12
INTU,"Intuit Inc",594.18,7.52,+1.28%,594.87,583.54,1251900,2023-12-12
ISRG,"Intuitive Surg Inc",320.71,5.28,+1.67%,321.36,314.38,1371200,2023-12-12
JD,"Jd.com Inc ADR",25.18,-0.42,-1.64%,25.58,25.03,12059900,2023-12-12
KDP,"Keurig Dr Pepper Inc",32.67,-0.09,-0.27%,33.02,32.57,5925600,2023-12-12
KHC,"Kraft Heinz Company",37.26,0.48,+1.31%,37.45,36.77,9353800,2023-12-12
KLAC,"K L A-Tencor Corp",561.05,1.84,+0.33%,564.46,558.16,871800,2023-12-12
LCID,"Lucid Group Inc",4.22,-0.39,-8.46%,4.5,4.09,45313898,2023-12-12
LRCX,"Lam Research Corp",731.24,-4.35,-0.59%,738.8,727.11,1201900,2023-12-12
LULU,"Lululemon Athletica",503.65,0.91,+0.18%,504.4,495.68,1717100,2023-12-12
MAR,"Marriot Int Cl A",216.87,0.39,+0.18%,217.74,215.6,1546300,2023-12-12
MCHP,"Microchip Technology",89.23,0.32,+0.36%,89.68,88.01,3941500,2023-12-12
MDLZ,"Mondelez Intl Inc",72.27,0.52,+0.72%,72.38,71.57,5850100,2023-12-12
MELI,"Mercadolibre Inc",1616.92,2.22,+0.14%,1618.07,1590,311700,2023-12-12
META,"Meta Platforms Inc",334.22,8.94,+2.75%,334.47,324.56,18485400,2023-12-12
MNST,"Monster Beverage Cp",55.8,0.54,+0.98%,55.86,55.17,4122400,2023-12-12
MRNA,"Moderna Inc",78.04,-3.96,-4.83%,81.39,76.41,5207900,2023-12-12
MRVL,"Marvell Technology Inc",54.26,-0.22,-0.40%,54.32,53.5,7184300,2023-12-12
MSFT,"Microsoft Corp",374.38,3.08,+0.83%,374.42,370.46,24838201,2023-12-12
MU,"Micron Technology",78.16,0.37,+0.48%,78.26,77.1,10262000,2023-12-12
NFLX,"Netflix Inc",463,3.11,+0.68%,465.61,459.2,3302600,2023-12-12
NVDA,"Nvidia Corp",476.57,10.3,+2.21%,476.66,460.46,37238602,2023-12-12
NXPI,"Nxp Semiconductors",219.13,-1.42,-0.64%,221.71,218.76,1847300,2023-12-12
ODFL,"Old Dominion Freight Line Inc",382.24,3.36,+0.89%,384.67,378.01,1041200,2023-12-12
ON,"On Semiconductor",78.39,-1.01,-1.27%,78.9,77.57,6312900,2023-12-12
ORLY,"O'Reilly Automotive",972.79,7.27,+0.75%,973.22,967.08,281700,2023-12-12
PANW,"Palo Alto Networks Inc",305.58,5.7,+1.90%,307.88,299.41,4563400,2023-12-12
PAYX,"Paychex Inc",126.56,1.36,+1.09%,126.66,124.61,1406400,2023-12-12
PCAR,"Paccar Inc",97.63,-0.3,-0.31%,98.42,97.52,2122600,2023-12-12
PDD,"Pdd Holdings Inc",147.18,4.17,+2.92%,147.24,142.46,8315900,2023-12-12
PEP,"Pepsico Inc",168.47,0.65,+0.39%,169.28,167.71,4515800,2023-12-12
PYPL,"Paypal Holdings",58.89,-0.15,-0.25%,59.39,58.13,13845500,2023-12-12
QCOM,"Qualcomm Inc",136.68,0.58,+0.43%,137.23,135.5,7380300,2023-12-12
REGN,"Regeneron Pharmaceuticals",863.76,15.34,+1.81%,866.71,846.71,500500,2023-12-12
ROST,"Ross Stores Inc",135.45,0.16,+0.12%,135.86,134.64,1967300,2023-12-12
SBUX,"Starbucks Corp",98.15,0.03,+0.03%,98.6,97.43,6313800,2023-12-12
SGEN,"Seagen Inc",228.9,7.3,+3.29%,228.93,228.81,12255801,2023-12-12
SIRI,"Sirius XM Holdings",5.3,0.28,+5.58%,5.3,4.67,28507301,2023-12-12
SNPS,"Synopsys Inc",567.06,11.04,+1.99%,568.33,555.55,788700,2023-12-12
TEAM,"Atlassian Corp",202,3.41,+1.72%,202.03,195.19,1866500,2023-12-12
TMUS,"T-Mobile US",160.44,1.59,+1.00%,161.19,159.02,5049300,2023-12-12
TSLA,"Tesla Inc",237.01,-2.73,-1.14%,238.99,233.87,95328305,2023-12-12
TTD,"Trade Desk Inc",71.35,-0.28,-0.39%,71.81,70.15,3960700,2023-12-12
TXN,"Texas Instruments",157.92,-2.05,-1.28%,159.9,157.44,4714500,2023-12-12
VRSK,"Verisk Analytics Inc",243.28,3.17,+1.32%,243.49,240.21,696400,2023-12-12
VRTX,"Vertex Pharmaceutic",357.73,1.44,+0.40%,361.8,355.66,972300,2023-12-12
WBA,"Walgreens Boots Alliance",22.93,-0.07,-0.30%,23.67,22.59,18757000,2023-12-12
WBD,"Discovery Inc Series A",11.23,-0.2,-1.75%,11.48,11.15,16669400,2023-12-12
WDAY,"Workday Inc",276.75,0.64,+0.23%,278.09,274.71,2425100,2023-12-12
XEL,"XCEL Energy Inc",61.16,-0.39,-0.63%,61.81,60.95,3289900,2023-12-12
ZM,"Zoom Video Communications Cl A",71.28,-1.3,-1.79%,72.17,71.03,4712800,2023-12-12
ZS,"Zscaler Inc",210.76,5.29,+2.57%,211.59,205.1,2304500,2023-12-12
"Downloaded from Barchart.com as of 12-12-2023 08:46pm CST"
