Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAN,"Aarons Holdings Company",21.57,-0.47,-2.13%,22.43,21.5,166500,2022-04-20
AAON,"Aaon Inc",53.85,1.19,+2.26%,54.67,52.46,163000,2022-04-20
AAT,"American Assets Trust",36.79,0.41,+1.13%,37.25,36.7,306600,2022-04-20
AAWW,"Atlas Air Ww",69.66,-1.38,-1.94%,73,69.39,527000,2022-04-20
ABCB,"Ameris Bancorp",42.74,0.38,+0.90%,43.37,42.73,499000,2022-04-20
ABG,"Asbury Automotive Group Inc",161.71,-2.51,-1.53%,170,161.56,210300,2022-04-20
ABM,"ABM Industries Inc",52.78,2.13,+4.21%,53.1,50.98,789600,2022-04-20
ABTX,"Allegiance Banc CS",42.21,0.22,+0.52%,42.8,42.09,35000,2022-04-20
ACA,"Arcosa Inc",56.08,0.07,+0.12%,57.12,55.94,303300,2022-04-20
ACLS,"Axcelis Tech Inc",57.93,-0.25,-0.43%,60.5,57.71,380300,2022-04-20
ADC,"Agree Realty Corp",71.9,0.60000000000001,+0.84%,72.19,70.63,772647,"17:22 ET"
ADTN,"Adtran Inc",18.35,0.28,+1.55%,18.56,18.11,403500,2022-04-20
ADUS,"Addus Homecare Corp",92,1.65,+1.83%,92.58,89.99,44300,2022-04-20
AEIS,"Advanced Energy",80,2.05,+2.63%,81.13,79.41,200800,2022-04-20
AEL,"American Equity Investment Life",40.6,0.02,+0.05%,41.43,40.51,342600,2022-04-20
AGO,"Assured Guaranty Ltd",61.24,0.91,+1.51%,61.72,60.6,365500,2022-04-20
AGYS,"Agilysys Inc",37.33,-0.88,-2.30%,38.64,37.17,52600,2022-04-20
AHH,"Armada Hoffler Properties Inc",14.69,0.22,+1.52%,14.81,14.55,385300,2022-04-20
AIN,"Albany International Corp",84.53,-0.06,-0.07%,86.07,84.15,216900,2022-04-20
AIR,"AAR Corp",51.14,0.08,+0.16%,52,51.02,367200,2022-04-20
AIT,"Applied Industrial Technologies",103.07,3.23,+3.24%,104.12,100.54,301599,"17:16 ET"
AJRD,"Aerojet Rocketdyne Holdings",42,-0.28,-0.66%,42.56,41.8,990100,2022-04-20
AKR,"Acadia Realty Trust",21.75,0.24,+1.12%,21.96,21.68,356900,2022-04-20
ALEX,"Alexander and Baldwin Inc",23.06,0.3,+1.32%,23.3,22.97,255400,2022-04-20
ALG,"Alamo Group",139.11,1.93,+1.41%,140.39,138.17,53100,2022-04-20
