Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",14.74,-0.12,-0.81%,14.62,14.98,14.61,19477301,2022-08-05
ALK,"Alaska Air Group",46.55,-0.37,-0.79%,46.35,46.96,46.17,851300,2022-08-05
CAR,"Avis Budget Group",184.11,6.59,+3.71%,174.22,185.01,173.56,702700,2022-08-05
CHRW,"C.H. Robinson Ww",109.74,2.22,+2.06%,107.42,109.86,107.28,684600,2022-08-05
CSX,"CSX Corp",33.11,0.28,+0.85%,32.54,33.15,32.54,11473899,2022-08-05
DAL,"Delta Air Lines Inc",32.94,-0.39,-1.17%,32.9,33.4,32.78,7720600,2022-08-05
EXPD,"Expeditors Intl",103.53,-0.02,-0.02%,103.1,104.46,102.97,695100,2022-08-05
FDX,"Fedex Corp",234.89,-1.21,-0.51%,234.66,238.87,233.5,1507300,2022-08-05
JBHT,"J B Hunt Transport",183.6,2.41,+1.33%,179.35,183.75,179.35,331700,2022-08-05
JBLU,"Jetblue Airways Cp",8.68,0,0.00%,8.54,8.75,8.51,8171500,2022-08-05
KEX,"Kirby Corp",63.16,0.27,+0.43%,61.85,63.64,61.85,355500,2022-08-05
LSTR,"Landstar System",153.89,1.67,+1.10%,150.9,154.21,150.84,168900,2022-08-05
LUV,"Southwest Airlines Company",38.81,0.02,+0.05%,38.37,39,38.33,4600500,2022-08-05
MATX,"Matson Inc",82.99,1.36,+1.67%,80.66,83.35,80.61,230800,2022-08-05
NSC,"Norfolk Southern Corp",251.02,0.09,+0.04%,248.18,251.54,247.77,627500,2022-08-05
ODFL,"Old Dominion Freight Line Inc",303.17,4.09,+1.37%,294.73,303.34,294.28,651500,2022-08-05
R,"Ryder System",78.25,0.4,+0.51%,77.24,78.92,76.84,357000,2022-08-05
UAL,"United Airlines Holdings Inc",37.82,-0.81,-2.10%,38.01,38.79,37.76,6882900,2022-08-05
UNP,"Union Pacific Corp",228.62,1.27,+0.56%,226,229.04,226,1482200,2022-08-05
UPS,"United Parcel Service",196.76,2.24,+1.15%,193.45,196.91,193.45,1785900,2022-08-05
"Downloaded from Barchart.com as of 08-05-2022 06:34pm CDT"
