Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AEP,"American Electric Power Company",99.46,-0.49,-0.49%,99.94,100.17,98.67,2699200,2022-08-05
AES,"The Aes Corp",24.22,1.22,+5.30%,23.71,24.43,23.35,8553300,2022-08-05
ATO,"Atmos Energy Corp",113.89,-1.94,-1.67%,115.45,115.61,113.07,1105900,2022-08-05
AWK,"American Water Works",155.64,-3,-1.89%,158.34,158.54,153.98,773800,2022-08-05
D,"Dominion Resources",82.57,-0.32,-0.39%,82.76,83.07,81.52,2529700,2022-08-05
DUK,"Duke Energy Corp",109.16,-0.57,-0.52%,109.15,109.49,107.31,3033500,2022-08-05
ED,"Consolidated Edison Company",97.19,-0.24,-0.25%,97.35,97.68,95.42,1669100,2022-08-05
EIX,"Edison International",68.26,-0.69,-1.00%,68.85,69.16,68.1,2393400,2022-08-05
EXC,"Exelon Corp",44.77,-0.29,-0.64%,45,45.6,44.13,11593200,2022-08-05
FE,"Firstenergy Corp",38.37,-0.38,-0.98%,38.74,38.93,38.02,4194500,2022-08-05
NEE,"Nextera Energy",87.98,0,0.00%,87.88,88.49,86.94,8643200,2022-08-05
PEG,"Public Service Enterprise Group Inc",64.74,0.01,+0.02%,64.82,64.97,63.86,2499000,2022-08-05
SO,"Southern Company",77.27,-0.7,-0.90%,77.54,77.87,76.42,4136100,2022-08-05
SRE,Sempra,159.79,-1.65,-1.02%,161,161.13,157.73,1856900,2022-08-05
XEL,"XCEL Energy Inc",73.8,-0.76,-1.02%,74.54,74.65,73.14,3057200,2022-08-05
"Downloaded from Barchart.com as of 08-05-2022 06:35pm CDT"
