Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ATVI,"Activision Blizzard",79.46,-0.19,-0.24%,79.9,79.95,79.07,3561000,2022-07-26
CHTR,"Charter Communicatio",479.01,0.03,+0.01%,479.02,482.69,474.18,774000,2022-07-26
CMCSA,"Comcast Corp A",42.72,0.25,+0.59%,42.21,42.84,42.21,25380400,2022-07-26
DIS,"Walt Disney Company",99.78,-2.91,-2.83%,102.14,102.36,99.56,6346600,2022-07-26
DISH,"Dish Network Corp",18.02,-0.38,-2.07%,18.23,18.29,17.93,1762500,2022-07-26
EA,"Electronic Arts Inc",130.75,0.83,+0.64%,130.72,133.46,129.77,1571200,2022-07-26
FOX,"Fox Corp Cl B",31.57,-1.08,-3.31%,32.42,32.58,31.33,527000,2022-07-26
FOXA,"Fox Corp Cl A",34.1,-1.18,-3.34%,35,35.19,33.75,1983900,2022-07-26
GOOG,"Alphabet Cl C",105.44,-2.77,-2.56%,107.43,107.74,104.76,36626602,2022-07-26
GOOGL,"Alphabet Cl A",105.02,-2.49,-2.32%,106.6,107.2,104.07,47990902,2022-07-26
IPG,"Interpublic Group of Companies",28.71,-0.71,-2.41%,29.15,29.33,28.51,2843500,2022-07-26
LUMN,Centurylink,10.74,0.11,+1.03%,10.65,10.84,10.55,8821800,2022-07-26
LYV,"Live Nation Entertainment",89.78,-2.46,-2.67%,91.75,91.75,89.43,1556000,2022-07-26
META,"Meta Platforms Inc",159.15,-7.5,-4.50%,165.94,166,157.95,28468400,2022-07-26
MTCH,"Match Group Inc",68.45,-2.9,-4.06%,71.04,71.04,67.99,1769800,2022-07-26
NFLX,"Netflix Inc",213.91,-4.6,-2.11%,216.66,219.39,211.64,9508500,2022-07-26
NWS,"News Cp Cl B",16.92,-0.2,-1.17%,16.91,17.15,16.81,600100,2022-07-26
NWSA,"News Cp Cl A",16.7,-0.2,-1.18%,16.73,16.91,16.57,2340800,2022-07-26
OMC,"Omnicom Group Inc",67.77,-1.63,-2.35%,68.95,68.95,67.66,1162900,2022-07-26
PARA,"Paramount Global Cl B",24.14,-1.2,-4.74%,24.2,24.6,23.86,9745800,2022-07-26
T,"AT&T Inc",18.3,-0.23,-1.24%,18.4,18.44,18.18,38885000,2022-07-26
TMUS,"T-Mobile US",133.91,-0.65,-0.48%,133.69,134.69,131.75,5523500,2022-07-26
TTWO,"Take-Two Interactive",131.1,0.33,+0.25%,130.97,131.89,130.2,1564000,2022-07-26
TWTR,"Twitter Inc",39.34,0.1,+0.25%,39.08,39.53,38.89,12637199,2022-07-26
VZ,"Verizon Communications Inc",44.92,0.16,+0.36%,44.5,45.17,44.27,20571801,2022-07-26
WBD,"Discovery Inc Series A",14.43,-0.23,-1.57%,14.59,14.65,14.3,12215500,2022-07-26
"Downloaded from Barchart.com as of 07-26-2022 09:09pm CDT"
