Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",14.74,-0.12,-0.81%,14.62,14.98,14.61,19477301,2022-08-05
AAPL,"Apple Inc",165.35,-0.46,-0.28%,163.21,165.85,163,56645500,2022-08-05
AEP,"American Electric Power Company",99.46,-0.49,-0.49%,99.94,100.17,98.67,2699200,2022-08-05
AES,"The Aes Corp",24.22,1.22,+5.30%,23.71,24.43,23.35,8553300,2022-08-05
ALK,"Alaska Air Group",46.55,-0.37,-0.79%,46.35,46.96,46.17,851300,2022-08-05
AMGN,"Amgen Inc",246.25,-0.73,-0.30%,246.46,247.08,241.79,2723800,2022-08-05
ATO,"Atmos Energy Corp",113.89,-1.94,-1.67%,115.45,115.61,113.07,1105900,2022-08-05
AWK,"American Water Works",155.64,-3,-1.89%,158.34,158.54,153.98,773800,2022-08-05
AXP,"American Express Company",157.51,0.64,+0.41%,156.48,158.04,156,2513500,2022-08-05
BA,"Boeing Company",165.04,-1.46,-0.88%,164.4,167.07,163.93,4699300,2022-08-05
CAR,"Avis Budget Group",184.11,6.59,+3.71%,174.22,185.01,173.56,702700,2022-08-05
CAT,"Caterpillar Inc",185.39,1.75,+0.95%,183.58,186.1,183.23,1907200,2022-08-05
CHRW,"C.H. Robinson Ww",109.74,2.22,+2.06%,107.42,109.86,107.28,684600,2022-08-05
CRM,"Salesforce Inc",190.17,-1.1,-0.58%,187,191.8,186.28,4089200,2022-08-05
CSCO,"Cisco Systems Inc",45.01,-0.37,-0.82%,44.91,45.07,44.54,19533000,2022-08-05
CSX,"CSX Corp",33.11,0.28,+0.85%,32.54,33.15,32.54,11473899,2022-08-05
CVX,"Chevron Corp",153.64,2.5,+1.65%,149.64,155.01,149.02,7165800,2022-08-05
D,"Dominion Resources",82.57,-0.32,-0.39%,82.76,83.07,81.52,2529700,2022-08-05
DAL,"Delta Air Lines Inc",32.94,-0.39,-1.17%,32.9,33.4,32.78,7720600,2022-08-05
DIS,"Walt Disney Company",106.63,-1.49,-1.38%,106.81,107.7,105.37,10069500,2022-08-05
DOW,"Dow Inc",51.49,0.5,+0.98%,50.77,51.77,50.73,5953300,2022-08-05
DUK,"Duke Energy Corp",109.16,-0.57,-0.52%,109.15,109.49,107.31,3033500,2022-08-05
ED,"Consolidated Edison Company",97.19,-0.24,-0.25%,97.35,97.68,95.42,1669100,2022-08-05
EIX,"Edison International",68.26,-0.69,-1.00%,68.85,69.16,68.1,2393400,2022-08-05
EXC,"Exelon Corp",44.77,-0.29,-0.64%,45,45.6,44.13,11593200,2022-08-05
