Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",14.74,-0.12,-0.81%,14.62,14.98,14.61,19477301,2022-08-05
AAOI,"Applied Optoelect",1.86,-0.11,-5.58%,1.93,1.95,1.81,255300,2022-08-05
AAON,"Aaon Inc",61.64,-0.82,-1.31%,62.21,62.22,60.92,102400,2022-08-05
AAPL,"Apple Inc",165.35,-0.46,-0.28%,163.21,165.85,163,56645500,2022-08-05
AAWW,"Atlas Air Ww",99.65,-0.1,-0.10%,99.65,99.84,99.3,3756700,2022-08-05
ABCB,"Ameris Bancorp",47.27,0.37,+0.79%,46.82,47.6,43.9,255000,2022-08-05
ABCL,"Abcellera Biologics Inc",11.32,-0.01,-0.09%,11.12,11.65,10.87,1661000,2022-08-05
ABMD,"Abiomed Inc",291.5,-0.74,-0.25%,287.69,293,284.85,237300,2022-08-05
ABNB,"Airbnb Inc Cl A",117.11,-2.11,-1.77%,115.52,118.87,114.82,6490600,2022-08-05
ACAD,"Acadia Pharmaceutica",16.44,0.82,+5.25%,15.21,16.97,14.95,4044700,2022-08-05
ACAH,"Atlantic Coastal Acquisition Corp Cl A",9.82,-0.02,-0.20%,9.84,9.84,9.82,13700,2022-08-03
ACGL,"Arch Capital Grp Ltd",43.81,0.26,+0.60%,43.54,44.06,43.45,1236500,2022-08-05
ACHC,"Acadia Healthcr Company",81.37,0.61,+0.76%,80.31,81.43,79.73,454000,2022-08-05
ACIW,"Aci Worldwide Inc",26.15,-1.04,-3.82%,26.97,26.97,25.77,796900,2022-08-05
ACLS,"Axcelis Tech Inc",78.18,-0.39,-0.50%,77.12,79.83,76.42,483300,2022-08-05
ACLX,"Arcellx Inc",19.81,0.26,+1.33%,19.32,20.07,19.15,503300,2022-08-05
ACT,"Enact Holdings Inc",26.21,0.69,+2.70%,25.29,26.44,25.29,257300,2022-08-05
ACVA,"Acv Auctions Inc Cl A",7.64,-0.02,-0.26%,7.48,7.74,7.32,842800,2022-08-05
ADBE,"Adobe Systems Inc",433.43,2.84,+0.66%,423,434.54,421,2481000,2022-08-05
ADI,"Analog Devices",177.25,0.29,+0.16%,174.75,177.52,174.1,2495200,2022-08-05
ADP,"Automatic Data Procs",247.2,3.21,+1.32%,241.08,247.44,241.08,1168700,2022-08-05
ADPT,"Adaptive Biotechnologies Corp",11.45,0.09,+0.79%,10.99,11.67,10.65,1580700,2022-08-05
ADSK,"Autodesk Inc",221.7,-0.24,-0.11%,216.46,223.12,216.14,1113300,2022-08-05
ADUS,"Addus Homecare Corp",93.36,0.67,+0.72%,92.53,93.37,91.58,63300,2022-08-05
ADV,"Advantage Solutions Inc",4.19,-0.03,-0.71%,4.17,4.25,4.05,212900,2022-08-05
AEIS,"Advanced Energy",94.25,0.14,+0.15%,94.49,94.67,90.66,290000,2022-08-05
AEP,"American Electric Power Company",99.46,-0.49,-0.49%,99.94,100.17,98.67,2699200,2022-08-05
AFRM,"Affirm Holdings Inc Cl A",33.4,0.85,+2.61%,30.6,33.72,30.14,15166300,2022-08-05
AGIO,"Agios Pharmaceuticals",29.74,1.13,+3.95%,27.82,30.05,27.09,1056400,2022-08-05
AGNC,"Agnc Investment Corp",12.25,-0.06,-0.49%,12.24,12.34,12.17,7608600,2022-08-05
AGTC,"Applied Genetic Tech",0.3841,-0.0074,-1.89%,0.39,0.4109,0.3815,1442200,2022-08-05
AHCO,"Adapthealth Corp Cl. A",25.5,0.14,+0.55%,24.99,25.79,24.53,2332200,2022-08-05
AIMC,"Altra Indtl Mtn",40.83,-0.31,-0.75%,40.5,41.04,40.19,194100,2022-08-05
AKAM,"Akamai Technologies",96.28,0.07,+0.07%,95.06,96.34,94.64,840100,2022-08-05
ALEC,"Alector Inc",13.06,1.73,+15.27%,11.22,13.17,10.99,818400,2022-08-05
ALGM,"Allegro Microsystems Inc",26.4,-0.35,-1.31%,26.47,26.72,26.02,367700,2022-08-05
ALGN,"Align Technology",293.89,0.16,+0.05%,286.82,294.2,283.28,708200,2022-08-05
ALGT,"Allegiant Travel Com",110.25,-4.57,-3.98%,113.51,114.64,110.18,229800,2022-08-05
ALHC,"Alignment Healthcare Inc",17.91,1.13,+6.73%,17.98,19.17,16.96,2064800,2022-08-05
ALKS,"Alkermes Plc",25.77,-0.13,-0.50%,25.7,25.92,25.24,1799800,2022-08-05
ALLO,"Allogene Therapeutics Inc",15.46,0.74,+5.03%,14.46,15.5,14.15,1587900,2022-08-05
ALNY,"Alnylam Pharmaceuticals",218.58,-5.47,-2.44%,224.01,226,213.48,1356600,2022-08-05
ALRM,Alarm.com,72.7,-0.17,-0.23%,71.89,73.18,71.72,125400,2022-08-05
ALRN,"Aileron Therapeutics Inc",0.172,0.0145,+9.21%,0.1619,0.18,0.1471,8675000,2022-08-05
ALTR,"Altair Engineering Inc Cl A",57.89,-2.99,-4.91%,59.08,59.08,55.56,672700,2022-08-05
AMAT,"Applied Materials",109.62,-1.44,-1.30%,109.06,111.22,107.44,4782900,2022-08-05
AMBA,"Ambarella Inc",89.04,-0.47,-0.53%,87.51,91.09,86.97,244200,2022-08-05
AMD,"Adv Micro Devices",102.31,-1.6,-1.54%,101.05,103.86,100.98,93816891,2022-08-05
AMED,"Amedisys Inc",121.17,-0.53,-0.44%,120.51,122.17,118.46,200000,2022-08-05
AMEH,"Apollo Medical Holdings Inc",54.4,-1.22,-2.19%,56.47,56.47,52.25,331300,2022-08-05
AMGN,"Amgen Inc",246.25,-0.73,-0.30%,246.46,247.08,241.79,2723800,2022-08-05
AMKR,"Amkor Technology",22.65,-0.38,-1.65%,22.5,22.98,22.17,754600,2022-08-05
AMLX,"Amylyx Pharmaceuticals Inc",24.92,-0.8,-3.11%,25.42,26.14,23.45,712700,2022-08-05
AMPH,"Amphastar Pharma",36.76,-0.2,-0.54%,36.61,36.98,35.48,336300,2022-08-05
AMST,"Amesite Inc",0.5386,0.0186,+3.58%,0.5299,0.5386,0.5008,51800,2022-08-05
AMZN,"Amazon.com Inc",140.8,-1.77,-1.24%,140.1,142.86,139.6,50649297,2022-08-05
ANDE,"Andersons Inc",37.95,-0.21,-0.55%,38,38.83,37.59,279200,2022-08-05
ANSS,"Ansys Inc",285.48,-7.15,-2.44%,286.68,292.41,283.27,473900,2022-08-05
APA,"Apa Corp",31.75,1.07,+3.49%,30.29,32.66,30.15,8244700,2022-08-05
APLS,"Apellis Pharmaceuticals Inc",63.33,2,+3.26%,60.9,63.5,59.44,780300,2022-08-05
APM,"Aptorum Group Ltd Cl A",1.54,-0.01,-0.65%,1.55,1.62,1.46,112100,2022-08-05
APP,"Applovin Corp Cl A",36.46,0.46,+1.28%,35.15,37.1,34.74,2627400,2022-08-05
APPF,"Appfolio Cl A",108.41,1.41,+1.32%,105.86,109,104.88,73400,2022-08-05
APPN,"Appian Corp Cl A",54.46,-0.96,-1.73%,52.65,56.9,52.26,387700,2022-08-05
APPS,"Digital Turbine",22.88,-0.27,-1.17%,22.35,23.41,21.75,2853900,2022-08-05
ARCB,"Arcbest Corp",88.28,1.73,+2.00%,85.75,88.51,85.31,162700,2022-08-05
ARGX,"Argenx Se ADR",367.85,-1.28,-0.35%,367.31,369.94,363.59,192000,2022-08-05
ARLP,"Alliance Resource Pt",22.19,-0.15,-0.67%,22.06,22.9,21.85,276900,2022-08-05
ARQQ,"Arqit Quantum Inc",5.53,0.43,+8.43%,5.15,5.56,5.11,192600,2022-08-05
ARQT,"Arcutis Biotherapeutics Inc",25.15,0.54,+2.19%,24.35,25.58,23.77,1215900,2022-08-05
ARRY,"Array Technologies Inc",17.66,0.39,+2.26%,18.04,19.12,17.59,6440400,2022-08-05
ARVL,Arrival,1.66,-0.07,-4.05%,1.66,1.73,1.61,4819400,2022-08-05
ARVN,"Arvinas Inc",55.43,4.02,+7.82%,50.27,55.56,49,554500,2022-08-05
ARWR,"Arrowhead Pharma",45.96,-0.17,-0.37%,44.41,46.4,43.61,1230500,2022-08-05
ASML,"Asml Holdings NY Reg ADR",577.31,-11.15,-1.89%,571.63,579.58,565.98,767900,2022-08-05
ASND,"Ascendis Pharma ADR",94.91,3.36,+3.67%,90.07,95.29,88.9,1148300,2022-08-05
ASO,"Academy Sports and Outdoors Inc",43.06,0.06,+0.14%,42.53,43.06,42.03,1085400,2022-08-05
