start,name,minHR1,minhr2,minCh,minHighLast,maxHR1,maxHR2,maxCh,maxHighLast,Back1,Rank1,Back2,Rank2,codes
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
11,Strategy1,125,113,95,105,200,200,200,200,20,1,10,1,$every
12,Strategy2,118,113,90,108,200,200,200,200,20,1,10,1,$every
13,Strategy3,100,113,95,106,200,200,200,200,20,1,10,1,$every
14,Strategy4,100,113,100,104,200,200,200,200,20,1,10,1,$every
15,Visa,112,108,90,90,200,200,200,200,20,1,4,1,$visa$MA$AAPL$MSFT
16,SigB,121,122,123,124,201,202,203,204,20,1,10,1,sbny$paypl$ma
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
51,FirstReal,107,101,96,105,200,200,200,200,20,1,10,1,dvn$fang
52,3rd,114,107,95,105,200,200,200,200,20,1,10,1,AMAT$
53,ENERGY,108,102,96,102,200,200,200,200,20,1,10,1,AEP$DTE$DUK$DVN$ETR$MRO$NEE$NRG$VLO$XEL$XOM
54,Tech1,123,108,96,103,136,122,200,200,20,1,10,1,C$AAPL$CSCO$DXC$DXCM$EA$EBAY$GOOG$GOOGL$MCHP$MS$MSFT$MSI$MU$NDAQ$ORCL$PAYC$PAYX$PSX$TECH$TWTR$TXN$TXT$
55,Tech2,123,108,96,103,136,122,200,200,20,1,10,1,AAPL$csco$dxc$$DXCM$EA$EBAY$GOOG$GOOGL$MCHP$MS$MSFT$MSI$MU$NDAQ$ORCL$PAYC$PAYX$PSX$TECH$TWTR$TXN$TXT$
56,Tech3,123,108,96,103,136,122,200,200,20,1,10,1,$aapl$csco$dxc$dxm$ea$ebay$goog$googl$mchip$ms$msft$msi$mu$ndaq$orcl$payc$payx$psx$tech$twtr$txn$txt$
57,Fin1b,122,117,96,100,130,130,131,132,20,1,10,1,$axp$bac$kb$fdx$gpn$ma$met$mtb$nws$nwsa$pm$pnc$pnw$pypl$sbny$sivb$usb$zion$
58,Fin1b,122,117,96,100,133,130,135,136,20,1,10,1,$axp$bac$kb$fdx$gpn$ma$met$mtb$nws$nwsa$pm$pnc$pnw$pypl$sbny$sivb$usb$zion$
59,Macdonal,112,102,96,102,200,200,200,200,20,1,4,1,$mcd$hes$pxd$oxy$wmb$cf
60,RalpaLauren,115,100,96,100,200,200,200,200,20,1,4,1,$rl$mro$dvn$apa$hal$slb$vlo$
61,MRO,115,100,96,100,200,200,200,200,20,1,4,1,$mro$dvn$apa$hal$slb$vlo
skipthis,,,,,,,,,,,,,,
skipthis," { 20-H, Change,HighLast }+10-H=113    ->   { 125,95,105  }  {118, 90,108 }    { 100, 95,106  }   { 100,100,104  }",,,,,,,,,,,,,
skipthis,,,,"AEP,DTE,DUK,DVN,ETR,MRO,NEE,NRG,VLO,XEL,XOM,",,,,,,,,,,
skipthis,,,,"AAPL,CSCO,DXC,DXCM,EA,EBAY,GOOG,GOOGL,MCHP,MS,MSFT,MSI,MU,NDAQ,ORCL,PAYC,PAYX,PSX,TECH,TWTR,TXN,TXT,",,,,,,,,,,
skipthis,,,,,,,,,,,,,,"AXP,BAC,BK,FDX,GPN,MA,MET,MTB,NWS,NWSA,PM,PNC,PNW,PYPL,SBNY,SIVB,USB,ZION,"
skipthis,,,,,,,,,,,,,,"MCD,hes,pxd,oxy,wmb,cf"
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
