>,,,,
>,,,,>dt= 26July2022
>,,,,
>,,,,
>,,,,
>,,,,
>,,,,
>,,,,
>,,,,
Symbol,Company,#,,
UNH,UnitedHealth Group Incorporated,1,,
GS,Goldman Sachs Group Inc.,2,,
HD,Home Depot Inc.,3,,
MSFT,Microsoft Corporation,4,,
MCD,McDonald's Corporation,5,,
AMGN,Amgen Inc.,6,,
V,Visa Inc. Class A,7,,
CRM,Salesforce Inc.,8,,
HON,Honeywell International Inc.,9,,
CAT,Caterpillar Inc.,10,,
JNJ,Johnson & Johnson,11,,
BA,Boeing Company,12,,
TRV,Travelers Companies Inc.,13,,
AAPL,Apple Inc.,14,,
AXP,American Express Company,15,,
CVX,Chevron Corporation,16,,
PG,Procter & Gamble Company,17,,
MMM,3M Company,18,,
WMT,Walmart Inc.,19,,
IBM,International Business Machines Corporation,20,,
JPM,JPMorgan Chase & Co.,21,,
NKE,NIKE Inc. Class B,22,,
DIS,Walt Disney Company,23,,
MRK,Merck & Co. Inc.,24,,
KO,Coca-Cola Company,25,,
DOW,Dow Inc.,26,,
CSCO,Cisco Systems Inc.,27,,
VZ,Verizon Communications Inc.,28,,
INTC,Intel Corporation,29,,
WBA,Walgreens Boots Alliance Inc,30,,
