Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAPL,"Apple Inc",139.23,1.79,+1.30%,140.67,136.67,66176898,2022-06-29
ABBV,"Abbvie Inc",154.14,1.65,+1.08%,156.62,153.35,6125900,2022-06-29
ABT,"Abbott Laboratories",109.1,2.13,+1.99%,109.67,106.74,4543000,2022-06-29
ACN,"Accenture Plc",279.81,-3.99,-1.41%,281.15,275.25,2401100,2022-06-29
ADBE,"Adobe Systems Inc",368.5,2.87,+0.78%,370.37,362.64,2021700,2022-06-29
AIG,"American International Group",50.8,-1.01,-1.95%,52.24,50.73,4802100,2022-06-29
AMGN,"Amgen Inc",245.43,1.92,+0.79%,247.1,243.72,2608700,2022-06-29
AMT,"American Tower Corp",253.16,0.23,+0.09%,253.93,247.15,1859600,2022-06-29
AMZN,"Amazon.com Inc",108.92,1.52,+1.42%,110.99,106.91,66292797,2022-06-29
AVGO,"Broadcom Ltd",490.41,-8.04,-1.61%,495.93,486.67,1440900,2022-06-29
AXP,"American Express Company",139.47,-2.72,-1.91%,141.68,138.45,4160900,2022-06-29
BA,"Boeing Company",138.45,-0.25,-0.18%,138.92,134.84,7481200,2022-06-29
BAC,"Bank of America Corp",31.86,-0.4,-1.24%,32.44,31.66,35120102,2022-06-29
BK,"Bank of New York Mellon Corp",42.41,-0.45,-1.05%,43.04,42.21,4319900,2022-06-29
BKNG,"Booking Holdings Inc",1810.33,-28.09,-1.53%,1833.85,1760,422600,2022-06-29
BLK,"Blackrock Inc",617.96,-11.16,-1.77%,629.71,613.79,533800,2022-06-29
BMY,"Bristol-Myers Squibb Company",78.28,-0.42,-0.53%,79.17,77.99,8711000,2022-06-29
BRK.B,"Berkshire Hathaway Cl B",273.49,-0.37,-0.14%,275.94,272.97,2995900,2022-06-29
C,"Citigroup Inc",47.1,-0.11,-0.23%,47.8,46.63,20973100,2022-06-29
CAT,"Caterpillar Inc",183.48,-3.96,-2.11%,187.57,182.13,2432600,2022-06-29
CHTR,"Charter Communicatio",463.84,6.81,+1.49%,464.67,454.09,818700,2022-06-29
CL,"Colgate-Palmolive Company",79.67,0.79,+1.00%,79.99,78.98,2154300,2022-06-29
CMCSA,"Comcast Corp A",39.33,0.2,+0.51%,39.41,38.76,16979600,2022-06-29
COF,"Capital One Financial Corp",105.61,-2.91,-2.68%,108.01,105.35,2436600,2022-06-29
COP,Conocophillips,91.46,-3.76,-3.95%,97.45,91.28,7973100,2022-06-29
COST,"Costco Wholesale",469.84,1.23,+0.26%,472.97,466.42,1271500,2022-06-29
CRM,"Salesforce Inc",170.61,-0.85,-0.50%,173.78,168.06,5422600,2022-06-29
CSCO,"Cisco Systems Inc",42.88,-0.18,-0.42%,43.26,42.69,13438101,2022-06-29
CVS,"CVS Corp",93.35,0.15,+0.16%,94.25,93.11,3550800,2022-06-29
CVX,"Chevron Corp",146.98,-2.96,-1.97%,152.11,146.09,9079801,2022-06-29
DD,"Dupont Denemours Inc",56.33,-1,-1.74%,57.22,55.56,2483000,2022-06-29
DHR,"Danaher Corp",252.86,0.98,+0.39%,254.07,249.1,1499000,2022-06-29
DIS,"Walt Disney Company",95.65,-0.27,-0.28%,96.2,94.53,8648500,2022-06-29
DOW,"Dow Inc",51.98,-0.55,-1.05%,53.01,51.28,4385700,2022-06-29
DUK,"Duke Energy Corp",106.01,0.31,+0.29%,106.32,105.31,1767200,2022-06-29
EMR,"Emerson Electric Company",80.51,-1.01,-1.24%,81.64,79.84,2032500,2022-06-29
EXC,"Exelon Corp",44.34,0.46,+1.05%,44.47,43.93,4823500,2022-06-29
F,"Ford Motor Company",11.52,-0.29,-2.46%,11.76,11.38,39398102,2022-06-29
FDX,"Fedex Corp",233.81,-6.28,-2.62%,242,226.7,3733700,2022-06-29
GD,"General Dynamics Corp",219.28,-1.21,-0.55%,221.99,218.96,1233500,2022-06-29
GE,"General Electric Company",63.69,-2.19,-3.32%,66,63.28,6896100,2022-06-29
GILD,"Gilead Sciences Inc",62.48,0.27,+0.43%,62.97,61.92,5789700,2022-06-29
GM,"General Motors Company",33.45,-0.54,-1.59%,33.87,32.66,11410801,2022-06-29
GOOG,"Alphabet Cl C",2245.13,-6.3,-0.28%,2273.29,2231.08,927400,2022-06-29
GOOGL,"Alphabet Cl A",2234.03,-6.12,-0.27%,2263.21,2217.45,1232000,2022-06-29
GS,"Goldman Sachs Group",303.28,3.79,+1.27%,307.44,299.91,2472500,2022-06-29
HD,"Home Depot",273.87,3.72,+1.38%,276.16,268.8,2450700,2022-06-29
HON,"Honeywell International Inc",173.2,-2.75,-1.56%,176.48,171.41,2423700,2022-06-29
IBM,"International Business Machines",140.71,-1.15,-0.81%,143.52,139.5,4153300,2022-06-29
INTC,"Intel Corp",37.29,-0.49,-1.30%,37.6,37.02,25415900,2022-06-29
JNJ,"Johnson & Johnson",176.99,0.05,+0.03%,178.3,176.43,7074100,2022-06-29
JPM,"JP Morgan Chase & Company",115.3,-0.52,-0.45%,116.82,114.73,9312601,2022-06-29
KHC,"Kraft Heinz Company",37.98,0.25,+0.66%,38.37,37.68,7494900,2022-06-29
KO,"Coca-Cola Company",62.73,0.45,+0.72%,63.11,62.43,11764899,2022-06-29
LIN,"Linde Plc",291.41,-1.99,-0.68%,292.34,288.64,1951200,2022-06-29
LLY,"Eli Lilly and Company",323,5.38,+1.69%,324.7,317.65,2561700,2022-06-29
LMT,"Lockheed Martin Corp",418.89,-1.82,-0.43%,424.41,416.43,733800,2022-06-29
LOW,"Lowe's Companies",176.1,1.38,+0.79%,177.39,174.16,2802500,2022-06-29
MA,"Mastercard Inc",322.59,4.3,+1.35%,326.11,318.41,3773000,2022-06-29
MCD,"McDonald's Corp",247.74,4.91,+2.02%,248.87,245.1,2991400,2022-06-29
MDLZ,"Mondelez Intl Inc",62.05,0.33,+0.53%,62.36,61.49,5047600,2022-06-29
MDT,"Medtronic Inc",90.42,1.22,+1.37%,90.55,89.07,4063000,2022-06-29
MET,"Metlife Inc",62.93,-0.81,-1.27%,63.95,62.71,2297500,2022-06-29
META,"Meta Platforms Inc",163.94,3.26,+2.03%,166.33,160.32,28551701,2022-06-29
MMM,"3M Company",129.77,-0.56,-0.43%,130.34,128.81,2815500,2022-06-29
MO,"Altria Group",41.76,-1.43,-3.31%,42.74,41.42,12359900,2022-06-29
MRK,"Merck & Company",92.51,0.62,+0.67%,92.98,91.89,8638300,2022-06-29
MS,"Morgan Stanley",78.19,0.03,+0.04%,79.29,77.51,8526700,2022-06-29
MSFT,"Microsoft Corp",260.26,3.78,+1.47%,261.97,255.76,20042201,2022-06-29
NEE,"Nextera Energy",76,-0.44,-0.58%,76.54,75.26,7067500,2022-06-29
NFLX,"Netflix Inc",178.36,-1.24,-0.69%,180.66,175.1,5759600,2022-06-29
NKE,"Nike Inc",103.25,0.47,+0.46%,105.61,101.53,10308300,2022-06-29
NVDA,"Nvidia Corp",155.42,-4.4,-2.75%,158.2,151.7,48154996,2022-06-29
ORCL,"Oracle Corp",69.21,0.63,+0.92%,70.09,68.78,8072100,2022-06-29
PEP,"Pepsico Inc",166.73,2.72,+1.66%,167.56,165.35,3642900,2022-06-29
PFE,"Pfizer Inc",50.94,0.28,+0.55%,51.44,50.66,13909800,2022-06-29
PG,"Procter & Gamble Company",142.2,1.28,+0.91%,142.86,141.15,5152500,2022-06-29
PM,"Philip Morris International Inc",100.87,-1.57,-1.53%,102.68,100.61,2792900,2022-06-29
PYPL,"Paypal Holdings",71.47,-0.35,-0.49%,72.15,69.77,11332199,2022-06-29
QCOM,"Qualcomm Inc",130.23,-1.37,-1.04%,131.57,126.89,9963200,2022-06-29
