start,name,minHR1,minhr2,minCh,minHighLast,maxHR1,maxHR2,maxCh,maxHighLast,Back1,Rank1,Back2,Rank2,codes
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
1,Strategy1,125,113,95,105,200,200,200,200,20,1,10,1,$every
2,Strategy2,118,113,90,108,200,200,200,200,20,1,10,1,$every
3,Strategy3,100,113,95,106,200,200,200,200,20,1,10,1,$every
4,Strategy4,100,113,100,104,200,200,200,200,20,1,10,1,$every
5,Visa,112,108,90,90,200,200,200,200,20,1,4,1,$visa$MA$AAPL$MSFT
6,SigB,121,122,123,124,201,202,203,204,20,1,10,1,sbny$paypl$ma
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
11,FirstReal,107,101,96,105,200,200,200,200,20,1,10,1,dvn$fang
12,3rd,114,107,95,105,200,200,200,200,20,1,10,1,AMAT$
13,ENERGY,108,102,96,102,200,200,200,200,20,1,10,1,AEP$DTE$DUK$DVN$ETR$MRO$NEE$NRG$VLO$XEL$XOM
14,Tech1,123,108,96,103,136,122,200,200,20,1,10,1,C$AAPL$CSCO$DXC$DXCM$EA$EBAY$GOOG$GOOGL$MCHP$MS$MSFT$MSI$MU$NDAQ$ORCL$PAYC$PAYX$PSX$TECH$TWTR$TXN$TXT$
15,Tech2,123,108,96,103,136,122,200,200,20,1,10,1,AAPL$csco$dxc$$DXCM$EA$EBAY$GOOG$GOOGL$MCHP$MS$MSFT$MSI$MU$NDAQ$ORCL$PAYC$PAYX$PSX$TECH$TWTR$TXN$TXT$
16,Tech3,123,108,96,103,136,122,200,200,20,1,10,1,$aapl$csco$dxc$dxm$ea$ebay$goog$googl$mchip$ms$msft$msi$mu$ndaq$orcl$payc$payx$psx$tech$twtr$txn$txt$
17,Fin1b,122,117,96,100,130,130,131,132,20,1,10,1,$axp$bac$kb$fdx$gpn$ma$met$mtb$nws$nwsa$pm$pnc$pnw$pypl$sbny$sivb$usb$zion$
18,Fin1b,122,117,96,100,133,130,135,136,20,1,10,1,$axp$bac$kb$fdx$gpn$ma$met$mtb$nws$nwsa$pm$pnc$pnw$pypl$sbny$sivb$usb$zion$
19,Macdonal,112,102,96,102,200,200,200,200,20,1,4,1,$mcd$hes$pxd$oxy$wmb$cf
20,RalpaLauren,115,100,96,100,200,200,200,200,20,1,4,1,$rl$mro$dvn$apa$hal$slb$vlo$
21,MRO,115,100,96,100,200,200,200,200,20,1,4,1,$mro$dvn$apa$hal$slb$vlo
22,Friday,117,100,96,100,200,200,200,200,20,1,10,1,$AAPL$CSCO$EA$EBAY$GOOG$GOOGL$MCHP$MS$MSFT$MSI$MU$NDAQ$ORCL$PAYC$PAYX$TECH$TXN$TXT$IBM$M$AXP$V
23,AAPL,108,100,98,101,200,200,200,200,10,1,4,1,$AAPL$MSFT$TXN$ORCL$MA$V$AXP$GOOG$GOOGL$HPQ$HPE$SBNY$PYPL$PAYC
,,,,,,,,,,,,,,
>,,,,,,,,,,,,,,
>,,,,,,,,,,,,,,
111,Image11,105,105,101,102,200,200,200,200,2,1,1,1,$every
112,Image12,1,116,100,104,200,200,200,200,3,301,10,1,$every
113,Image13,122,106,100,103,141,200,200,200,25,1,10,1,$USE100List
114,Image14,112,100,98,103,200,200,200,200,16,1,3,1,$every
115,Image15,132,112,98,101,200,200,200,200,20,1,5,1,$every
116,Image16,106,100,98,101,200,200,200,200,14,14,6,100,$every
117,Image17,107,100,98,102,200,200,200,200,3,1,6,100,$every
118,Image18,104,100,100,101,200,200,200,200,2,2,2,1,$every
119,Image19,108,100,96,101,200,200,200,200,10,1,2,1,$TXN$AAPL$MSFT$V$MA$AXP$GOOG$GOOGL$ORCL$SBNY$PYPL$PAYC$MET
120,Image20,125,103,96,101,200,200,200,200,10,1,2,1,$every
121,Image21-SP600,107,108,100,100,200,200,200,200,2,1,10,1,$every
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
skipthis,name,minHR1,minhr2,minCh,minHighLast,maxHR1,maxHR2,maxCh,maxHighLast,Back1,Rank1,Back2,Rank2,codes
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
skipthis," { 20-H, Change,HighLast }+10-H=113    ->   { 125,95,105  }  {118, 90,108 }    { 100, 95,106  }   { 100,100,104  }",,,,,,,,,,,,,
skipthis,,,,"AEP,DTE,DUK,DVN,ETR,MRO,NEE,NRG,VLO,XEL,XOM,",,,,,,,,,,
skipthis,,,,"AAPL,CSCO,DXC,DXCM,EA,EBAY,GOOG,GOOGL,MCHP,MS,MSFT,MSI,MU,NDAQ,ORCL,PAYC,PAYX,PSX,TECH,TWTR,TXN,TXT,",,,,,,,,,,
skipthis,,,,,,,,,,,,,,"AXP,BAC,BK,FDX,GPN,MA,MET,MTB,NWS,NWSA,PM,PNC,PNW,PYPL,SBNY,SIVB,USB,ZION,"
skipthis,,,,,,,,,,,,,,"MCD,hes,pxd,oxy,wmb,cf"
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
skipthis,,,,,,,,,,,,,,
