Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAPL,"Apple Inc",152.95,-1.14,-0.74%,154.01,155.04,152.28,53623898,2022-07-25
ACN,"Accenture Plc",289.29,1.28,+0.44%,288.24,289.56,285.45,1354700,2022-07-25
ADBE,"Adobe Systems Inc",391.96,-9.94,-2.47%,400.11,400.77,388.57,2340400,2022-07-25
ADI,"Analog Devices",163.04,-0.23,-0.14%,162.95,163.15,160.27,3085800,2022-07-25
ADP,"Automatic Data Procs",218.38,-1.96,-0.89%,221,221.21,216.85,872800,2022-07-25
ADSK,"Autodesk Inc",195.71,-0.24,-0.12%,194.76,196.06,192.54,1444900,2022-07-25
AKAM,"Akamai Technologies",92.69,-1.44,-1.53%,93.87,94.12,92.19,1136100,2022-07-25
AMAT,"Applied Materials",101,-0.67,-0.66%,100.51,101.27,99.46,4367000,2022-07-25
AMD,"Adv Micro Devices",87.54,-0.56,-0.64%,86.57,87.6,85.12,70083000,2022-07-25
ANET,"Arista Networks Inc",103.46,1.08,+1.05%,102.41,104.125,101.86,1937000,2022-07-25
ANSS,"Ansys Inc",257.92,-2.25,-0.86%,258.33,259.37,255.2,319600,2022-07-25
APH,"Amphenol Corp",69.59,-0.22999999999999,-0.33%,69.94,69.98,68.98,1428200,2022-07-25
AVGO,"Broadcom Ltd",513.11,0.59,+0.12%,510.46,513.32,506.53,1506000,2022-07-25
BR,"Broadridge Financial Solutions Llc",154.95,-1.24,-0.79%,156.64,156.64,154.09,375400,2022-07-25
CDAY,"Ceridian Hcm Holding Inc",53.37,-0.83000000000001,-1.53%,54,54,52.38,1213100,2022-07-25
CDNS,"Cadence Design Sys",167.66,-0.05,-0.03%,167.72,167.96,165.19,1338800,2022-07-25
CDW,"CDW Corp",170.44,0.34,+0.20%,171.08,171.24,169.2,272500,2022-07-25
CRM,"Salesforce Inc",177.29,-5.18,-2.84%,181.83,181.99,175.075,4407800,2022-07-25
CSCO,"Cisco Systems Inc",44.34,-0.12,-0.27%,44.66,44.66,44.11,12954699,2022-07-25
CTSH,"Cognizant Tech Sol",68.22,-0.88,-1.27%,69.21,69.33,67.76,2584300,2022-07-25
CTXS,"Citrix Systems Inc",101.25,-0.23,-0.23%,101.55,101.72,101.16,423200,2022-07-25
DXC,"Dxc Technology Company",31.16,0.16,+0.52%,31.29,31.4,30.8384,783200,2022-07-25
ENPH,"Enphase Energy Inc",218.55,7.01,+3.31%,213.49,219.38,207.16,2734300,2022-07-25
EPAM,"Epam Systems Inc",320.17,-3.13,-0.97%,324.18,324.18,311.01,237700,2022-07-25
FFIV,"F5 Inc",154.41,0.5,+0.32%,154.42,154.59,151.7,1707200,2022-07-25
FIS,"Fidelity National Information Services",98.06,-0.95999999999999,-0.97%,99.28,99.42,97.4,2396300,2022-07-25
