Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ALB,"Albemarle Corp",227.57,6.11,+2.76%,221.58,227.79,217.155,720600,2022-07-25
AMCR,"Amcor Plc",12.74,0.14,+1.11%,12.6,12.75,12.5611,5567100,2022-07-25
APD,"Air Products and Chemicals",235.21,0.65000000000001,+0.28%,235.39,235.59,233.7,581000,2022-07-25
AVY,"Avery Dennison Corp",174.78,-0.52000000000001,-0.30%,175.43,175.43,173.28,346400,2022-07-25
BALL,"Ball Corporation",69.86,-0.84999999999999,-1.20%,70.58,70.985,69.155,2332100,2022-07-25
CE,"Celanese Corp",115.15,1.81,+1.60%,114.26,115.84,113,778800,2022-07-25
CF,"Cf Industries Holdings",90.28,5.47,+6.45%,85.83,90.34,85.38,1979600,2022-07-25
CTVA,"Corteva Inc",55.47,1.46,+2.70%,54.62,55.605,54.18,2642900,2022-07-25
DD,"Dupont Denemours Inc",58.03,0.77,+1.34%,57.42,58.13,57.11,1761500,2022-07-25
DOW,"Dow Inc",51.58,0.73,+1.44%,51.17,51.97,51.03,5933200,2022-07-25
ECL,"Ecolab Inc",162.77,-0.22,-0.13%,162.83,163.28,160.87,919300,2022-07-25
EMN,"Eastman Chemical Company",94.22,1.15,+1.24%,93.89,94.4,92.73,873100,2022-07-25
FCX,"Freeport-Mcmoran Inc",28.29,0.53,+1.91%,28.54,28.62,27.98,16260800,2022-07-25
FMC,"FMC Corp",107.63,1.73,+1.63%,106.64,108.02,105.73,576200,2022-07-25
IFF,"International Flavors & Fragrances",123.06,0.8,+0.65%,122.41,123.98,122.12,775500,2022-07-25
IP,"International Paper Company",43.46,0.27,+0.63%,43.27,43.665,42.84,1877300,2022-07-25
LIN,"Linde Plc",288.09,2.55,+0.89%,286.92,288.26,284.57,1460700,2022-07-25
LYB,"Lyondellbasell Industries NV",87.53,0.73,+0.84%,87.12,87.92,86.47,2240100,2022-07-25
MLM,"Martin Marietta Materials",330.33,4.12,+1.26%,327.32,330.755,322.865,311100,2022-07-25
MOS,"Mosaic Company",50.51,2.87,+6.02%,48.4,50.57,48,4921700,2022-07-25
NEM,"Newmont Mining Corp",44.59,-6.8,-13.23%,49.64,49.88,44,36693000,2022-07-25
NUE,"Nucor Corp",122.24,2.38,+1.99%,121.38,123.1,120.25,1891000,2022-07-25
PKG,"Packaging Corp of America",143.91,2.31,+1.63%,141.92,144.28,141.215,1014700,2022-07-25
PPG,"PPG Industries",126.87,-0.86,-0.67%,127.27,128.745,125.47,1914400,2022-07-25
SEE,"Sealed Air Corp",58.99,-0.12,-0.20%,59.22,59.36,58.44,533000,2022-07-25
SHW,"Sherwin-Williams Company",259.01,0,0.00%,257.81,259.84,255.77,1194600,2022-07-25
VMC,"Vulcan Materials Company",156.4,0.75,+0.48%,156.32,156.8,154.86,591000,2022-07-25
WRK,"Westrock Company",41.66,0.33,+0.80%,41.41,41.83,41.07,900000,2022-07-25
"Downloaded from Barchart.com as of 07-25-2022 11:14pm CDT"
