Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
APA,"Apa Corp",34.43,2.02,+6.23%,33.37,34.62,32.54,7567200,2022-07-25
BKR,"Baker Hughes A Ge Co. Cl A",24.4,0.32,+1.33%,24.42,24.52,23.91,8569600,2022-07-25
COP,Conocophillips,92.05,3.92,+4.45%,89.46,92.14,87.79,5815000,2022-07-25
CTRA,"Coterra Energy Inc",28.89,1.18,+4.26%,28.15,28.91,27.64,5270300,2022-07-25
CVX,"Chevron Corp",148.48,4.29,+2.98%,145.7,148.61,144.18,6210800,2022-07-25
DVN,"Devon Energy Corp",57.97,2.78,+5.04%,56.02,58.0598,55.27,8473100,2022-07-25
EOG,"Eog Resources",105.48,4.48,+4.44%,102.57,105.97,101.32,3279500,2022-07-25
FANG,"Diamondback Energy",119.99,6.56,+5.78%,116.9,121.11,114.34,2881300,2022-07-25
HAL,"Halliburton Company",28.42,0.96,+3.50%,27.91,28.53,27.41,9141700,2022-07-25
HES,"Hess Corp",106.32,4.93,+4.86%,103,106.54,101.73,1327800,2022-07-25
KMI,"Kinder Morgan",18.02,0.37,+2.10%,17.85,18.03,17.705,13155300,2022-07-25
MPC,"Marathon Petroleum Corp",88.8,3.15,+3.68%,86.8,89.05,86.37,3206600,2022-07-25
MRO,"Marathon Oil Corp",23.18,1.43,+6.57%,22.15,23.19,21.82,14852100,2022-07-25
OKE,"Oneok Inc",59.14,1.15,+1.98%,58.6,59.29,57.88,2579900,2022-07-25
OXY,"Occidental Petroleum Corp",64.41,3.35,+5.49%,61.84,64.46,61.1,19564400,2022-07-25
PSX,"Phillips 66",87.24,2.71,+3.21%,85.74,87.44,84.71,2756600,2022-07-25
PXD,"Pioneer Natural Resources Company",221.57,11.77,+5.61%,213.9,222.21,211.25,2123900,2022-07-25
SLB,"Schlumberger N.V.",36.17,1.1,+3.14%,35.65,36.255,35.01,13119900,2022-07-25
VLO,"Valero Energy Corp",109.32,5.3,+5.10%,105.87,109.48,104.78,3740200,2022-07-25
WMB,"Williams Companies",33.45,1.11,+3.43%,32.56,33.48,32.21,5632000,2022-07-25
XOM,"Exxon Mobil Corp",89.98,2.9,+3.33%,88.16,90.13,87.42,17536300,2022-07-25
"Downloaded from Barchart.com as of 07-25-2022 11:13pm CDT"
