Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AA,"Alcoa Corp",46.8,1,+2.18%,47.72,46.2,6841600,2022-07-25
ACC,"American Campus Communities Inc",65.2,-0.05,-0.08%,65.26,65.18,1372900,2022-07-25
ACHC,"Acadia Healthcr Company",78.63,1.04,+1.34%,78.85,76.86,648200,2022-07-25
ACIW,"Aci Worldwide Inc",27.33,-0.15,-0.55%,27.6,27.23,297000,2022-07-25
ACM,"Aecom Technology Corp",68.67,1.22,+1.81%,68.85,66.61,425900,2022-07-25
ADNT,"Adient Plc",31.32,0.9,+2.96%,31.5,30.2,962900,2022-07-25
AEO,"American Eagle Outfitters",12.03,-0.2,-1.64%,12.31,11.95,4696800,2022-07-25
AFG,"American Financial Group",133.25,1.34,+1.02%,135.45,131.85,352500,2022-07-25
AGCO,"Agco Corp",100.54,2.6,+2.65%,100.8,97.87,478100,2022-07-25
AIRC,"Apartment Income REIT Corp",43.14,0.12,+0.28%,43.44,42.82,396700,2022-07-25
ALE,"Allete Inc",58.93,0.51,+0.87%,59.01,58.11,284600,2022-07-25
AM,"Antero Midstream Corp",9.95,0.3,+3.11%,9.97,9.61,4854600,2022-07-25
AMED,"Amedisys Inc",128.18,-2.96,-2.26%,131.01,126.54,353900,2022-07-25
AMG,"Affiliated Managers Group",121.54,0.83,+0.69%,121.78,119.99,187700,2022-07-25
AMKR,"Amkor Technology",18.72,-0.11,-0.58%,18.83,18.53,587600,2022-07-25
AN,"Autonation Inc",114.06,-3.01,-2.57%,120.83,113.74,891900,2022-07-25
ARW,"Arrow Electronics",120.17,0.56,+0.47%,120.66,119.26,243100,2022-07-25
ARWR,"Arrowhead Pharma",41.69,-0.98,-2.30%,42.8,40.69,715300,2022-07-25
ASB,"Associated Banc-Corp",20.22,0.4,+2.02%,20.31,19.86,1611900,2022-07-25
ASGN,"On Assignment",96.8,1.27,+1.33%,96.9,94.93,228000,2022-07-25
ASH,"Ashland Global Holdings Inc",105.01,0.29,+0.28%,105.97,103.58,368700,2022-07-25
ATR,Aptargroup,103.92,0.32,+0.31%,104.51,102.91,267300,2022-07-25
AVNT,"Avient Corp",43.66,0.64,+1.49%,43.83,42.64,444400,2022-07-25
AVT,"Avnet Inc",45.55,-0.09,-0.20%,46.01,45.37,687300,2022-07-25
AXON,"Axon Enterprise Inc",101.4,-0.72,-0.71%,102.39,99.75,252100,2022-07-25
AYI,"Acuity Brands Inc",175.72,-0.48,-0.27%,176.34,174.13,284400,2022-07-25
AZPN,"Aspen Technology",182.44,0.54,+0.30%,183.19,180.04,101100,2022-07-25
AZTA,"Azenta Inc",63.98,-1.55,-2.37%,65.9,63.24,540100,2022-07-25
BC,"Brunswick Corp",76.64,-0.35,-0.45%,77.72,75.74,515300,2022-07-25
